gene	t00	t05	t1_	t2_	t3_	t4_	t5_	t6_	t7_	t8_	t10	t12
ENSG00000187583.9	0.767384146	0.985651555	0.828599353	0.262207013	-1.778909244	-0.04116026	-1.919377477	-0.631344063	0.273990015	1.312602523	-0.593599707	0.533956145
ENSG00000131584.17	-1.008685957	-0.480597624	-0.299926907	-0.044936175	-0.619643381	-0.978349337	-1.678550013	0.757591364	0.236101956	1.543526487	1.584570303	0.988899285
ENSG00000221978.10	-1.779043123	-1.792232557	0.233498411	0.476751347	0.015218334	-0.602120976	-0.338228184	1.156205984	-0.351148518	0.451574234	1.282507438	1.247017611
ENSG00000008128.21	0.45699236	0.735650894	0.6058025	-0.550505175	0.351284131	0.39252733	-2.615428507	-1.439744488	0.162406158	0.954343374	0.429324403	0.51734702
ENSG00000215790.5	-1.080552445	1.431733075	0.746575925	0.429557612	0.42684734	-0.882563279	-1.339035556	1.779742932	-0.32145274	-0.511594297	-1.212348327	0.533089759
ENSG00000078900.13	0.788335122	0.771161152	0.312463355	-0.423952266	0.416926041	1.203232686	1.864999588	-0.569576677	-0.736104799	-0.906012308	-1.270406405	-1.45106549
ENSG00000116237.14	0.979118592	0.910554788	1.334849783	0.387048682	0.178860694	0.560460223	0.648551269	-0.311516941	-0.678102871	-0.337757955	-1.611446282	-2.060619983
ENSG00000158292.6	-1.675818487	-1.665809384	-1.343987749	-0.556539796	0.1747188	0.237029785	0.77624847	0.858421763	0.801883173	0.479739242	1.248115143	0.665999038
ENSG00000097021.18	-1.223292348	-1.080768158	-1.301756712	-0.402292907	-0.402959873	-0.479634055	-0.107076217	0.089254205	0.867685345	0.618976739	1.906689717	1.515174262
ENSG00000069812.10	-1.912633239	-1.940514848	-0.96138823	0.003274689	0.352132846	0.344594291	0.467428041	0.304303795	0.861292124	0.382098367	1.106875239	0.992536925
ENSG00000116273.5	1.327917578	1.334906883	-0.099111984	0.39661346	0.713105313	0.753479201	0.518297575	0.088136432	-1.108848391	-0.705625608	-1.493532615	-1.725337842
ENSG00000171735.17	1.842494231	1.523921699	0.304001041	0.40350469	0.178773196	0.259172793	0.273834821	-0.633073084	-0.384291362	-0.914200937	-0.981953335	-1.872183753
ENSG00000049249.7	1.686255608	1.240082344	0.660855648	0.83892249	0.72237054	0.377255377	-0.55479909	-0.384265198	-0.909142897	-1.160074991	-1.352264098	-1.165195735
ENSG00000116285.11	-2.744247072	-1.490279739	0.051731929	0.537510784	0.668553753	0.506649459	0.688134931	0.513183217	0.369845569	0.033251584	0.474401486	0.3912641
ENSG00000162426.13	-1.964680732	-1.522076237	-1.142218228	-0.161370585	0.192841913	-0.240954494	0.389954359	0.467515991	1.016493456	0.787278386	1.130599756	1.046616414
ENSG00000049239.11	-2.075471526	-0.410223601	-0.944189883	-0.911393057	0.329395302	-0.77027037	0.91802103	0.322268202	0.914070771	0.626647831	1.679933177	0.321212127
ENSG00000171621.12	-1.953224431	-2.101084883	-0.661211159	0.232903646	0.574472996	0.232615312	0.554212596	0.307295447	0.242133137	0.49000528	0.923998634	1.157883424
ENSG00000171612.6	0.231314972	1.192675467	0.440914683	-0.211404855	0.542550868	0.840250545	0.618705651	1.173662284	-0.129492282	-1.265675816	-1.642290296	-1.791211222
ENSG00000188807.11	1.424673418	1.386139688	0.245093216	-0.008913596	0.793195848	0.573254915	0.208634458	-0.045234264	-0.411644753	-0.738632084	-1.266233077	-2.160333768
ENSG00000173614.12	0.322223626	0.466062839	-0.564388967	-1.230401876	-0.98073531	-1.213933601	-0.966177385	-0.704718583	1.101103875	1.132794455	1.370583939	1.267586988
ENSG00000175279.20	0.983324616	1.462065316	0.713603975	0.942881279	0.926250138	0.256850053	-0.898969722	-0.826256327	-1.45803934	0.283762129	-1.316805291	-1.068666826
ENSG00000116661.9	1.710011921	0.892818619	0.514196726	-0.135827619	-0.812963301	-0.958886767	-1.994838882	-0.899282089	-0.057125131	1.074511008	-0.01765054	0.685036056
ENSG00000011021.20	-0.402047193	-1.544214295	0.454795385	-0.756798231	-0.280012801	-0.749121547	-0.283769584	0.694450902	-1.048165726	0.897659541	0.796032885	2.221190666
ENSG00000028137.15	-1.432058257	-1.126886309	-0.74120554	0.249057687	2.043372632	0.784419162	0.363634581	1.117445161	-0.273342211	0.643106631	-0.609356752	-1.018186783
ENSG00000162496.7	0.980341606	1.125451949	-0.413323732	-0.80195384	-1.085077231	-0.971690383	-1.474787784	-1.066016089	0.750434226	1.127315393	0.819295368	1.010010519
ENSG00000142621.18	1.305885945	0.230476631	0.716499441	0.83981912	-0.139665188	0.739958418	1.215445803	-1.246904997	-0.697081418	-1.595413813	-1.537555657	0.168535715
ENSG00000116138.11	-0.336356992	0.150631913	-1.364022174	-1.789790281	-0.59832532	-0.974421726	0.122884351	0.838199385	0.73730954	0.410875609	1.142465394	1.6605503
ENSG00000162458.11	0.694161047	0.330649833	-0.609021706	-0.689211904	-1.035896807	-1.130145354	-1.292646118	-0.893571458	0.715352334	1.328748209	1.032341153	1.549240772
ENSG00000142627.12	1.616736912	0.961297503	-0.448174271	-2.109362964	-1.391338465	-0.796391531	0.077436846	0.062033487	0.505690027	0.858705415	0.234821625	0.428545416
ENSG00000058453.15	-0.556297834	1.95388887	-0.174202135	-0.54203896	-0.383200261	-1.029527204	-0.876946812	-0.646705329	1.530102609	1.222327997	0.524495047	-1.021895987
ENSG00000117115.11	0.888389751	1.444308743	0.3873222	0.590135905	0.374465776	0.547554344	0.444965372	0.057438453	-0.663339996	-0.26140561	-1.573745815	-2.236089123
ENSG00000142623.9	1.640852049	1.384471225	1.013806867	0.962728058	-0.160212328	0.498926127	-0.798206271	-0.727007088	-0.836062777	-0.541388418	-1.345697048	-1.092210396
ENSG00000142619.4	0.927723892	1.31182986	0.531277773	1.011092429	0.761512505	0.469139811	-0.125158359	0.083678086	-0.514398359	-1.132828359	-1.330839884	-1.993029396
ENSG00000009709.10	-1.43228486	-2.138721359	-0.941825586	-0.666138031	0.000169105	0.689503336	0.576140838	0.493878574	0.638545812	0.99529044	0.901135864	0.884305866
ENSG00000169991.9	1.987328277	1.935272525	0.700919402	-0.681565255	-1.095237481	-0.974980208	-0.838546793	-0.61558609	-0.184516215	0.119435552	-0.234319134	-0.11820458
