gene	t00	t05	t1_	t2_	t3_	t4_	t5_	t6_	t7_	t8_	t10	t12
ENSG00000187583.9	1.312602523	-0.04116026	0.985651555	-0.631344063	0.273990015	-0.593599707	0.767384146	0.828599353	0.262207013	-1.919377477	0.533956145	-1.778909244
ENSG00000131584.17	-1.678550013	0.988899285	0.757591364	1.584570303	-1.008685957	-0.044936175	-0.619643381	0.236101956	-0.299926907	1.543526487	-0.978349337	-0.480597624
ENSG00000221978.10	1.282507438	1.156205984	0.015218334	0.233498411	-0.338228184	1.247017611	-0.351148518	-1.792232557	0.476751347	-1.779043123	0.451574234	-0.602120976
ENSG00000008128.21	-0.550505175	0.735650894	0.351284131	0.954343374	0.39252733	0.45699236	0.6058025	0.51734702	0.429324403	0.162406158	-2.615428507	-1.439744488
ENSG00000215790.5	-1.212348327	1.779742932	-0.882563279	-0.511594297	-1.080552445	-1.339035556	1.431733075	-0.32145274	0.533089759	0.42684734	0.746575925	0.429557612
ENSG00000078900.13	1.203232686	1.864999588	0.312463355	0.416926041	-0.569576677	-0.906012308	0.771161152	-1.45106549	-0.423952266	0.788335122	-1.270406405	-0.736104799
ENSG00000116237.14	-0.311516941	0.560460223	-0.337757955	-2.060619983	-0.678102871	0.648551269	0.387048682	1.334849783	0.910554788	0.979118592	-1.611446281	0.178860694
ENSG00000158292.6	0.801883173	0.665999038	0.237029785	-1.675818487	1.248115144	-1.665809384	0.1747188	-0.556539796	0.858421763	0.77624847	0.479739242	-1.343987749
ENSG00000097021.18	-0.107076217	-0.402959873	1.515174262	0.089254205	-0.479634055	-1.080768158	-0.402292907	1.906689717	0.618976739	-1.301756712	-1.223292348	0.867685345
ENSG00000069812.10	0.992536925	0.382098367	0.352132846	-1.912633239	0.861292124	0.467428041	0.003274689	-1.940514848	0.344594291	0.304303795	1.106875239	-0.96138823
ENSG00000116273.5	0.753479201	0.39661346	0.518297575	0.088136432	-1.108848391	1.327917578	-1.725337842	-0.705625608	-1.493532615	0.713105313	1.334906883	-0.099111984
ENSG00000171735.17	0.259172793	-1.872183753	-0.981953335	0.304001041	0.40350469	-0.384291362	-0.914200937	0.273834821	-0.633073084	1.842494231	0.178773196	1.523921699
ENSG00000049249.7	-0.909142897	-1.165195735	1.686255608	-0.55479909	0.377255377	-0.384265198	0.660855648	-1.352264098	0.83892249	-1.160074991	0.72237054	1.240082344
ENSG00000116285.11	0.537510784	-1.490279739	-2.744247072	0.369845569	0.506649459	0.474401486	0.033251584	0.668553753	0.051731929	0.688134931	0.513183217	0.3912641
ENSG00000162426.13	-1.964680732	1.046616414	0.389954359	0.787278386	0.467515991	-1.142218228	0.192841913	1.130599756	-0.161370585	-1.522076237	1.016493456	-0.240954494
ENSG00000049239.11	-0.410223601	0.329395302	1.679933177	0.626647831	0.91802103	0.321212127	-0.77027037	0.914070771	-0.944189883	0.322268202	-0.911393057	-2.075471526
ENSG00000171621.12	0.554212596	1.157883424	0.574472996	0.923998634	0.232903646	0.232615312	0.49000528	-0.661211159	-1.953224431	-2.101084883	0.242133137	0.307295447
ENSG00000171612.6	1.173662284	0.440914683	0.618705651	0.231314972	-1.791211222	-0.211404855	-0.129492282	1.192675467	-1.642290296	0.542550868	-1.265675816	0.840250545
ENSG00000188807.11	-0.045234264	-1.266233077	0.793195848	-2.160333768	0.573254915	1.424673418	1.386139688	0.245093216	0.208634458	-0.008913596	-0.738632084	-0.411644753
ENSG00000173614.12	1.132794455	-1.213933601	1.101103875	-0.98073531	-0.564388967	-0.966177385	0.322223626	0.466062839	1.267586988	-0.704718583	1.370583939	-1.230401876
ENSG00000175279.20	0.942881279	-0.898969722	-1.45803934	0.926250138	-0.826256327	1.462065316	0.283762129	0.256850053	0.713603975	0.983324616	-1.068666826	-1.316805291
ENSG00000116661.9	-0.812963301	0.514196725	-1.994838882	1.074511008	-0.057125131	1.710011921	0.892818619	-0.01765054	0.685036056	-0.958886767	-0.135827619	-0.899282089
ENSG00000011021.20	-0.749121547	0.897659541	-1.048165726	2.221190666	0.454795385	-0.280012801	0.796032885	-1.544214295	0.694450902	-0.283769584	-0.756798231	-0.402047193
ENSG00000028137.15	-0.74120554	-0.609356752	0.249057687	2.043372632	-1.126886309	-1.018186783	0.784419162	1.117445161	0.643106631	-0.273342211	0.363634581	-1.432058257
ENSG00000162496.7	-0.971690383	1.125451949	-0.413323732	-0.80195384	-1.085077231	0.750434226	1.127315393	-1.066016089	0.980341606	-1.474787784	1.010010519	0.819295368
ENSG00000142621.18	-0.139665188	0.716499441	0.739958418	0.230476631	-1.537555657	0.168535715	-0.697081418	1.305885945	0.83981912	-1.246904997	1.215445803	-1.595413813
ENSG00000116138.11	-1.364022174	0.410875609	0.122884351	-0.336356992	0.73730954	0.838199385	0.150631913	-0.59832532	-0.974421726	1.142465394	1.660550301	-1.789790281
ENSG00000162458.11	-0.893571458	1.549240772	1.032341153	-1.035896807	0.715352334	1.328748209	0.330649833	-0.609021706	-0.689211904	0.694161047	-1.130145354	-1.292646118
ENSG00000142627.12	1.616736912	-0.796391531	-0.448174271	0.428545416	0.234821625	0.961297503	0.062033487	0.077436846	-2.109362964	0.505690027	-1.391338465	0.858705415
ENSG00000058453.15	-0.64670533	-1.021895987	0.524495047	-1.029527204	-0.556297834	1.530102609	-0.876946812	-0.174202135	1.95388887	1.222327997	-0.383200261	-0.54203896
ENSG00000117115.11	-0.26140561	0.444965372	-1.573745815	0.374465776	-2.236089123	0.057438453	0.590135905	1.444308743	0.888389751	-0.663339996	0.3873222	0.547554344
ENSG00000142623.9	-0.727007088	1.384471225	0.962728058	-1.345697048	-0.798206271	0.498926127	-0.541388418	-1.092210396	1.640852049	1.013806867	-0.836062777	-0.160212328
ENSG00000142619.4	-0.514398359	0.083678086	-0.125158359	0.531277773	0.927723892	1.31182986	-1.330839884	-1.132828359	0.469139811	0.761512505	-1.993029396	1.011092429
ENSG00000009709.10	0.000169105	0.901135864	0.493878574	-1.43228486	-0.666138031	0.884305866	0.99529044	-0.941825586	0.689503336	0.576140838	0.638545812	-2.138721359
ENSG00000169991.9	-0.234319134	-0.974980208	-1.095237481	-0.681565255	-0.838546793	0.119435552	0.700919402	-0.11820458	-0.61558609	1.987328277	-0.184516215	1.935272525
ENSG00000053372.4	-1.446960992	-0.243274733	-1.576887296	1.216268236	0.613096755	0.569394275	-1.386052855	-0.851377886	0.762436292	0.805060618	0.521617374	1.016680211
ENSG00000158747.12	0.56013836	1.530856732	-0.608228426	0.396997256	0.052593786	1.405302916	-1.024727631	0.437955822	-1.632394812	-1.647525805	0.460306871	0.068724932
ENSG00000183114.7	1.350969954	0.40014648	-1.734726877	-0.604647794	-0.916544159	2.00556696	-0.164798306	0.268057889	-1.18806963	0.351196019	-0.124991525	0.35784099
ENSG00000158828.5	1.013631576	0.131544036	0.784412919	-2.011350384	-0.39404424	-0.624472663	0.526879249	-1.747914552	0.818963207	-0.169975185	0.437139384	1.235186653
ENSG00000117245.11	0.600178061	1.073286319	-0.439974288	-1.585425109	-0.103707	1.313667915	-0.059019205	0.188431836	-0.757390433	0.716317192	1.021921039	-1.968286328
ENSG00000127483.16	-0.117634598	-0.92188032	1.962563843	-0.437322075	-1.920785966	1.019798254	0.479415304	0.205014868	-0.289370958	1.149483375	-0.721847448	-0.407434278
ENSG00000076864.18	-0.54183633	0.733996057	0.759899512	-1.660313764	0.916790071	0.619882206	-2.103946678	0.838082525	0.169883005	-0.419304697	1.064291744	-0.377423649
ENSG00000133216.15	0.664745696	-0.841657853	0.990857901	1.041202301	1.163208485	1.031997468	0.504572154	-0.718862132	-1.395018253	-0.029067071	-1.813711979	-0.598266718
ENSG00000007968.6	0.768908373	0.644809827	0.722172034	0.359142641	-0.718869094	-1.757362444	0.904195807	-0.448926403	-2.139902019	0.622394054	0.843703223	0.199734002
