Cause-Effect	Cause	Effect
G1-G2	G1	G2
G1-G3	G1	G3
G1-G4	G1	G4
G1-G5	G1	G5
G1-G6	G1	G6
G1-G7	G1	G7
G1-G8	G1	G8
G2-G43	G2	G43
G4-G83	G4	G83
G6-G16	G6	G16
G6-G17	G6	G17
G6-G29	G6	G29
G6-G30	G6	G30
G6-G33	G6	G33
G6-G35	G6	G35
G6-G40	G6	G40
G6-G78	G6	G78
G6-G83	G6	G83
G6-G85	G6	G85
G6-G86	G6	G86
G6-G87	G6	G87
G6-G88	G6	G88
G6-G89	G6	G89
G9-G10	G9	G10
G9-G11	G9	G11
G9-G12	G9	G12
G9-G13	G9	G13
G9-G14	G9	G14
G9-G15	G9	G15
G11-G35	G11	G35
G11-G39	G11	G39
G11-G45	G11	G45
G11-G47	G11	G47
G11-G48	G11	G48
G12-G26	G12	G26
G12-G45	G12	G45
G12-G64	G12	G64
G16-G17	G16	G17
G18-G1	G18	G1
G18-G19	G18	G19
G18-G20	G18	G20
G18-G21	G18	G21
G21-G18	G21	G18
G21-G48	G21	G48
G21-G58	G21	G58
G21-G59	G21	G59
G21-G62	G21	G62
G21-G63	G21	G63
G21-G71	G21	G71
G22-G5	G22	G5
G22-G23	G22	G23
G23-G80	G23	G80
G23-G81	G23	G81
G23-G82	G23	G82
G24-G25	G24	G25
G26-G24	G26	G24
G26-G27	G26	G27
G26-G28	G26	G28
G29-G30	G29	G30
G29-G31	G29	G31
G29-G32	G29	G32
G32-G19	G32	G19
G32-G26	G32	G26
G32-G42	G32	G42
G32-G53	G32	G53
G32-G54	G32	G54
G33-G27	G33	G27
G33-G34	G33	G34
G33-G35	G33	G35
G33-G36	G33	G36
G33-G37	G33	G37
G34-G16	G34	G16
G34-G17	G34	G17
G34-G27	G34	G27
G34-G31	G34	G31
G34-G45	G34	G45
G34-G55	G34	G55
G34-G56	G34	G56
G37-G36	G37	G36
G37-G42	G37	G42
G37-G72	G37	G72
G38-G11	G38	G11
G38-G23	G38	G23
G38-G39	G38	G39
G38-G40	G38	G40
G38-G41	G38	G41
G38-G42	G38	G42
G39-G45	G39	G45
G39-G46	G39	G46
G40-G10	G40	G10
G40-G18	G40	G18
G40-G21	G40	G21
G40-G27	G40	G27
G40-G48	G40	G48
G40-G59	G40	G59
G40-G60	G40	G60
G40-G61	G40	G61
G40-G62	G40	G62
G40-G63	G40	G63
G41-G21	G41	G21
G41-G27	G41	G27
G41-G39	G41	G39
G41-G40	G41	G40
G41-G59	G41	G59
G41-G60	G41	G60
G41-G61	G41	G61
G41-G75	G41	G75
G41-G77	G41	G77
G41-G78	G41	G78
G42-G49	G42	G49
G44-G15	G44	G15
G48-G38	G48	G38
G48-G45	G48	G45
G48-G47	G48	G47
G48-G49	G48	G49
G48-G66	G48	G66
G48-G90	G48	G90
G49-G9	G49	G9
G49-G39	G49	G39
G49-G45	G49	G45
G49-G50	G49	G50
G49-G51	G49	G51
G49-G52	G49	G52
G52-G39	G52	G39
G52-G57	G52	G57
G53-G10	G53	G10
G53-G12	G53	G12
G53-G15	G53	G15
G53-G21	G53	G21
G53-G33	G53	G33
G53-G50	G53	G50
G53-G51	G53	G51
G53-G52	G53	G52
G53-G63	G53	G63
G53-G66	G53	G66
G53-G67	G53	G67
G53-G68	G53	G68
G54-G29	G54	G29
G54-G30	G54	G30
G54-G35	G54	G35
G54-G50	G54	G50
G54-G51	G54	G51
G54-G52	G54	G52
G54-G78	G54	G78
G54-G81	G54	G81
G54-G85	G54	G85
G54-G86	G54	G86
G54-G87	G54	G87
G54-G88	G54	G88
G54-G89	G54	G89
G54-G99	G54	G99
G54-G100	G54	G100
G55-G31	G55	G31
G55-G33	G55	G33
G55-G34	G55	G34
G55-G56	G55	G56
G58-G27	G58	G27
G58-G35	G58	G35
G65-G8	G65	G8
G65-G16	G65	G16
G65-G17	G65	G17
G65-G57	G65	G57
G69-G2	G69	G2
G69-G7	G69	G7
G69-G10	G69	G10
G69-G70	G69	G70
G70-G84	G70	G84
G71-G2	G71	G2
G71-G45	G71	G45
G71-G49	G71	G49
G71-G75	G71	G75
G71-G80	G71	G80
G71-G82	G71	G82
G71-G98	G71	G98
G73-G27	G73	G27
G74-G42	G74	G42
G74-G47	G74	G47
G74-G75	G74	G75
G74-G76	G74	G76
G78-G41	G78	G41
G78-G91	G78	G91
G78-G93	G78	G93
G78-G94	G78	G94
G78-G95	G78	G95
G79-G26	G79	G26
G79-G42	G79	G42
G79-G72	G79	G72
G90-G91	G90	G91
G92-G21	G92	G21
G92-G49	G92	G49
G96-G49	G96	G49
G97-G29	G97	G29
G97-G43	G97	G43
G97-G44	G97	G44
G97-G84	G97	G84
