gene	A549.rna_seq.dedex.00h.rep2	A549.rna_seq.dedex.00h30m.rep2	A549.rna_seq.dedex.01h.rep2	A549.rna_seq.dedex.02h.rep2	A549.rna_seq.dedex.03h.rep2	A549.rna_seq.dedex.04h.rep2	A549.rna_seq.dedex.05h.rep2	A549.rna_seq.dedex.06h.rep2	A549.rna_seq.dedex.07h.rep2	A549.rna_seq.dedex.08h.rep2	A549.rna_seq.dedex.10h.rep2	A549.rna_seq.dedex.12h.rep2
ENSG00000187583.9	-0.273233470757	-0.0952651639467	0.0718171780933	-0.0431791364367	0.0612749518733	0.0426741168233	0.172163930793	0.147586671403	0.143796138203	0.271655904123	-0.205452591927	-0.293838528247
ENSG00000131584.17	-0.127436538333	0.193481374727	0.0601034082775	-0.129456978043	-0.0659119796925	0.0325789018475	0.0720486967475	0.108259528317	-0.0472578693625	0.0317587106775	-0.0784894048025	-0.0496778503625
ENSG00000221978.10	0.0280886836917	-0.111105470948	-0.150675222528	0.0734291648717	0.0146913794317	-0.0641503538683	-0.0645515622283	0.0202723963317	0.123833403862	0.0761039083617	0.0136670661317	0.0403966068917
ENSG00000116237.14	-0.114550779631	0.123628235909	0.0274156468092	0.108890898729	-0.0515279746508	-0.0202339900108	-0.0626795750008	-0.0401918226108	0.0274162700292	0.00866875758917	-0.121307837361	0.114472170199
ENSG00000158292.6	-0.318310819872	-0.149350731852	0.180307745468	0.355129833548	0.323160620728	-0.258601783512	-0.163300860082	-0.218572615062	0.556729359608	-0.209469473342	-0.331472394622	0.233751118988
ENSG00000097021.18	-0.178629827006	-0.147506482996	0.124142330374	-0.0215703381158	0.0698743115842	-0.0501594534558	-0.0854680858358	0.0514338141842	0.0907818418342	0.104145856774	0.114790056824	-0.0718340241658
ENSG00000116273.5	0.1881993283	0.13146432822	0.09978247664	-0.10665031234	-0.07083721163	0.28557786676	-0.33555825246	-0.55008711607	0.24365431601	-0.09443036822	-0.05682906999	0.26571401478
ENSG00000171735.17	-0.0456156743717	-0.0590273473317	-0.0381847649417	-0.0658321941917	-0.00452209365167	0.0910876173883	-0.00889728426167	-0.00678930740167	0.0884262794483	0.0908009765183	-0.0478025306417	0.00635632343833
ENSG00000116285.11	0.0525117870075	-0.418193532833	-0.473529505133	-0.462351005202	0.437114736387	0.639883791818	-0.476769176383	-0.382841716273	0.841598073777	-0.361360893173	-0.403762778773	1.00770021878
ENSG00000162426.13	-0.140592019313	0.220126670557	0.182126462647	-0.614955545203	0.430233423617	0.454028681057	-0.678218994373	0.353456623527	-0.270004603663	-0.173226215803	-0.450044798173	0.687070315127
ENSG00000049239.11	-0.036631913535	-0.000394192795	0.074730448665	-0.020338901245	0.051389360905	-0.051390699665	0.015598459575	-0.021443660645	0.043299257245	0.010597584835	-0.032366340955	-0.033049402385
ENSG00000171621.12	-0.116683514737	0.528847733143	-0.0655132948175	-0.0201231098275	-0.0142822473075	-0.149211306317	-0.366579372437	0.292014078633	-0.0912935525375	0.159583246353	-0.441090609987	0.284331949843
ENSG00000171612.6	0.0596797926717	0.0134667706617	0.0194066375117	-0.0956816476583	-0.0527896299183	0.0422938954817	0.127713355632	-0.0305683826483	0.162401920502	-0.0392236266983	0.0176838996517	-0.224382985188
ENSG00000188807.11	-0.118829217106	-0.223991089226	-0.0103480468958	-0.221407775026	0.141925087274	-0.0702491670658	-0.140600656016	0.144810927574	0.136998023954	0.232469221194	-0.0164613785558	0.145684069894
ENSG00000173614.12	0.275837504624	-0.0219701085858	0.0622395144542	-0.131529932716	-0.101205048196	-0.129995763356	0.0777439092342	-0.0272705038058	-0.180909303706	0.197133346994	-0.0145540637558	-0.00551955118583
ENSG00000175279.20	-0.141480011348	0.0016303212325	0.111437722822	-0.160910758798	-0.0016705000575	0.0249478412325	0.136394584692	-0.0148251184175	0.0834186750425	0.0697702648325	-0.0653023612475	-0.0434106599875
ENSG00000116661.9	-0.255840162189	0.0214120544308	-0.0754796529492	-0.169641393789	-0.0958408068492	0.0521561415108	-0.0361138630992	0.186795782961	-0.110673583349	0.496890646001	-0.142163662579	0.128498499901
ENSG00000011021.20	0.189386665706	-0.0239385255542	-0.0515378209542	0.0704162267458	0.162031666756	0.0512919224158	-0.111173248064	-0.130672921394	-0.00584050043417	-0.0506576533342	-0.0114862591042	-0.0878195527842
ENSG00000162496.7	0.04261357409	-0.01014109205	-0.06081468432	0.01593582476	-0.01819124147	0.06548942827	0.03223532021	-0.11402788395	0.01093810309	0.0211561899	0.04758363437	-0.0327771729
ENSG00000116138.11	0.126785478231	0.0258816933508	-0.00493578170917	-0.0378441622792	0.0247993019508	0.0356550906008	0.0763396722208	-0.0332588713592	-0.0561714250492	-0.0137425012092	0.00744816448083	-0.150956659229
ENSG00000162458.11	-0.124085874727	-0.0495543773667	-0.0829312712467	-0.0922514845867	-0.127048734567	0.0440074385233	0.116810200063	-0.0557451517367	0.313264873253	0.206229902013	-0.0138041531067	-0.134891366517
ENSG00000142627.12	-0.296304195627	-0.0337334624067	-0.0120419737667	-0.0753255436567	0.111940894443	0.136785367463	-0.0212972100367	0.0346689506933	-0.0270617688667	-0.00272318677667	0.153991113723	0.0311010148133
ENSG00000169991.9	-0.157824688694	0.133249450106	-0.203261977384	0.125790455446	0.163371542326	0.162428287006	-0.349594832384	0.170866910906	0.175144886576	0.00711246707583	-0.302399858324	0.0751173573458
ENSG00000053372.4	0.0996080364142	-0.0323104285258	-0.0764904458658	0.0826479014842	0.0205089037042	-0.0235639946958	-0.0744221652158	-0.144934147736	0.127529168044	0.0695621872542	-0.0186918753358	-0.0294431395258
ENSG00000158747.12	0.00981793221417	-0.0967772543058	0.167295483914	0.0161163197142	-0.129513143446	-0.106161576566	-0.0743247578458	0.301679766914	-0.150275889676	-0.0816735075158	0.0197044707042	0.124112155894
ENSG00000158828.5	-0.0501938982208	0.0384017886492	-0.140947772931	0.123170094629	-0.120399191301	-0.0763370625008	-0.0558483939408	0.0895853479392	0.101357667489	-0.0801929961308	0.186835097829	-0.0154306815108
ENSG00000127483.16	-0.0378687693825	-0.0685696319625	-0.0723191539525	-0.0530113632925	-0.0507640267825	0.0684359594875	0.0524833684275	0.0715512508375	-0.0662870105025	0.0401462920375	0.110960791317	0.0052422937675
ENSG00000076864.18	-0.0608349723402	-0.290678906602	0.0516338838198	0.11003147904	-0.0895236315002	-0.0100415817702	0.29141479542	0.57910663285	-0.257191287506	-0.11531276988	-0.0509285085902	-0.15767513294
ENSG00000133216.15	-0.109248563896	-0.270293050346	0.0928533294542	-0.182314080446	-0.269543099076	-0.464596530046	-0.319152532916	0.629548666664	0.607296399804	-0.317867363056	0.426966346714	0.176350477144
ENSG00000007968.6	0.371833838072	-0.100841055748	-0.133115783948	-0.526874857759	0.258709303162	0.0339926912223	-0.136228143668	0.395080556452	0.432154559902	0.190881962232	-0.270764945298	-0.514828124625
ENSG00000117318.8	0.390979930579	-0.00929874057083	-0.243300342231	-0.0966236493008	-0.268593378841	-0.294113578071	0.232763758899	0.337702189149	-0.137764760421	-0.220053934161	-0.0426862335308	0.350988738499
ENSG00000188529.13	0.123590645566	-0.283474106294	-0.154178132404	0.340478702406	0.118436352986	-0.234093588954	0.464057665126	-0.160657647614	0.193930563116	-0.0249069602442	-0.219966283034	-0.163217210654
ENSG00000142677.3	-0.366879340517	0.142513660532	-0.0601646223575	0.255506071352	-0.332541728508	0.333414915992	-0.200499001567	-0.325152178347	-0.142409179008	0.137407983053	0.482999975633	0.0758034437425
