gene	A549.rna_seq.dedex.00h.rep3	A549.rna_seq.dedex.00h30m.rep3	A549.rna_seq.dedex.01h.rep3	A549.rna_seq.dedex.02h.rep3	A549.rna_seq.dedex.03h.rep3	A549.rna_seq.dedex.04h.rep3	A549.rna_seq.dedex.05h.rep3	A549.rna_seq.dedex.06h.rep3	A549.rna_seq.dedex.07h.rep3	A549.rna_seq.dedex.08h.rep3	A549.rna_seq.dedex.10h.rep3	A549.rna_seq.dedex.12h.rep3
ENSG00000187583.9	0.0425288181675	-0.240033749112	0.143605376758	-0.0464876235925	0.0698914926175	0.0091236321375	-0.0843315574125	-0.0005197001025	0.114008356058	0.0514086961575	0.0288438234175	-0.0880375650925
ENSG00000131584.17	-0.091314425045	-0.025315555475	-0.035886791195	0.045660739055	-0.075529673625	0.049578267205	0.023882015545	0.013786536475	-0.066140489915	-0.006594169085	0.109573080165	0.058300465895
ENSG00000221978.10	-0.0365372896183	-0.0313846148783	-0.0825399392083	0.0771633828917	-0.0105540782283	-0.103657762288	0.0183414837017	0.0594861759617	0.0199271418817	0.0552147256517	0.0168924672417	0.0176483068917
ENSG00000116237.14	-0.0934131111875	0.0141763832925	-0.0031801254675	0.0654991972525	-0.0630035550975	-0.0132333134475	-0.0565204364275	0.0245555837625	-0.0112322658675	-0.0489363032575	0.177036949802	0.0082509966425
ENSG00000158292.6	-0.644984243204	0.630083397686	-0.504540273344	0.229357578926	0.602613518766	-0.312143965124	0.0606293249463	0.684372345776	-0.8722301509	-0.0721179875537	0.436006905006	-0.237046450984
ENSG00000097021.18	-0.331889093208	-0.404051632658	-0.177303534758	0.120956726772	0.247636318802	0.0533895171725	0.203894250913	-0.109169241508	-0.0541530455075	-0.0175390799775	0.188982796642	0.279246017313
ENSG00000116273.5	-0.124572126363	-0.0691144392725	-0.0537833418525	-0.0807015351325	-0.129002975362	0.0229170634875	0.0746140318375	0.330559357168	-0.0634156330925	0.0937882937675	-0.0351095623925	0.0338208672075
ENSG00000171735.17	-0.013572391055	0.021600945405	0.071849124875	0.041841436185	0.003379899745	-0.075863851545	0.050120676445	-0.046855802455	0.144934940475	-0.085880628625	-0.065188809855	-0.046365539595
ENSG00000116285.11	-0.1382207372	-0.05604868081	-0.68332479415	-0.36984934279	0.85665189911	-0.1341434239	0.83286355716	-0.20353573687	-0.1134585423	0.77136624658	-0.5088661096	-0.25343433523
ENSG00000162426.13	-0.242869726933	-0.539724952153	0.325912982797	0.699960289357	0.596051152047	-0.324311483293	-0.558727459293	-0.103963368933	-0.496329667563	0.681130215537	0.531223942637	-0.568351924203
ENSG00000049239.11	0.0932796917142	-0.0145823850958	-0.00264124691583	-0.129720446156	-0.0651246430258	0.0431297561642	0.161662994334	-0.121702223996	-0.118131466676	0.00444656339417	0.112948456644	0.0364349496142
ENSG00000171621.12	-0.037410752125	-0.149546523555	0.118766880015	0.373348654955	-0.557712258975	0.559376451845	0.021128244475	-0.296051600395	0.002861886245	0.070501226005	-0.605427658925	0.500165450435
ENSG00000171612.6	0.0305742765783	-0.0448930370817	-0.105310514922	0.198270005978	0.0717440756483	0.0668850128583	-0.0380487579117	-0.101622203972	-0.0233368249217	0.0192979649083	-0.0466433344717	-0.0269166626917
ENSG00000188807.11	-0.0678930950992	0.140296741131	-0.0807337713792	0.102902396231	-0.00622708154917	0.114673696451	-0.194334319539	0.0366320707708	0.115296552291	-0.0218261709692	0.0114915893308	-0.150278607669
ENSG00000173614.12	0.110217654908	0.0280358386575	0.0031440291575	0.105820582588	0.0117613793675	-0.152017215173	0.0039741941775	-0.0775407352125	0.114297373078	0.124897081128	-0.0186383206325	-0.253951862043
ENSG00000175279.20	0.05790911019	0.10483432678	-0.10892667844	0.08591868459	-0.09633911029	-0.04321791275	0.01764901648	-0.01796255809	0.1122003397	-0.04245147853	-0.04804813396	-0.02156560568
ENSG00000116661.9	-0.0280069462083	0.0830982281417	0.103298637752	-0.0990699963783	0.0791648698017	0.0814268176717	0.0252723719917	0.0363879278617	-0.0906770312683	-0.104081658348	0.0132029817817	-0.100016202798
ENSG00000011021.20	-0.0090644247275	0.0897858673325	0.0084491567025	0.0243379612125	0.0721820231925	0.0573201736025	0.0082431345025	-0.0263969969775	-0.0231285217375	-0.0931552067075	-0.0600938347275	-0.0484793316675
ENSG00000162496.7	-0.113075965353	-0.0328578949833	-0.0579955651533	0.0365603592467	0.0631924190367	0.0916586540667	0.0541578745667	0.00493329487667	-0.0569726734433	0.0355103761667	-0.0930429348333	0.0679320558067
ENSG00000116138.11	-0.0721251943375	0.0166930897025	0.0393946260925	-0.0575608569575	0.0089118006625	-0.0457674601175	-0.239933028987	0.0776765969125	-0.0775565906875	0.113349162783	0.110472191393	0.126445663542
ENSG00000162458.11	0.0373184653467	-0.0674519096133	0.0492323031767	-0.0353891903233	0.0595136185767	-0.0175937085433	0.0561084189767	0.0422684267467	0.0667281708367	0.0697984908467	-0.153777883693	-0.106755202333
ENSG00000142627.12	0.106509841923	0.164555859093	0.245108919893	-0.0864647228967	0.145374016013	-0.214983744797	0.125637176463	-0.359326605877	0.0589437573533	-0.109716675567	0.0143037873433	-0.0899416089467
ENSG00000169991.9	-0.512326045834	0.258452449556	0.328727974626	0.0994319528558	0.116068509706	0.467994969766	0.354914993526	0.126475308966	0.191960405696	-0.726864892594	-0.867292826034	0.162457199766
ENSG00000053372.4	0.173932838641	-0.140057035509	0.241096709771	0.204944215931	0.0836315936508	-0.268285505119	-0.351623149839	-0.215425875659	0.182134776971	-0.221977013169	0.232661388781	0.0789670555508
ENSG00000158747.12	0.230291847034	-0.147644810636	-0.526876968836	-0.0778155535358	0.264861082714	-0.210678447806	0.277859614334	0.0819608440942	0.291594099554	0.484629523204	-0.0785891067958	-0.589592123326
ENSG00000158828.5	-0.0340350133525	-0.0728162615925	0.304450117577	-0.0096970816925	-0.0631591611925	-0.0369360396725	0.0003175492575	-0.0211979794725	-0.0724170185925	-0.110697964802	-0.0055700533525	0.121758906888
ENSG00000127483.16	0.089474043555	-0.127883898895	0.034423814395	0.120514573285	0.129018161275	0.057411579615	-0.116307804445	0.147549353235	0.124260128965	-0.185251605135	-0.207974829145	-0.065233516705
ENSG00000076864.18	-0.258220846215	-0.392751674625	0.729433478061	-0.0500126111688	-0.149274428429	0.298672435151	0.222625829081	-0.191925146569	-0.171633435289	-0.240209222059	-0.421516342901	0.624811964961
ENSG00000133216.15	0.349545277859	0.693107453489	-0.761214366971	0.579849414469	0.371093601109	-0.507422101921	0.154840413789	-0.444351385401	-0.829613231141	0.448882962559	-0.143986611041	0.0892685731992
ENSG00000007968.6	-0.084068104845	0.016108015935	-0.127477816815	-0.165707693925	0.153430580335	-0.151150622325	0.226452158925	-0.036741463585	0.305002371325	0.288113745205	-0.104115503045	-0.319845667185
ENSG00000117318.8	-0.228631114552	-0.306552676702	-0.0224754293825	-0.204870236172	0.616701557668	-0.218061273072	-0.191731775152	-0.267086627432	-0.263854331962	-0.271523153762	0.695544650888	0.662540409638
ENSG00000188529.13	-0.07405679749	0.30371321369	0.1206176789	-0.12140608231	-0.11565711527	-0.07332988866	-0.13958864744	0.16342627189	0.44278346295	-0.10943668857	-0.22162274642	-0.17544266127
ENSG00000142677.3	0.334275298519	-0.473660654311	0.434997671119	0.632465156319	-0.0981862816608	-0.00324951468083	-0.391911444111	-0.311512267531	-0.347955511351	0.0913537791092	0.431233698439	-0.297849929861
ENSG00000001460.16	0.108998635875	0.012211816465	0.160654613075	-0.173497884155	-0.039721241375	0.056797490385	-0.029430627275	-0.167913692605	0.026972965645	0.066182599535	0.171881246445	-0.193135922015
ENSG00000001461.15	0.210646505162	-0.145549709228	0.181791141042	0.0500189195717	-0.151763021468	-0.298427964628	0.381272650402	0.301949248772	-0.212052907508	-0.135839333758	-0.102046733268	-0.0799987950883
ENSG00000117616.16	-0.049939479065	-0.108729365215	0.054482331665	0.032450748615	0.107541775965	0.005241373315	-0.003949237825	0.196092376025	-0.118624256565	0.054032140565	-0.080810695305	-0.087787712175
ENSG00000127423.9	-0.0927257093017	0.0427634494283	0.0948097125983	-0.135773683112	-0.100516022212	0.332419326518	-0.141860386012	0.00426728001833	0.138531028558	-0.103743254482	0.173811115818	-0.211982857822
ENSG00000182749.5	-0.342480816639	-0.0631344327592	0.419221723241	0.384692103991	0.293891418741	0.651596545671	0.120854997921	0.314608601761	-0.507281872899	-0.606596515109	-0.245520585419	-0.419851168499
ENSG00000158006.12	0.0107538764942	-0.0922737359258	0.0783540579442	0.0849283983842	-0.0398304126958	-0.0938404744758	-0.0935714308658	0.0159075382642	0.187926701934	0.114381618034	-0.0943187676658	-0.0784173694258
ENSG00000142684.7	0.13839564392	-0.14747853054	0.1365736752	0.06505467602	0.01172680807	0.12381935651	-0.21450442251	0.03806586907	-0.14987041045	0.01896195602	-0.23909613343	0.21835151212
ENSG00000142669.12	0.116424324719	-0.0723490197208	-0.0505201929708	0.0487602342792	-0.0122791576308	0.0385322445492	-0.000611728760833	-0.00143116470083	0.0322330319792	-0.0833830413908	-0.0389854858008	0.0236099554492
ENSG00000204160.10	0.035392179885	0.086235865435	-0.053784175905	0.019670252845	0.065732246155	-0.056503818785	-0.079719918365	0.060119672795	0.076660947125	-0.175175628215	0.003875411375	0.017496965655
ENSG00000090020.9	0.0442377085383	0.0627576754083	0.0249297343283	-0.189764408752	-0.159823923452	0.154262924628	-0.0143458651517	0.128985507448	-0.0190474792317	-0.101830689092	0.0990134135183	-0.0293745981917
ENSG00000142784.14	-0.0892115169975	0.106642004423	-0.0067128241875	0.0207386333825	-0.122803990047	0.0776823958625	0.148894066623	0.230410253792	-0.181443056287	-0.0265185499675	-0.0838185392375	-0.0738588773575
ENSG00000142733.13	-0.200004600413	-0.0347258598225	-0.123990141052	0.206505353608	0.230831475427	0.203561885487	0.231585905318	0.320577612607	-0.256593253962	-0.117885222742	-0.129559529853	-0.330303624602
ENSG00000126705.12	-0.384569102832	-0.0692690298917	0.156586151918	0.00186744585833	0.188090155718	-0.0440227530917	-0.119924033872	-0.0329180988517	-0.155191813072	-0.000316423131667	0.324330192218	0.135337309028
ENSG00000009780.14	-0.086732209015	-0.092962043825	-0.183975594575	-0.072080696005	0.303829045135	0.122749180195	-0.110607338265	-0.022399005795	-0.025788502765	0.071118170655	0.196985759745	-0.100136765485
ENSG00000117758.12	-0.200036320892	0.140016413048	-0.0787058420917	0.120089398948	-0.113197174812	0.0147814102783	-0.218218337672	0.111758085218	0.0773177413883	0.109006629958	0.167517951068	-0.130329954442
ENSG00000117748.8	0.064676924635	-0.163565006385	-0.071994178465	-0.096521442905	0.171203552515	-0.020736924765	0.034593127485	0.008618318235	-0.004475849755	-0.013058666135	0.224242764015	-0.132982618475
ENSG00000180198.14	-0.132160655626	0.0775166240942	0.0932444809842	0.0398053606642	0.0417908876742	-0.146456086176	-0.00519700563583	-0.0276992890158	0.0414393270242	-0.0567294009858	-0.0106718894258	0.0851176464242
ENSG00000120656.10	-0.166077068931	0.0363398529992	-0.166616711991	0.135784706649	-0.0215740617608	-0.0268422857708	0.0357057748792	0.0202509305392	0.140125980369	-0.0242405705708	0.00880942324917	0.0283340303392
ENSG00000060656.18	0.141265048921	-0.199997163889	-0.246704764709	0.231904487281	-0.157958437229	0.149895381801	-0.150407216549	0.256672891211	0.129322467991	0.0370482746508	-0.0973024552092	-0.0937385142692
ENSG00000121753.11	-0.353616063272	0.0898613254483	0.312523337928	0.482638834268	0.154408654668	-0.432156211372	0.0345675929383	-0.527731705762	0.119355665748	-0.0943085326317	0.201335684938	0.0131214170983
ENSG00000175130.6	-0.304277727412	-0.0207660844125	-0.447892767363	-0.219023284082	0.158639675987	-0.0579593690625	0.256957335837	0.224899250898	0.323626719718	0.122774750098	0.389917991548	-0.426896491752
ENSG00000160058.17	0.0203668981917	0.129635214262	0.0280470460417	-0.0828136016883	-0.105468469368	-0.00203977858833	-0.0486223180383	0.0635381566117	-0.123420308808	0.112758371392	0.0364569970917	-0.0284382070983
ENSG00000162520.13	-0.0971416518167	0.176690650253	-0.196198124597	-0.190233964397	-0.0296404495567	-0.158022080227	0.358660282533	-0.158648084377	-0.278837731287	0.194271683163	0.120328484363	0.258770985943
ENSG00000121900.17	0.170274165096	0.0142095814658	-0.0403367359342	-0.0313286366942	0.338731089286	-0.0977692099542	-0.131873921464	-0.0146295232842	-0.0440285692442	-0.117649318434	0.0874510074158	-0.133049928254
ENSG00000116514.15	0.162085761549	0.0986375662492	0.176755968279	-0.218188441771	-0.182601088201	-0.206640032401	0.175280354269	0.0377952946092	0.170888126689	-0.0207300712908	-0.240940626851	0.0476571888692
ENSG00000092853.12	-0.270744780004	-0.0319091753942	0.408785453146	-0.350199116314	-0.267401079864	0.144100878556	0.449276300286	-0.369663530464	0.256041427086	0.432370735206	-0.313226247434	-0.0874308648042
ENSG00000116871.14	0.363553464028	0.331779990598	0.0032104438875	-0.197770066942	-0.387395584313	0.541822639878	-0.167773584883	-0.315894426853	0.221123879028	-0.178700319163	-0.0637713920925	-0.150185043172
ENSG00000054118.12	0.177642538217	0.120560996327	-0.169337800873	-0.173744600823	0.165835334207	-0.0809738294033	-0.190085581723	0.133014281817	0.0113770455067	-0.0157023377433	-0.00282197219333	0.0242359266867
ENSG00000181817.5	0.0420418772575	-0.0148153697725	0.0944446531375	-0.144446152333	-0.192286689683	-0.0585546802425	0.119891960067	0.145082066228	0.0503874883575	0.0596368674175	-0.239345845762	0.137963825328
ENSG00000163874.8	-0.32977509523	0.5477297942	0.18893179581	-0.19672006475	-0.28274206142	-0.32288577591	-0.44425098063	-0.24408418793	-0.22115075071	-0.08014842861	0.76230440986	0.62279134532
ENSG00000163875.14	-0.272794850897	0.0960090500225	0.400565235152	0.248421634372	-0.238516927108	0.459990159062	-0.386343903718	-0.0875105673775	-0.224269214848	0.570418009203	-0.308082918818	-0.257885705048
ENSG00000163877.9	0.00506869850333	-0.0137634049867	0.0649315497733	-0.125941477657	0.0151832713233	0.0246220922633	-0.0122293588167	-0.107000651637	0.0562548514733	0.0107284937533	0.171275999083	-0.0891300630767
ENSG00000134690.9	-0.156734143445	0.391208074655	-0.007039465715	0.085170559715	0.330592100105	0.461146093505	-0.233268694635	-0.454530049395	0.269299486645	-0.283596166445	0.124792626105	-0.527040421095
ENSG00000185090.13	0.188836284079	-0.139513310891	0.0443004210392	-0.0180116860308	-0.0922669488308	0.0133426744792	0.0330666532592	0.0320542832092	-0.0521010347308	-0.0411486303108	-0.0540123622908	0.0854536570192
ENSG00000196449.3	0.0107943439525	0.0855495052825	0.102188004902	0.0127106143325	0.0135128970225	-0.0414967768075	0.106003691023	-0.0824455184475	-0.0706228648775	0.0186923353225	-0.253805280338	0.0989190486325
ENSG00000188786.9	-0.0104211755158	-0.0454466399658	0.0374606709842	-0.103181618706	0.0688092655542	-0.0512084043558	0.00815554417417	0.0462352480142	-0.0369582007458	0.0248169292242	0.138044527734	-0.0763061463958
ENSG00000183520.10	-0.103839283158	-0.0650864588483	-0.0530894879383	-0.0458946090383	-0.0735308162883	0.0949787267217	-0.0458089647683	0.0346721408117	0.0305944903217	0.0928720848017	0.0615930830917	0.0725390942917
ENSG00000127603.22	-0.113030230252	-0.0244043743717	0.104158456098	-0.00208352599167	0.0468411617983	-0.233643474572	0.161116019618	0.123014199288	0.116186395948	-0.0695840081817	0.137581305118	-0.246151924502
ENSG00000116985.9	0.0779892216308	-0.0907782765692	-0.151949430839	-0.0331705897692	-0.0368360575892	0.0612040170108	0.00117282830083	0.00790010438083	-0.139192240859	0.0684439572508	-0.0144908355092	0.249707302561
ENSG00000168389.16	0.358077366347	0.217497079267	0.164642393527	-0.0358472885633	-0.172347043113	-0.0342412439533	-0.314088885113	-0.150390312503	-0.231822718173	-0.0183865692533	-0.0352013255833	0.252108547117
ENSG00000117016.8	-0.106371595673	-0.156060466143	0.249930593597	-0.0304854003933	-0.127807699873	-0.00844856152333	0.132963402947	0.100745000677	-0.156531855853	0.349511557807	-0.265003910743	0.0175589351767
ENSG00000010803.15	0.133286291993	-0.137266692887	-0.0356555437567	-0.00938997208667	0.115945258033	0.0428642004133	-0.0687387629267	0.0455276806233	0.0148109356533	-0.0752882862567	-0.121088207747	0.0949930989433
ENSG00000127129.8	0.927731619479	-0.19979012618	-0.790260104565	0.563742500829	0.616130843839	-0.45702765293	-0.533710478691	0.0734620244395	-0.464103683291	0.0891752994695	0.785484428079	-0.61083467048
ENSG00000127125.8	-0.0868704620775	0.0382211233925	0.0262483459025	-0.0301548266275	0.0457650723525	-0.105047779247	-0.0181504068575	0.0844601869625	0.0903278771625	0.0174890111025	-0.0381588730675	-0.0241292689975
ENSG00000177868.10	0.205542157507	0.187821822657	0.112711998917	-0.119369136113	0.0633814497367	-0.180505010013	-0.0243451305833	0.0542639019867	-0.129673111513	0.0328666900067	-0.124756865033	-0.0779387675533
ENSG00000117394.18	0.0702761160375	0.160726528477	0.0722581135375	0.113829698587	-0.193520238263	0.175549334328	-0.0429138608325	0.107115472408	0.0610183315975	-0.269256852753	0.0264919213275	-0.281574564452
ENSG00000126091.18	0.0318884546783	0.0823608495883	0.0119621050183	0.0145867616683	-0.0937298647217	0.0222221941983	-0.0750677450717	0.0264628117583	0.0579835186583	0.0666665335183	-0.0890778811117	-0.0562577381817
ENSG00000142945.11	0.0461200248392	-0.124770057181	-0.465805605651	0.183852345499	0.298936994279	0.104173257169	0.175986060299	-0.388597439441	0.0671600827492	0.123793190179	-0.0891373711708	0.0682885184292
ENSG00000173846.11	-0.0762288305525	0.0158128144575	-0.376226927023	0.149068330257	-0.0498501012525	0.0025242470175	0.0071424437875	-0.189598161152	-0.104497110902	0.214348688358	0.423757124137	-0.0162525171325
ENSG00000222009.7	0.136478794922	0.0426244217417	-0.192695502958	0.0687350282717	0.116708582902	0.0401854639317	0.00561117115167	0.00291447408167	0.0247082450317	0.147205849562	-0.416885500398	0.0244089717617
ENSG00000186603.5	-0.282495964174	-0.161874085914	-0.61956919063	-0.0230136208937	0.153985918836	0.289682677986	0.0738671893063	-0.0313154745337	0.222540890256	0.0794490152763	0.0679208789463	0.230821765536
ENSG00000117450.12	-0.0124045449225	0.0100691665775	0.0383646291175	0.0084570265975	0.0686453963475	0.0470440835375	-0.0377958502325	-0.0438576029825	-0.0499835965625	0.0144806200675	-0.0377340990425	-0.0052852285025
ENSG00000085999.10	0.163989123733	-0.232369267337	0.0820963751233	-0.224319354917	-0.141483868507	0.403422951003	0.512347002963	-0.201249753737	-0.269964704837	0.376335852253	-0.114555510407	-0.354248845337
