Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2	Weight	AbsWeight	Coef
G21-G98	G21	G98	enet	2	-0.48311189586324993	0.48311189586324993	1.0	0.047474564473007005	0.047474564473007005	2.0	-0.48311189586324993	0.48311189586324993	1.0
G21-G62	G21	G62	enet	2	-0.465078593266943	0.465078593266943	1.0	0.057675856572873795	0.057675856572873795	2.0	-0.465078593266943	0.465078593266943	1.0
G21-G99	G21	G99	enet	2	-0.3920080932297457	0.3920080932297457	1.0	-0.02294028784366204	0.02294028784366204	2.0	-0.3920080932297457	0.3920080932297457	1.0
G4-G36	G4	G36	enet	2	-0.36620657899494996	0.36620657899494996	1.0	-0.04408430306102205	0.04408430306102205	2.0	-0.36620657899494996	0.36620657899494996	1.0
G46-G47	G46	G47	enet	2	0.3592069168760561	0.3592069168760561	1.0				0.3592069168760561	0.3592069168760561	1.0
G21-G26	G21	G26	enet	2	-0.35717847201560626	0.35717847201560626	1.0				-0.35717847201560626	0.35717847201560626	1.0
G86-G26	G86	G26	enet	2	-0.3453734873844225	0.3453734873844225	1.0				-0.3453734873844225	0.3453734873844225	1.0
G41-G76	G41	G76	enet	2	-0.335643322140186	0.335643322140186	1.0				-0.335643322140186	0.335643322140186	1.0
G43-G91	G43	G91	enet	2	0.32193841052202354	0.32193841052202354	1.0	0.011323129497352183	0.011323129497352183	2.0	0.32193841052202354	0.32193841052202354	1.0
G43-G10	G43	G10	enet	2	0.32007588415136873	0.32007588415136873	1.0	0.08105012116547537	0.08105012116547537	2.0	0.32007588415136873	0.32007588415136873	1.0
G46-G57	G46	G57	enet	2	-0.3049981323459977	0.3049981323459977	1.0	-0.10786017720833203	0.10786017720833203	2.0	-0.3049981323459977	0.3049981323459977	1.0
G66-G46	G66	G46	enet	2	0.28386272475941915	0.28386272475941915	1.0				0.28386272475941915	0.28386272475941915	1.0
G25-G73	G25	G73	enet	2	0.28078854587409563	0.28078854587409563	1.0				0.28078854587409563	0.28078854587409563	1.0
G88-G50	G88	G50	enet	2	0.27651213819815423	0.27651213819815423	1.0				0.27651213819815423	0.27651213819815423	1.0
G10-G36	G10	G36	enet	2	0.274802330981325	0.274802330981325	1.0				0.274802330981325	0.274802330981325	1.0
G41-G51	G41	G51	enet	2	-0.26092019093076346	0.26092019093076346	1.0				-0.26092019093076346	0.26092019093076346	1.0
G73-G89	G73	G89	enet	2	0.25900148461553324	0.25900148461553324	1.0				0.25900148461553324	0.25900148461553324	1.0
G94-G36	G94	G36	enet	2	0.256685611818376	0.256685611818376	1.0	-0.075830657167986	0.075830657167986	2.0	0.256685611818376	0.256685611818376	1.0
G31-G4	G31	G4	enet	2	-0.2535859843056472	0.2535859843056472	1.0				-0.2535859843056472	0.2535859843056472	1.0
G37-G74	G37	G74	enet	2	-0.25245864380843563	0.25245864380843563	1.0	-0.1836323064209086	0.1836323064209086	2.0	-0.25245864380843563	0.25245864380843563	1.0
G8-G26	G8	G26	enet	2	-0.25199242600461363	0.25199242600461363	1.0				-0.25199242600461363	0.25199242600461363	1.0
G72-G76	G72	G76	enet	2	-0.2467912345336588	0.2467912345336588	1.0	-0.04488240305054189	0.04488240305054189	2.0	-0.2467912345336588	0.2467912345336588	1.0
G31-G83	G31	G83	enet	2	-0.24593239470919284	0.24593239470919284	1.0				-0.24593239470919284	0.24593239470919284	1.0
G83-G90	G83	G90	enet	2	0.2450268334944151	0.2450268334944151	1.0				0.2450268334944151	0.2450268334944151	1.0
G94-G71	G94	G71	enet	2	0.2438088739630114	0.2438088739630114	1.0				0.2438088739630114	0.2438088739630114	1.0
