row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
0	(0.001, 0.30000000000000004)	0.9088491246318176	0.0015198045746724993	0.2887628691877749	190	80	2.044032490161145	0.00029853354244002706	0.013000000000000001
1	(0.001, 0.30000000000000004)	0.6225897703176918	0.0008321796189247679	0.15811412759570592	190	45	2.28434234127482	1.6418277605290132e-05	0.009000000000000001
2	(0.001, 0.30000000000000004)	0.6792347353213453	0.0012769630239164648	0.2426229745441283	190	65	2.0964090635663526	7.105619713473899e-05	0.011000000000000001
3	(0.001, 0.30000000000000004)	0.8121831268042345	0.0015615879821580187	0.2967017166100236	190	63	2.044843379640472	8.690936840122232e-05	0.016
4	(0.001, 0.30000000000000004)	0.8114409085304479	0.001572595574056622	0.2987931590707582	190	71	2.095319641205501	0.00011745898414827759	0.013999999999999999
5	(0.001, 0.30000000000000004)	0.2313062788124464	0.00027581141832813216	0.052404169482345116	190	16	1.8780844707955464	2.2209794888622408e-07	0.004
6	(0.001, 0.30000000000000004)	0.8359463630966812	0.0016081323140544669	0.3055451396703487	190	71	1.9916572694891292	0.00013939834557369354	0.017
7	(0.001, 0.30000000000000004)	0.8431628007105009	0.0011605248122766214	0.22049971433255808	190	70	2.2703198200811143	7.208390058241476e-05	0.013999999999999999
8	(0.001, 0.30000000000000004)	0.7860860413419852	0.0006006173509417464	0.1141172966789318	190	34	2.024435559327584	2.8637903485284614e-05	0.008
9	(0.001, 0.30000000000000004)	0.8835345130572299	0.0014847367661545304	0.2820999855693608	190	72	2.118079997565394	0.0001348626922639817	0.02
10	(0.001, 0.30000000000000004)	0.4821339745188294	0.00023152356913726035	0.043989478136079466	190	19	1.8526223268996889	6.675774332498552e-07	0.008
11	(0.001, 0.30000000000000004)	0.7219101975193551	0.001270350202161587	0.2413665384107015	190	56	1.9646732272861307	3.079262169958241e-05	0.013000000000000001
12	(0.001, 0.30000000000000004)	0.1836866125895007	0.0001901106602448127	0.03612102544651441	190	14	1.7783904123484893	4.012964015254194e-08	0.006999999999999999
13	(0.001, 0.30000000000000004)	0.6632289813921621	0.0006289057564291031	0.11949209372152958	190	40	2.0363422766178942	2.477866264911921e-05	0.008
