row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
0	(0.001, 0.30000000000000004)	0.8807600619159173	0.0017208465711305815	0.3269608485148105	190	74	1.7247908103243512	0.00020683080607253324	0.008
1	(0.001, 0.30000000000000004)	0.6443112607946124	0.0009054314742177465	0.17203198010137183	190	54	1.9722509866750335	1.8921653333114907e-05	0.004
2	(0.001, 0.30000000000000004)	0.7507520415545833	0.0011974674082796484	0.2275188075731332	190	61	2.069766986532109	4.264457395333765e-05	0.006
3	(0.001, 0.30000000000000004)	0.7757109787823828	0.001896128186609457	0.3602643554557968	190	70	2.197272067340683	0.00012451300247962038	0.005
4	(0.001, 0.30000000000000004)	0.7611672356236273	0.0018267244558627569	0.3470776466139238	190	70	2.3401359437105635	9.668122882527941e-05	0.008
5	(0.001, 0.30000000000000004)	0.1763257610403518	0.0003163048123577619	0.06009791434797476	190	12	2.0764960535530825	6.284898152048024e-07	0.003
6	(0.001, 0.30000000000000004)	0.7147584599914958	0.001624133380013308	0.30858534220252853	190	72	1.9035447910200425	5.2164338060212145e-05	0.008
7	(0.001, 0.30000000000000004)	0.7769964926881394	0.0014774290748163828	0.28071152421511275	190	62	1.8194052215696852	0.00011555071059599076	0.006
8	(0.001, 0.30000000000000004)	0.8258444368626219	0.0006785686329994473	0.128928040269895	190	39	1.9901376428578565	7.13112002672378e-05	0.004
9	(0.001, 0.30000000000000004)	0.894624766457616	0.0017304914132512585	0.3287933685177391	190	67	2.1130507534209095	0.00029975769641565897	0.006
10	(0.001, 0.30000000000000004)	0.32917674143356523	0.00020956545616607306	0.03981743667155388	190	17	1.816512004011869	1.8502497294708986e-07	0.004
11	(0.001, 0.30000000000000004)	0.7323698844705726	0.0014514906147534584	0.2757832168031571	190	62	1.948520916684647	5.9660961927054945e-05	0.007
12	(0.001, 0.30000000000000004)	0.17145862162228898	0.00018993711201197545	0.03608805128227534	190	15	1.9646213701177246	2.0075654585255398e-07	0.004
13	(0.001, 0.30000000000000004)	0.6858489716030882	0.0006263736588557167	0.11901099518258618	190	42	1.9635269929904413	2.0053032178557473e-05	0.005
14	(0.001, 0.30000000000000004)	0.5833621796726896	0.0003965566009982098	0.07534575418965986	190	19	1.9639704951083645	4.664986512636915e-06	0.005
15	(0.001, 0.30000000000000004)	0.8963603614038819	0.001534214602154509	0.29150077440935673	190	77	1.6362917234555834	0.00024215380644382334	0.006
