gene	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
G1	0.0	0.0	-0.025343093934647662	0.0	-0.0	0.0	0.0	0.0	0.0	-0.03883373854162193	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.005906024359106713	0.008610438171564243	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.025496915961285976	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.02585483986779426	0.0181700299396802	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.07268127542284508	-0.0	0.028334615207610762	-0.054954657735482616	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.05044629677351307	0.015367211944285076	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0
G2	0.0	0.0	-0.0	0.04543040236779804	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.020112903501626575	0.0	-0.0	-0.0	-0.0	-0.0	-0.011081093158702331	0.0	0.05083395939618294	0.0	0.0	0.0	0.0	-0.0	-0.08320240808855528	0.0	0.0	-0.0	0.0	-0.04193546292396711	0.19940570743263075	0.0	0.0	-0.019060544132856867	0.0	-0.0	0.12568234374632847	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.028444960012691627	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.02174007338703832	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.024039401669501415	0.0	-0.0	-0.0	0.0	-0.0
G3	-0.015793443124977952	-0.0	0.0	0.0662786993729943	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.03730507260931524	0.0	-0.0	-0.0	0.0	-0.0	0.04840236238917695	-0.0	-0.0	-0.0	0.0	0.02915288637831067	0.06986254880176729	0.0	0.0	0.0	-0.0	0.013153295023211345	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.026827256411169023	-0.07418175416094178	-0.0	0.0	0.0	0.055636443438402	0.0	0.0	0.0013582521988303416	0.0	0.0	-0.0	0.0	-0.0	0.0009431213834963018	-0.08715149341281848	0.0	-0.0	-0.0	0.0	-0.039902353669568943	0.0	0.0	0.0	0.0311782275806011	0.0	0.0	0.0	0.030334639819582735	0.0	-0.0	-0.005778161689158318	-0.0	-0.0	0.09252508137245323	0.0	0.061178576122952105	0.028562117257844542	0.0	-0.054366975395922904	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.007437082840302276	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.09741387434924657	-0.033826634805470365	-0.0	-0.0	0.0	0.0	-0.09093504924992947	-0.0
G4	0.0	0.014549979754093499	0.034828250044663896	0.0	0.008499066259447402	-0.0	-0.04303005488732378	0.03808397548892652	-0.0	0.06859814515047216	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.007313711681952199	0.0	-0.0	-0.015551169986644962	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.2000391060950495	0.0	-0.0	0.0	-0.0	-0.06437998844173179	-0.0	0.10644240969930086	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.05475720023128157	-0.0	0.05439849139299364	-0.0	-0.022502519873084836	-0.0	0.0	-0.0	0.059819764659874666	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.03986422332035534	-0.01204356767274031	-0.0	-0.0	-0.04012692234342907	-0.0003138261337344328	0.15719783731919312	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.017666974315455393	0.022044033518249063	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0
G5	-0.0	0.09256539380060201	0.009564701400499948	0.02116305307825091	0.0	-0.0	0.0	0.10485870666276574	0.0	0.0025974068465375926	-0.0035141538195030586	0.0	-0.0	-0.009795637782085535	-0.02441781450503344	0.0	-0.09885253088409142	-0.030836748558325213	0.0	-0.0	-0.02558220412746968	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.024586865952961206	-0.02378841179694924	-0.06681510029292413	0.016245708187448735	0.0	-0.0	0.0	-0.0	0.14148742204895157	0.0	0.0	0.0	0.0	-0.0	0.00681173550900864	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.10116437062242446	0.0	-0.0	-0.09870747133553766	-0.0	0.0	0.003746336380960101	0.08846962807755025	-0.03322536040572091	-0.0	-0.0	0.05368120291568586	0.0	0.02807129160352922	-0.02009275268213785	-0.0	0.0	0.0	0.0	0.0	0.0037441454544494684	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.025736019641885283	0.0	-0.0	-0.02445771469460342	-0.03763140252833637	-0.07774205226546926	0.0746165710055631	0.0	0.011168568426092268	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.03488787336555632	0.0	0.019367689940862968
G6	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G7	0.0	0.009255897548929566	-0.0	0.0	0.04223768715454784	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.033073655401723696	-0.0	-0.0	0.0	-0.0	-0.0	0.0505369727443081	0.0	-0.09859586861752825	-0.0	0.0	-0.0	-0.0	-0.03989701504512378	0.0	0.0	0.00322663820853328	-0.0	0.242264206525192	0.0	-0.0	-0.0	0.011681388307778548	-0.015837490929758575	0.025316945752947358	-0.0	0.04751573296163805	0.0016111949893465097	-0.0	-0.0	-0.0	0.0	-0.0	0.15300376549439093	0.0	-0.0	0.0	0.0	0.0	-0.02220385747240166	-0.008133955921053699	0.0	0.0	-0.009525694162407956	-0.0	0.0	0.0	0.01642138921342933	0.0	0.0	-0.0	-0.06838072910430743	0.0	0.01557182569288953	0.0	0.0	-0.04332101039520387	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.06661059136240918	0.0	0.0	0.0	0.0	-0.032479910149341144	0.0	-0.0	-0.0	-0.0	-0.03514807925010112	0.0	-0.0	0.0	0.0	-0.0	0.0
G8	-0.0	0.0	0.063743534381902	0.03263394957107665	0.06648680546673122	-0.0	0.0	0.0	-0.0	0.0582573873665724	-0.0	-0.0	0.0	-0.0	-0.00043391085974216225	-0.02360697413559269	-0.0	-0.12183453325384051	-0.0	-0.0	0.0	0.0	0.08704360126638942	0.10236059175568422	0.02048660740861331	-0.1675133227694628	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.05278028660917227	-0.033910386406425165	-0.01091980600775196	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.1266793965026402	0.049083123327680396	-0.10798220143263207	-0.08652147900087745	-0.04105692952707974	-0.03651877958671233	0.0	-0.0	-0.06470958965372252	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.020318160095737354	-0.0	-0.0	-0.07730665477903599	-0.007943825050831164	-0.015800925397100894	0.0	0.00843265683118515	0.0	0.0	0.0	0.0	0.0	0.0	0.0011608286234457523	-0.009276473266421358	0.0411798466963415	0.0	-0.0	-0.0	-0.006422208824741806	-0.0	0.007245316563078806	0.0	0.0	-0.060778928766100075	-0.0	0.0012945114458024103	-0.0	0.08947162245178836	-0.012685968652054114	0.0	0.010292453108378882	0.0	0.025685994836831524	0.0241580377676005	0.0
G9	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0024609286980808542	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.13844951717919196	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.13450827412054484	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.06656331147952428	0.0	-0.0	-0.0	-0.0	-0.0	-0.0006738541922767934	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.01974395322173096	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.1663224757401106	-0.0	-0.08376321448159375	-0.0	0.0	0.0	0.0	-0.0
G10	-0.03249520805693523	-0.0	0.0	0.0	0.002890990775161172	0.0	-0.09590578022079625	-0.0	-0.0	0.0	0.0	0.0973993008863079	0.0	-0.08299307934581415	0.0	-0.0049596246896998685	-0.05911162731645575	0.0	-0.0	-0.0	-0.0861025889106874	-0.0	0.0	-0.0	-0.0	0.12985880902068922	0.0	0.00916207205853485	-0.028980508222304458	0.023154238589810153	0.01824691458121503	0.0	-0.0	-0.0	0.0	0.1259636539547835	0.23917763699889846	-0.0	-0.0	0.0	-0.0	-0.05871756756666888	0.13961950965161155	0.1372097764906945	-0.0	0.1162071035296285	0.0	0.03157425749894981	0.1303580667175032	0.0	0.0	0.08772939778355537	0.005357049146613463	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.024091862851180135	0.045760567622454784	0.0	-0.0	0.0	-0.0	0.01690450328113336	-0.0036925499157376674	-0.0	0.0	-0.0	0.0	0.0	-0.018437885054685948	-0.0	0.0	-0.07002773500086419	-0.0	-0.0	0.0	-0.0	-0.010342714592720001	0.0	0.07254641507542445	-0.0	0.02290976387625157	-0.0	0.031895710365351874	0.1016597296002481	0.039441136371621305	-0.0	0.025642740856872	0.0	0.0	-0.0	0.08886422760167682	0.0	0.0
