Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2	Weight	AbsWeight	Coef
G8-G36	G8	G36	enet	2	0.3186803206129576	0.3186803206129576	1.0	0.010253198419478896	0.010253198419478896	2.0	0.3186803206129576	0.3186803206129576	1.0
G92-G37	G92	G37	enet	2	0.26396887814374703	0.26396887814374703	1.0	0.07697366828957375	0.07697366828957375	2.0	0.26396887814374703	0.26396887814374703	1.0
G16-G76	G16	G76	enet	2	0.24183199417810192	0.24183199417810192	1.0				0.24183199417810192	0.24183199417810192	1.0
G92-G43	G92	G43	enet	2	0.22538084466342678	0.22538084466342678	1.0				0.22538084466342678	0.22538084466342678	1.0
G19-G63	G19	G63	enet	2	-0.22386657421894007	0.22386657421894007	1.0				-0.22386657421894007	0.22386657421894007	1.0
G81-G62	G81	G62	enet	2	0.21724285391904224	0.21724285391904224	1.0				0.21724285391904224	0.21724285391904224	1.0
G58-G36	G58	G36	enet	2	-0.21178359422263907	0.21178359422263907	1.0	0.08667564085765588	0.08667564085765588	2.0	-0.21178359422263907	0.21178359422263907	1.0
G17-G95	G17	G95	enet	2	0.21049944411157612	0.21049944411157612	1.0				0.21049944411157612	0.21049944411157612	1.0
G61-G37	G61	G37	enet	2	-0.20962762921013853	0.20962762921013853	1.0				-0.20962762921013853	0.20962762921013853	1.0
G94-G63	G94	G63	enet	2	0.20430720216458012	0.20430720216458012	1.0	0.18580735083811303	0.18580735083811303	2.0	0.20430720216458012	0.20430720216458012	1.0
G4-G37	G4	G37	enet	2	0.1989836692854985	0.1989836692854985	1.0				0.1989836692854985	0.1989836692854985	1.0
G65-G37	G65	G37	enet	2	-0.18901068961720974	0.18901068961720974	1.0	-0.16844940673263054	0.16844940673263054	2.0	-0.18901068961720974	0.18901068961720974	1.0
G34-G40	G34	G40	enet	2	0.18699276425417746	0.18699276425417746	1.0	0.07683302100945774	0.07683302100945774	2.0	0.18699276425417746	0.18699276425417746	1.0
G68-G99	G68	G99	enet	2	-0.18565284422747455	0.18565284422747455	1.0				-0.18565284422747455	0.18565284422747455	1.0
G35-G77	G35	G77	enet	2	0.18453754794184846	0.18453754794184846	1.0				0.18453754794184846	0.18453754794184846	1.0
G35-G89	G35	G89	enet	2	0.18399822200893737	0.18399822200893737	1.0	0.09154361433256132	0.09154361433256132	2.0	0.18399822200893737	0.18399822200893737	1.0
G31-G83	G31	G83	enet	2	-0.182961843980421	0.182961843980421	1.0	-0.03657214672761923	0.03657214672761923	2.0	-0.182961843980421	0.182961843980421	1.0
G84-G8	G84	G8	enet	2	0.18157400193982073	0.18157400193982073	1.0				0.18157400193982073	0.18157400193982073	1.0
G29-G37	G29	G37	enet	2	0.18144020541183528	0.18144020541183528	1.0	-0.06317474376116289	0.06317474376116289	2.0	0.18144020541183528	0.18144020541183528	1.0
