Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
G40-G46	G40	G46	0.2402801775748457	0.2402801775748457	enet	2	2
G98-G74	G98	G74	-0.22987961452540712	0.22987961452540712	enet	2	2
G84-G12	G84	G12	-0.2088180192655533	0.2088180192655533	enet	2	2
G8-G52	G8	G52	0.1951742933198927	0.1951742933198927	enet	2	2
G41-G47	G41	G47	0.18540903917132218	0.18540903917132218	enet	2	2
G84-G36	G84	G36	-0.18188968356288418	0.18188968356288418	enet	2	2
G34-G52	G34	G52	-0.18081086113757253	0.18081086113757253	enet	2	2
G31-G83	G31	G83	-0.18031158009193557	0.18031158009193557	enet	2	2
G75-G76	G75	G76	-0.1713956579501296	0.1713956579501296	enet	2	2
G91-G83	G91	G83	0.17045380830165524	0.17045380830165524	enet	2	2
G4-G36	G4	G36	0.17016781979429182	0.17016781979429182	enet	2	2
G22-G26	G22	G26	-0.16492627579314545	0.16492627579314545	enet	2	2
G1-G36	G1	G36	0.16087507584553015	0.16087507584553015	enet	2	2
G45-G29	G45	G29	0.15782200917911013	0.15782200917911013	enet	2	2
G57-G24	G57	G24	-0.15483796748198653	0.15483796748198653	enet	2	2
G57-G7	G57	G7	0.1544403935895755	0.1544403935895755	enet	2	2
G99-G36	G99	G36	0.1532448413392674	0.1532448413392674	enet	2	2
G31-G90	G31	G90	-0.15232457848011943	0.15232457848011943	enet	2	2
G91-G43	G91	G43	0.15186861340228958	0.15186861340228958	enet	2	2
G4-G42	G4	G42	0.14752414580141648	0.14752414580141648	enet	2	2
G69-G27	G69	G27	0.14713472961572166	0.14713472961572166	enet	2	2
G31-G44	G31	G44	-0.1419798084333652	0.1419798084333652	enet	2	2
G41-G73	G41	G73	-0.14034492540024285	0.14034492540024285	enet	2	2
G8-G98	G8	G98	0.1398145618459465	0.1398145618459465	enet	2	2
G75-G53	G75	G53	-0.13907519592326328	0.13907519592326328	enet	2	2
G94-G4	G94	G4	-0.13877578802187876	0.13877578802187876	enet	2	2
G75-G48	G75	G48	-0.1386495977993926	0.1386495977993926	enet	2	2
G59-G31	G59	G31	-0.1385651389081162	0.1385651389081162	enet	2	2
G16-G36	G16	G36	-0.13854108680797433	0.13854108680797433	enet	2	2
G31-G93	G31	G93	-0.13815917562196559	0.13815917562196559	enet	2	2
G52-G26	G52	G26	0.13797931992038365	0.13797931992038365	enet	2	2
G43-G63	G43	G63	0.1370311293494382	0.1370311293494382	enet	2	2
G96-G46	G96	G46	0.13700018243372272	0.13700018243372272	enet	2	2
G48-G57	G48	G57	-0.13666682363697802	0.13666682363697802	enet	2	2
G75-G37	G75	G37	-0.13583758119049252	0.13583758119049252	enet	2	2
G17-G35	G17	G35	-0.13494625945364538	0.13494625945364538	enet	2	2
G28-G76	G28	G76	0.13473446878357545	0.13473446878357545	enet	2	2
G83-G31	G83	G31	-0.13355985770210854	0.13355985770210854	enet	2	2
G52-G27	G52	G27	0.13278201018268013	0.13278201018268013	enet	2	2
G18-G93	G18	G93	0.13198071665722344	0.13198071665722344	enet	2	2
G68-G76	G68	G76	-0.13186114794477002	0.13186114794477002	enet	2	2
G23-G36	G23	G36	0.13181883944194533	0.13181883944194533	enet	2	2
G52-G47	G52	G47	0.13098109667890945	0.13098109667890945	enet	2	2
G96-G45	G96	G45	-0.13060001432779292	0.13060001432779292	enet	2	2
G42-G57	G42	G57	0.13007988649855395	0.13007988649855395	enet	2	2
G98-G62	G98	G62	-0.13000705900701914	0.13000705900701914	enet	2	2
G84-G74	G84	G74	-0.12982068201412117	0.12982068201412117	enet	2	2
G54-G71	G54	G71	0.1296817735202711	0.1296817735202711	enet	2	2
G87-G42	G87	G42	-0.1294679026542008	0.1294679026542008	enet	2	2
G31-G78	G31	G78	-0.12843058719436865	0.12843058719436865	enet	2	2
G39-G36	G39	G36	-0.1281974917518893	0.1281974917518893	enet	2	2
G4-G26	G4	G26	0.12697914860804815	0.12697914860804815	enet	2	2
G8-G92	G8	G92	-0.12666496062022012	0.12666496062022012	enet	2	2
G31-G9	G31	G9	0.12578707932671446	0.12578707932671446	enet	2	2
G30-G56	G30	G56	-0.1254135410959277	0.1254135410959277	enet	2	2
G91-G45	G91	G45	0.12527882545473257	0.12527882545473257	enet	2	2
G79-G83	G79	G83	0.12433952172960075	0.12433952172960075	enet	2	2
G16-G37	G16	G37	-0.12402977808302972	0.12402977808302972	enet	2	2
G43-G78	G43	G78	-0.12283802101085244	0.12283802101085244	enet	2	2
G84-G47	G84	G47	0.12253719756161839	0.12253719756161839	enet	2	2
G83-G95	G83	G95	0.12212936571444677	0.12212936571444677	enet	2	2
G67-G18	G67	G18	-0.12153917994527905	0.12153917994527905	enet	2	2
G45-G4	G45	G4	0.12083913691350782	0.12083913691350782	enet	2	2
G44-G36	G44	G36	-0.12059869849695104	0.12059869849695104	enet	2	2
G3-G74	G3	G74	0.11994186946006027	0.11994186946006027	enet	2	2
G54-G46	G54	G46	-0.119921208476816	0.119921208476816	enet	2	2
G1-G76	G1	G76	0.11905086971207335	0.11905086971207335	enet	2	2
G16-G1	G16	G1	0.11899556857851525	0.11899556857851525	enet	2	2
G4-G76	G4	G76	-0.11847632684877425	0.11847632684877425	enet	2	2
G58-G36	G58	G36	0.11806198087026408	0.11806198087026408	enet	2	2
G84-G57	G84	G57	-0.11786825955785073	0.11786825955785073	enet	2	2
G40-G76	G40	G76	0.11699724726431635	0.11699724726431635	enet	2	2
G9-G63	G9	G63	0.11593852500321733	0.11593852500321733	enet	2	2
G68-G8	G68	G8	0.11569914921883405	0.11569914921883405	enet	2	2
G4-G52	G4	G52	-0.11563765778622351	0.11563765778622351	enet	2	2
G98-G99	G98	G99	0.11534198513436843	0.11534198513436843	enet	2	2
G52-G35	G52	G35	0.11492638412454693	0.11492638412454693	enet	2	2
G98-G75	G98	G75	-0.11478117243459122	0.11478117243459122	enet	2	2
G66-G91	G66	G91	-0.11415780538711497	0.11415780538711497	enet	2	2
G90-G37	G90	G37	0.11384945316498069	0.11384945316498069	enet	2	2
G34-G74	G34	G74	0.11345871591521747	0.11345871591521747	enet	2	2
G37-G36	G37	G36	-0.11329701301019712	0.11329701301019712	enet	2	2
G5-G8	G5	G8	-0.11302752682746539	0.11302752682746539	enet	2	2
G79-G30	G79	G30	0.1128343061226473	0.1128343061226473	enet	2	2
G1-G98	G1	G98	0.11272288575152621	0.11272288575152621	enet	2	2
G48-G24	G48	G24	-0.11205450315965629	0.11205450315965629	enet	2	2
G23-G7	G23	G7	0.11201681645187889	0.11201681645187889	enet	2	2
G71-G63	G71	G63	-0.11199636192139682	0.11199636192139682	enet	2	2
G99-G37	G99	G37	0.11171462819112495	0.11171462819112495	enet	2	2
G75-G62	G75	G62	0.11139619243008508	0.11139619243008508	enet	2	2
G88-G36	G88	G36	0.11102871756820228	0.11102871756820228	enet	2	2
G53-G46	G53	G46	0.10994718591539779	0.10994718591539779	enet	2	2
G52-G99	G52	G99	0.10982997326375342	0.10982997326375342	enet	2	2
G98-G91	G98	G91	-0.1098195442926203	0.1098195442926203	enet	2	2
G41-G72	G41	G72	-0.1097905962258773	0.1097905962258773	enet	2	2
G29-G77	G29	G77	-0.10902200090790348	0.10902200090790348	enet	2	2
G82-G69	G82	G69	0.10900213967565625	0.10900213967565625	enet	2	2
G31-G64	G31	G64	-0.10898300752429199	0.10898300752429199	enet	2	2
G44-G76	G44	G76	-0.1089605049500163	0.1089605049500163	enet	2	2
G75-G89	G75	G89	0.10834678786705419	0.10834678786705419	enet	2	2
G26-G53	G26	G53	-0.10807908042001413	0.10807908042001413	enet	2	2
G54-G99	G54	G99	0.10804463384366138	0.10804463384366138	enet	2	2
G75-G22	G75	G22	0.10770545511666982	0.10770545511666982	enet	2	2
G63-G43	G63	G43	0.10747237499843655	0.10747237499843655	enet	2	2
G10-G37	G10	G37	-0.10745354837897683	0.10745354837897683	enet	2	2
G24-G46	G24	G46	-0.10649825387850356	0.10649825387850356	enet	2	2
G65-G89	G65	G89	0.10643914109874239	0.10643914109874239	enet	2	2
G49-G30	G49	G30	0.10639074326026286	0.10639074326026286	enet	2	2
G52-G29	G52	G29	-0.10615947916468071	0.10615947916468071	enet	2	2
G98-G1	G98	G1	-0.10610547761732612	0.10610547761732612	enet	2	2
G60-G36	G60	G36	-0.10607764758985058	0.10607764758985058	enet	2	2
G94-G95	G94	G95	0.10542379405794851	0.10542379405794851	enet	2	2
G25-G49	G25	G49	-0.1053864534676636	0.1053864534676636	enet	2	2
G55-G83	G55	G83	-0.10537614915324636	0.10537614915324636	enet	2	2
G1-G47	G1	G47	-0.10498463363557152	0.10498463363557152	enet	2	2
G98-G48	G98	G48	0.10492846020541571	0.10492846020541571	enet	2	2
G57-G53	G57	G53	0.10480223552181135	0.10480223552181135	enet	2	2
G75-G74	G75	G74	0.1043815247656029	0.1043815247656029	enet	2	2
G69-G43	G69	G43	-0.10376841797958905	0.10376841797958905	enet	2	2
G96-G100	G96	G100	-0.10355351226799271	0.10355351226799271	enet	2	2
G37-G98	G37	G98	-0.10342411713310093	0.10342411713310093	enet	2	2
G12-G73	G12	G73	0.1032934636299868	0.1032934636299868	enet	2	2
G34-G95	G34	G95	0.10305202164262953	0.10305202164262953	enet	2	2
G90-G76	G90	G76	0.10295524338890148	0.10295524338890148	enet	2	2
G66-G49	G66	G49	0.10294441729385857	0.10294441729385857	enet	2	2
G8-G29	G8	G29	-0.10235018387234555	0.10235018387234555	enet	2	2
G84-G48	G84	G48	0.10231846906978705	0.10231846906978705	enet	2	2
G17-G94	G17	G94	0.10230312494462311	0.10230312494462311	enet	2	2
G95-G30	G95	G30	-0.10200287422801646	0.10200287422801646	enet	2	2
G90-G72	G90	G72	-0.10195658184227048	0.10195658184227048	enet	2	2
G27-G72	G27	G72	-0.101760778456065	0.101760778456065	enet	2	2
G7-G96	G7	G96	0.10145471301224823	0.10145471301224823	enet	2	2
G94-G79	G94	G79	-0.10139612434548892	0.10139612434548892	enet	2	2
G8-G27	G8	G27	0.10132411505775994	0.10132411505775994	enet	2	2
G7-G51	G7	G51	0.10116534744536218	0.10116534744536218	enet	2	2
G28-G90	G28	G90	0.10106999383227766	0.10106999383227766	enet	2	2
G39-G31	G39	G31	0.10048331514558025	0.10048331514558025	enet	2	2
G69-G76	G69	G76	-0.10037613773088432	0.10037613773088432	enet	2	2
G43-G4	G43	G4	-0.10023016118843903	0.10023016118843903	enet	2	2
G77-G89	G77	G89	0.09984933980076666	0.09984933980076666	enet	2	2
G33-G94	G33	G94	-0.09972968854557127	0.09972968854557127	enet	2	2
G75-G29	G75	G29	0.09968261907815508	0.09968261907815508	enet	2	2
G83-G17	G83	G17	0.09959725105759902	0.09959725105759902	enet	2	2
G1-G71	G1	G71	0.09958920023505094	0.09958920023505094	enet	2	2
G58-G8	G58	G8	0.09949060114000474	0.09949060114000474	enet	2	2
G64-G96	G64	G96	0.09938883175736081	0.09938883175736081	enet	2	2
G17-G57	G17	G57	-0.0993638117443586	0.0993638117443586	enet	2	2
G98-G43	G98	G43	-0.09912176652279316	0.09912176652279316	enet	2	2
G29-G24	G29	G24	-0.09910610159485693	0.09910610159485693	enet	2	2
G16-G40	G16	G40	0.09899390597276361	0.09899390597276361	enet	2	2
G76-G52	G76	G52	0.09890353721157467	0.09890353721157467	enet	2	2
G100-G30	G100	G30	-0.09879456828228245	0.09879456828228245	enet	2	2
G61-G35	G61	G35	-0.09834144214423905	0.09834144214423905	enet	2	2
G39-G93	G39	G93	-0.0982861978914827	0.0982861978914827	enet	2	2
G69-G37	G69	G37	-0.09809311532079544	0.09809311532079544	enet	2	2
G39-G83	G39	G83	-0.09809175537423463	0.09809175537423463	enet	2	2
G10-G75	G10	G75	-0.09794953060614145	0.09794953060614145	enet	2	2
G95-G94	G95	G94	-0.09777932950316721	0.09777932950316721	enet	2	2
G8-G74	G8	G74	-0.09720445258962802	0.09720445258962802	enet	2	2
G8-G72	G8	G72	-0.09717044525268467	0.09717044525268467	enet	2	2
G71-G28	G71	G28	0.09707259527646017	0.09707259527646017	enet	2	2
G56-G36	G56	G36	-0.09631206585248478	0.09631206585248478	enet	2	2
G22-G74	G22	G74	-0.09607291134724609	0.09607291134724609	enet	2	2
G45-G64	G45	G64	0.09585312004976013	0.09585312004976013	enet	2	2
G16-G75	G16	G75	0.09572963567821897	0.09572963567821897	enet	2	2
G7-G91	G7	G91	0.09570646287893234	0.09570646287893234	enet	2	2
G83-G87	G83	G87	-0.09566530613705757	0.09566530613705757	enet	2	2
G4-G95	G4	G95	0.09563775921110487	0.09563775921110487	enet	2	2
G100-G75	G100	G75	-0.09559588202466608	0.09559588202466608	enet	2	2
G79-G49	G79	G49	-0.09541417077880389	0.09541417077880389	enet	2	2
G96-G90	G96	G90	0.09510974981141664	0.09510974981141664	enet	2	2
G98-G69	G98	G69	0.09503044800788173	0.09503044800788173	enet	2	2
G9-G59	G9	G59	-0.09469651406758287	0.09469651406758287	enet	2	2
G25-G100	G25	G100	-0.09450025994974327	0.09450025994974327	enet	2	2
G41-G74	G41	G74	-0.09380739450844434	0.09380739450844434	enet	2	2
G10-G43	G10	G43	-0.0936984305345442	0.0936984305345442	enet	2	2
G7-G8	G7	G8	-0.09365506655545788	0.09365506655545788	enet	2	2
G12-G85	G12	G85	0.09353888395818517	0.09353888395818517	enet	2	2
G83-G12	G83	G12	-0.09350848900481043	0.09350848900481043	enet	2	2
G57-G74	G57	G74	-0.09338428800131601	0.09338428800131601	enet	2	2
G74-G36	G74	G36	-0.0933806648150173	0.0933806648150173	enet	2	2
G4-G72	G4	G72	-0.09308276191958788	0.09308276191958788	enet	2	2
G39-G18	G39	G18	0.09301339155794475	0.09301339155794475	enet	2	2
G62-G63	G62	G63	0.09267036845420278	0.09267036845420278	enet	2	2
G100-G83	G100	G83	0.09248454622435001	0.09248454622435001	enet	2	2
G72-G24	G72	G24	0.09241205611581925	0.09241205611581925	enet	2	2
G46-G89	G46	G89	-0.09233756194527992	0.09233756194527992	enet	2	2
G18-G3	G18	G3	0.09167999958996666	0.09167999958996666	enet	2	2
G86-G12	G86	G12	-0.09162616398208523	0.09162616398208523	enet	2	2
G31-G39	G31	G39	0.09149785554290477	0.09149785554290477	enet	2	2
G25-G47	G25	G47	-0.09149108959209043	0.09149108959209043	enet	2	2
G68-G73	G68	G73	0.09148145505879722	0.09148145505879722	enet	2	2
G65-G40	G65	G40	0.09101256324214349	0.09101256324214349	enet	2	2
G90-G96	G90	G96	0.09088818162819708	0.09088818162819708	enet	2	2
G71-G47	G71	G47	0.09072495877996632	0.09072495877996632	enet	2	2
G5-G74	G5	G74	-0.09065305681006879	0.09065305681006879	enet	2	2
G86-G94	G86	G94	-0.09008419468719674	0.09008419468719674	enet	2	2
G100-G74	G100	G74	-0.08996473096041639	0.08996473096041639	enet	2	2
G19-G47	G19	G47	0.08986928991697253	0.08986928991697253	enet	2	2
G39-G90	G39	G90	-0.08983924108241116	0.08983924108241116	enet	2	2
G4-G93	G4	G93	0.08979310822329273	0.08979310822329273	enet	2	2
G49-G58	G49	G58	-0.08970029817648295	0.08970029817648295	enet	2	2
G79-G80	G79	G80	0.089528876196668	0.089528876196668	enet	2	2
G31-G63	G31	G63	-0.08942536691460416	0.08942536691460416	enet	2	2
