Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
G37-G69	G37	G69	0.26609012724678627	0.26609012724678627	enet	2	2
G37-G74	G37	G74	-0.22092421038793042	0.22092421038793042	enet	2	2
G67-G83	G67	G83	0.21198614479287423	0.21198614479287423	enet	2	2
G91-G43	G91	G43	0.20290470978748723	0.20290470978748723	enet	2	2
G70-G36	G70	G36	0.20179749130337912	0.20179749130337912	enet	2	2
G92-G73	G92	G73	0.1944235101419304	0.1944235101419304	enet	2	2
G37-G29	G37	G29	-0.19238426599442246	0.19238426599442246	enet	2	2
G87-G75	G87	G75	-0.192064936951477	0.192064936951477	enet	2	2
G24-G36	G24	G36	0.18663304486747181	0.18663304486747181	enet	2	2
G36-G37	G36	G37	0.17809620881375005	0.17809620881375005	enet	2	2
G96-G65	G96	G65	-0.17231132799351617	0.17231132799351617	enet	2	2
G91-G63	G91	G63	0.17217557672450967	0.17217557672450967	enet	2	2
G30-G76	G30	G76	-0.1717433595876821	0.1717433595876821	enet	2	2
G74-G36	G74	G36	0.17039872968788192	0.17039872968788192	enet	2	2
G7-G37	G7	G37	0.16800563045801734	0.16800563045801734	enet	2	2
G80-G31	G80	G31	-0.16655765312688164	0.16655765312688164	enet	2	2
G52-G5	G52	G5	0.1641923360473369	0.1641923360473369	enet	2	2
G24-G46	G24	G46	0.16168074189090015	0.16168074189090015	enet	2	2
G63-G75	G63	G75	0.1614375377465458	0.1614375377465458	enet	2	2
G2-G37	G2	G37	0.16095284882765773	0.16095284882765773	enet	2	2
G95-G56	G95	G56	-0.1606438384835565	0.1606438384835565	enet	2	2
G68-G7	G68	G7	0.15848708330976427	0.15848708330976427	enet	2	2
G63-G79	G63	G79	-0.15537031739028997	0.15537031739028997	enet	2	2
G85-G87	G85	G87	-0.15315657069490482	0.15315657069490482	enet	2	2
G77-G7	G77	G7	0.15139424962199857	0.15139424962199857	enet	2	2
G8-G43	G8	G43	-0.15139369154167956	0.15139369154167956	enet	2	2
G31-G76	G31	G76	0.15111373625324104	0.15111373625324104	enet	2	2
G2-G36	G2	G36	0.15103308772682544	0.15103308772682544	enet	2	2
G76-G49	G76	G49	-0.1491498763772807	0.1491498763772807	enet	2	2
G35-G8	G35	G8	0.1485619855275944	0.1485619855275944	enet	2	2
G92-G29	G92	G29	0.1485314755182994	0.1485314755182994	enet	2	2
G89-G100	G89	G100	0.1472851865653233	0.1472851865653233	enet	2	2
G45-G81	G45	G81	-0.1471833291765515	0.1471833291765515	enet	2	2
G43-G64	G43	G64	0.14636063054418869	0.14636063054418869	enet	2	2
G57-G75	G57	G75	0.14580295593366518	0.14580295593366518	enet	2	2
G76-G90	G76	G90	-0.14254961635362395	0.14254961635362395	enet	2	2
G43-G63	G43	G63	0.141677005109159	0.141677005109159	enet	2	2
G93-G95	G93	G95	0.14107962431885324	0.14107962431885324	enet	2	2
G16-G91	G16	G91	-0.1409065158946684	0.1409065158946684	enet	2	2
G26-G85	G26	G85	0.140515376128746	0.140515376128746	enet	2	2
G69-G66	G69	G66	-0.13800395303979585	0.13800395303979585	enet	2	2
G12-G62	G12	G62	0.1378850393759938	0.1378850393759938	enet	2	2
G63-G52	G63	G52	-0.1369816896345805	0.1369816896345805	enet	2	2
G45-G79	G45	G79	-0.13607681668346813	0.13607681668346813	enet	2	2
G77-G24	G77	G24	0.13438561418344175	0.13438561418344175	enet	2	2
G56-G71	G56	G71	-0.1335310042880868	0.1335310042880868	enet	2	2
G92-G69	G92	G69	-0.13278458718460273	0.13278458718460273	enet	2	2
G81-G45	G81	G45	0.13221893674541152	0.13221893674541152	enet	2	2
G26-G56	G26	G56	-0.13089509833653887	0.13089509833653887	enet	2	2
G7-G65	G7	G65	-0.12799629329986606	0.12799629329986606	enet	2	2
G47-G62	G47	G62	0.12697506529009064	0.12697506529009064	enet	2	2
G77-G49	G77	G49	-0.126328689080424	0.126328689080424	enet	2	2
G56-G76	G56	G76	-0.12618781636047585	0.12618781636047585	enet	2	2
G4-G72	G4	G72	0.12608158636026948	0.12608158636026948	enet	2	2
G26-G34	G26	G34	-0.12566535700494072	0.12566535700494072	enet	2	2
G40-G30	G40	G30	-0.12559685283210867	0.12559685283210867	enet	2	2
G88-G46	G88	G46	0.12545697594022012	0.12545697594022012	enet	2	2
G37-G62	G37	G62	-0.12431114109148057	0.12431114109148057	enet	2	2
G43-G44	G43	G44	0.1239962789695946	0.1239962789695946	enet	2	2
G53-G7	G53	G7	0.12359817144376226	0.12359817144376226	enet	2	2
G90-G7	G90	G7	0.12341313942258485	0.12341313942258485	enet	2	2
G5-G63	G5	G63	-0.1233521928051704	0.1233521928051704	enet	2	2
G35-G36	G35	G36	0.12327934991519326	0.12327934991519326	enet	2	2
G45-G36	G45	G36	-0.12315518671345081	0.12315518671345081	enet	2	2
G8-G23	G8	G23	0.12202912770314694	0.12202912770314694	enet	2	2
G43-G45	G43	G45	0.1218074331854529	0.1218074331854529	enet	2	2
G29-G89	G29	G89	0.12134435127732972	0.12134435127732972	enet	2	2
G93-G56	G93	G56	0.12094363928360584	0.12094363928360584	enet	2	2
G89-G7	G89	G7	-0.11793176997055395	0.11793176997055395	enet	2	2
G92-G45	G92	G45	0.11616204277851525	0.11616204277851525	enet	2	2
G70-G41	G70	G41	-0.115007280398231	0.115007280398231	enet	2	2
G95-G43	G95	G43	0.11476351877187992	0.11476351877187992	enet	2	2
G65-G56	G65	G56	-0.11436646370881343	0.11436646370881343	enet	2	2
G92-G72	G92	G72	0.11407324903829527	0.11407324903829527	enet	2	2
G68-G47	G68	G47	-0.11355098342540429	0.11355098342540429	enet	2	2
G52-G90	G52	G90	0.11261510553746873	0.11261510553746873	enet	2	2
G52-G7	G52	G7	-0.11244426537089515	0.11244426537089515	enet	2	2
G5-G43	G5	G43	0.11228714909963373	0.11228714909963373	enet	2	2
G23-G72	G23	G72	-0.11216198369610776	0.11216198369610776	enet	2	2
G12-G71	G12	G71	0.11210182512498784	0.11210182512498784	enet	2	2
G54-G81	G54	G81	0.11144765676849729	0.11144765676849729	enet	2	2
G69-G55	G69	G55	0.11135959789025382	0.11135959789025382	enet	2	2
G29-G65	G29	G65	0.11120350485683668	0.11120350485683668	enet	2	2
G7-G55	G7	G55	-0.10982315538790874	0.10982315538790874	enet	2	2
G68-G37	G68	G37	-0.10974189185543554	0.10974189185543554	enet	2	2
G22-G46	G22	G46	0.10889128026483098	0.10889128026483098	enet	2	2
G54-G35	G54	G35	0.10888425213593975	0.10888425213593975	enet	2	2
G92-G48	G92	G48	-0.10885895640221215	0.10885895640221215	enet	2	2
G4-G1	G4	G1	-0.10782321980692569	0.10782321980692569	enet	2	2
G16-G18	G16	G18	0.10766674383539797	0.10766674383539797	enet	2	2
G92-G52	G92	G52	-0.10761425198609942	0.10761425198609942	enet	2	2
G8-G72	G8	G72	0.10733897094115424	0.10733897094115424	enet	2	2
G63-G64	G63	G64	0.10685074083688138	0.10685074083688138	enet	2	2
G24-G5	G24	G5	0.10680505783419453	0.10680505783419453	enet	2	2
G46-G36	G46	G36	0.10631561337159072	0.10631561337159072	enet	2	2
G46-G5	G46	G5	-0.10569444872236085	0.10569444872236085	enet	2	2
G69-G40	G69	G40	0.10495217168998891	0.10495217168998891	enet	2	2
G40-G68	G40	G68	0.10472516679738494	0.10472516679738494	enet	2	2
G44-G79	G44	G79	-0.10459854397280342	0.10459854397280342	enet	2	2
G68-G73	G68	G73	0.10456074074173032	0.10456074074173032	enet	2	2
G69-G42	G69	G42	-0.10438391756875053	0.10438391756875053	enet	2	2
G54-G90	G54	G90	-0.1042242461356767	0.1042242461356767	enet	2	2
G71-G7	G71	G7	0.1030869142636338	0.1030869142636338	enet	2	2
G100-G93	G100	G93	0.10280292056299356	0.10280292056299356	enet	2	2
G31-G36	G31	G36	-0.10268686043361619	0.10268686043361619	enet	2	2
G17-G4	G17	G4	0.10219748185246105	0.10219748185246105	enet	2	2
G26-G90	G26	G90	-0.10214267713082181	0.10214267713082181	enet	2	2
G71-G40	G71	G40	0.10175813559888437	0.10175813559888437	enet	2	2
G71-G37	G71	G37	-0.10088442255850412	0.10088442255850412	enet	2	2
G37-G72	G37	G72	-0.10045086521552662	0.10045086521552662	enet	2	2
G29-G77	G29	G77	0.09994669584660779	0.09994669584660779	enet	2	2
G21-G35	G21	G35	-0.099922728863264	0.099922728863264	enet	2	2
G80-G63	G80	G63	0.09986972687945435	0.09986972687945435	enet	2	2
G48-G36	G48	G36	0.09984178240740336	0.09984178240740336	enet	2	2
G5-G17	G5	G17	-0.09967702221919293	0.09967702221919293	enet	2	2
G45-G83	G45	G83	0.09946849246264289	0.09946849246264289	enet	2	2
G26-G27	G26	G27	0.09946243402356914	0.09946243402356914	enet	2	2
G4-G81	G4	G81	0.099278919574372	0.099278919574372	enet	2	2
G48-G7	G48	G7	0.09912325118349972	0.09912325118349972	enet	2	2
G72-G83	G72	G83	0.09849507089022	0.09849507089022	enet	2	2
G27-G76	G27	G76	-0.09825511308328244	0.09825511308328244	enet	2	2
G97-G43	G97	G43	0.09799877715505595	0.09799877715505595	enet	2	2
G49-G56	G49	G56	0.09798874027123036	0.09798874027123036	enet	2	2
G97-G90	G97	G90	0.09773589660946841	0.09773589660946841	enet	2	2
G1-G46	G1	G46	-0.09760864641713117	0.09760864641713117	enet	2	2
G93-G42	G93	G42	-0.09754210783086628	0.09754210783086628	enet	2	2
G71-G76	G71	G76	-0.09746394178509035	0.09746394178509035	enet	2	2
G95-G52	G95	G52	0.09703495809942511	0.09703495809942511	enet	2	2
G88-G64	G88	G64	0.09697440519502541	0.09697440519502541	enet	2	2
G18-G52	G18	G52	0.09681334813255947	0.09681334813255947	enet	2	2
G23-G37	G23	G37	0.0967159751335382	0.0967159751335382	enet	2	2
G48-G25	G48	G25	-0.09645130306600534	0.09645130306600534	enet	2	2
G63-G36	G63	G36	-0.09635840598667518	0.09635840598667518	enet	2	2
G76-G56	G76	G56	-0.09622611354642449	0.09622611354642449	enet	2	2
G44-G63	G44	G63	0.09539928931768372	0.09539928931768372	enet	2	2
G63-G90	G63	G90	-0.0949406545243366	0.0949406545243366	enet	2	2
G47-G100	G47	G100	-0.09460742308947452	0.09460742308947452	enet	2	2
G26-G46	G26	G46	0.09425614294746458	0.09425614294746458	enet	2	2
G51-G46	G51	G46	0.09422440258539842	0.09422440258539842	enet	2	2
G35-G85	G35	G85	0.09417126633983915	0.09417126633983915	enet	2	2
G46-G22	G46	G22	-0.09356494460095172	0.09356494460095172	enet	2	2
G27-G65	G27	G65	-0.09321769671526027	0.09321769671526027	enet	2	2
G53-G12	G53	G12	0.09292696361296889	0.09292696361296889	enet	2	2
G52-G42	G52	G42	0.09282306964244397	0.09282306964244397	enet	2	2
G45-G10	G45	G10	0.09279060292319571	0.09279060292319571	enet	2	2
G55-G45	G55	G45	-0.09253579021972465	0.09253579021972465	enet	2	2
G5-G98	G5	G98	0.09243733888697409	0.09243733888697409	enet	2	2
G94-G18	G94	G18	0.09219668809308722	0.09219668809308722	enet	2	2
G96-G31	G96	G31	-0.09187278205844518	0.09187278205844518	enet	2	2
G23-G51	G23	G51	0.09184303441722037	0.09184303441722037	enet	2	2
G26-G24	G26	G24	-0.0917529485439846	0.0917529485439846	enet	2	2
G65-G99	G65	G99	-0.09134531201718588	0.09134531201718588	enet	2	2
G28-G95	G28	G95	-0.09133355792598906	0.09133355792598906	enet	2	2
G70-G3	G70	G3	-0.09125046999810918	0.09125046999810918	enet	2	2
G26-G43	G26	G43	-0.09116181631928477	0.09116181631928477	enet	2	2
G44-G64	G44	G64	0.09088713340393097	0.09088713340393097	enet	2	2
G64-G89	G64	G89	-0.09088434469861875	0.09088434469861875	enet	2	2
G45-G89	G45	G89	0.09082305770386936	0.09082305770386936	enet	2	2
G4-G24	G4	G24	0.09064771340576769	0.09064771340576769	enet	2	2
G98-G76	G98	G76	0.0904395555465144	0.0904395555465144	enet	2	2
