Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2	Weight	AbsWeight	Coef
G46-G57	G46	G57	enet	2	-0.386651791624015	0.386651791624015	1.0				-0.386651791624015	0.386651791624015	1.0
G41-G51	G41	G51	enet	2	-0.3474878245408816	0.3474878245408816	1.0				-0.3474878245408816	0.3474878245408816	1.0
G21-G98	G21	G98	enet	2	-0.34326243139409823	0.34326243139409823	1.0				-0.34326243139409823	0.34326243139409823	1.0
G37-G29	G37	G29	enet	2	-0.33967658206716406	0.33967658206716406	1.0	-0.1622432604339233	0.1622432604339233	2.0	-0.33967658206716406	0.33967658206716406	1.0
G21-G99	G21	G99	enet	2	-0.3390226069877739	0.3390226069877739	1.0				-0.3390226069877739	0.3390226069877739	1.0
G46-G53	G46	G53	enet	2	0.33630894397084116	0.33630894397084116	1.0				0.33630894397084116	0.33630894397084116	1.0
G10-G43	G10	G43	enet	2	0.3225440796037997	0.3225440796037997	1.0				0.3225440796037997	0.3225440796037997	1.0
G21-G26	G21	G26	enet	2	-0.3214152451953185	0.3214152451953185	1.0				-0.3214152451953185	0.3214152451953185	1.0
G43-G10	G43	G10	enet	2	0.30482290045594185	0.30482290045594185	1.0				0.30482290045594185	0.30482290045594185	1.0
G41-G76	G41	G76	enet	2	-0.29354635894540204	0.29354635894540204	1.0				-0.29354635894540204	0.29354635894540204	1.0
G77-G46	G77	G46	enet	2	0.27399552039831154	0.27399552039831154	1.0				0.27399552039831154	0.27399552039831154	1.0
G31-G93	G31	G93	enet	2	-0.26227372554354655	0.26227372554354655	1.0				-0.26227372554354655	0.26227372554354655	1.0
G23-G24	G23	G24	enet	2	0.256802662664434	0.256802662664434	1.0				0.256802662664434	0.256802662664434	1.0
G55-G46	G55	G46	enet	2	-0.25595630941742603	0.25595630941742603	1.0				-0.25595630941742603	0.25595630941742603	1.0
G49-G98	G49	G98	enet	2	0.2537382590954913	0.2537382590954913	1.0				0.2537382590954913	0.2537382590954913	1.0
G37-G72	G37	G72	enet	2	-0.24988724615447558	0.24988724615447558	1.0				-0.24988724615447558	0.24988724615447558	1.0
G51-G43	G51	G43	enet	2	0.2443927059248594	0.2443927059248594	1.0				0.2443927059248594	0.2443927059248594	1.0
G21-G62	G21	G62	enet	2	-0.24092993369800875	0.24092993369800875	1.0				-0.24092993369800875	0.24092993369800875	1.0
G66-G10	G66	G10	enet	2	-0.24084763409172635	0.24084763409172635	1.0				-0.24084763409172635	0.24084763409172635	1.0
G86-G26	G86	G26	enet	2	-0.23790181030052582	0.23790181030052582	1.0				-0.23790181030052582	0.23790181030052582	1.0
G46-G47	G46	G47	enet	2	0.23566188777612626	0.23566188777612626	1.0				0.23566188777612626	0.23566188777612626	1.0
G96-G83	G96	G83	enet	2	0.22328949280672716	0.22328949280672716	1.0				0.22328949280672716	0.22328949280672716	1.0
G49-G83	G49	G83	enet	2	-0.22274766976342186	0.22274766976342186	1.0				-0.22274766976342186	0.22274766976342186	1.0
G56-G90	G56	G90	enet	2	0.2208139222043982	0.2208139222043982	1.0				0.2208139222043982	0.2208139222043982	1.0
G36-G37	G36	G37	enet	2	0.22020057617244332	0.22020057617244332	1.0				0.22020057617244332	0.22020057617244332	1.0
G43-G44	G43	G44	enet	2	0.21926289113893416	0.21926289113893416	1.0				0.21926289113893416	0.21926289113893416	1.0
G88-G50	G88	G50	enet	2	0.21540442096901066	0.21540442096901066	1.0				0.21540442096901066	0.21540442096901066	1.0
