Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
G41-G51	G41	G51	-0.41899572947482316	0.41899572947482316	enet	2	1
G21-G98	G21	G98	-0.3378928974150458	0.3378928974150458	enet	2	1
G21-G99	G21	G99	-0.33720376576983246	0.33720376576983246	enet	2	1
G46-G57	G46	G57	-0.33340332766405434	0.33340332766405434	enet	2	1
G21-G62	G21	G62	-0.3242368120197124	0.3242368120197124	enet	2	1
G41-G76	G41	G76	-0.3089592541822923	0.3089592541822923	enet	2	1
G46-G47	G46	G47	0.304352215718777	0.304352215718777	enet	2	1
G10-G43	G10	G43	0.2819080557626483	0.2819080557626483	enet	2	1
G96-G83	G96	G83	0.275652274943495	0.275652274943495	enet	2	1
G37-G29	G37	G29	-0.26762203056625783	0.26762203056625783	enet	2	1
G43-G91	G43	G91	0.256866514992073	0.256866514992073	enet	2	1
G37-G72	G37	G72	-0.24782400497339493	0.24782400497339493	enet	2	1
G21-G26	G21	G26	-0.24536665563759236	0.24536665563759236	enet	2	1
G88-G50	G88	G50	0.24509707715739307	0.24509707715739307	enet	2	1
G98-G99	G98	G99	0.24249376751974536	0.24249376751974536	enet	2	1
G90-G83	G90	G83	0.24192402323357298	0.24192402323357298	enet	2	1
G37-G47	G37	G47	0.24150320283497312	0.24150320283497312	enet	2	1
G37-G74	G37	G74	-0.23589816763589683	0.23589816763589683	enet	2	1
G26-G83	G26	G83	0.23491236283168818	0.23491236283168818	enet	2	1
G73-G89	G73	G89	0.23329701784024082	0.23329701784024082	enet	2	1
G60-G4	G60	G4	0.23278005603406904	0.23278005603406904	enet	2	1
G43-G44	G43	G44	0.230209535547682	0.230209535547682	enet	2	1
G90-G100	G90	G100	0.22652439128490784	0.22652439128490784	enet	2	1
G93-G46	G93	G46	-0.2216535873617433	0.2216535873617433	enet	2	1
G43-G10	G43	G10	0.221182959604149	0.221182959604149	enet	2	1
G25-G73	G25	G73	0.22045861168172642	0.22045861168172642	enet	2	1
G31-G83	G31	G83	-0.21804640653559368	0.21804640653559368	enet	2	1
G68-G42	G68	G42	-0.21403152615838383	0.21403152615838383	enet	2	1
G100-G90	G100	G90	0.21248848217585808	0.21248848217585808	enet	2	1
G66-G46	G66	G46	0.21194956583816602	0.21194956583816602	enet	2	1
G46-G53	G46	G53	0.2101982131178397	0.2101982131178397	enet	2	1
G49-G83	G49	G83	-0.20869291952299732	0.20869291952299732	enet	2	1
G70-G73	G70	G73	0.20780172907226924	0.20780172907226924	enet	2	1
