row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
0	(0.001, 0.30000000000000004)	0.9086891857301297	0.001310996807066981	0.2490893933427264	190	51	1.7692875754441253	0.00012386556450222352	0.01
1	(0.001, 0.30000000000000004)	0.5964676997469267	0.001110748706085443	0.21104225415623418	190	35	2.0550075773020104	2.9815790641180007e-05	0.006
2	(0.001, 0.30000000000000004)	0.46785720690144905	0.0021320380790603184	0.4050872350214605	190	40	2.081332563222991	6.02217931476301e-05	0.009
3	(0.001, 0.30000000000000004)	0.7967179533252678	0.0018069536752508865	0.34332119829766844	190	50	1.9613357856426612	0.00013070620423399903	0.007
4	(0.001, 0.30000000000000004)	0.715289020086877	0.002196774210897342	0.41738710007049495	190	50	1.8097035116605982	0.0001215155124683065	0.012
5	(0.001, 0.30000000000000004)	0.28395418884655776	0.0002715983452348231	0.051603685594616394	190	14	2.0984081164104587	6.560047707063199e-07	0.008
6	(0.001, 0.30000000000000004)	0.6133400614298936	0.002417427898860038	0.4593113007834072	190	53	1.9447983095371444	0.00010769593039205994	0.034
7	(0.001, 0.30000000000000004)	0.7909072431320066	0.0014833631243516892	0.28183899362682097	190	43	1.876181414749983	6.99382396258108e-05	0.009
8	(0.001, 0.30000000000000004)	0.8526982165433039	0.0005083503104918777	0.09658655899345678	190	28	1.843593611076546	5.598845857623935e-05	0.005
9	(0.001, 0.30000000000000004)	0.8981774493035689	0.0018889295693457447	0.3588966181756915	190	44	2.139887514637767	0.00028964468795678044	0.007
10	(0.001, 0.30000000000000004)	0.4269540923295224	0.00015068158850962878	0.028629501816829467	190	11	1.8170524286166079	1.5382672053088076e-06	0.011
11	(0.001, 0.30000000000000004)	0.7517040721775397	0.0015234175571185728	0.28944933585252886	190	47	1.997303751562925	9.794290468978506e-05	0.012
12	(0.001, 0.30000000000000004)	0.15241096502024598	0.00022621914768663036	0.04298163806045977	190	7	2.008203821266987	2.2045697165018474e-07	0.009
13	(0.001, 0.30000000000000004)	0.7263391480001399	0.0004891599180083968	0.09294038442159538	190	21	2.013715269510702	1.1865779589309566e-05	0.009
14	(0.001, 0.30000000000000004)	0.6129594544456275	0.00029073712725289274	0.05524005417804962	190	19	2.012306980156403	6.865680027834387e-06	0.01
15	(0.001, 0.30000000000000004)	0.9024982262221758	0.0014233199962209902	0.27043079928198815	190	47	1.702883604004489	0.0001674731552290254	0.018
16	(0.001, 0.30000000000000004)	0.7186981974941742	0.0016045142162263873	0.3048577010830136	190	43	1.9151230740801806	3.438468529154415e-05	0.019
17	(0.001, 0.30000000000000004)	0.8388199809033986	0.002089236523221868	0.39695493941215493	190	51	2.074666046505405	0.00023214701803542237	0.018
18	(0.001, 0.30000000000000004)	0.840425244027147	0.00047665925421056367	0.0905652583000071	190	33	1.838849736676441	4.5431988769273346e-05	0.017
19	(0.001, 0.30000000000000004)	0.8543939297890398	0.0002957081244332031	0.056184543642308585	190	26	1.9802861828496432	2.5386563768881043e-05	0.01
20	(0.001, 0.30000000000000004)	0.8595095717869095	0.001930887336603589	0.3668685939546819	190	39	2.062003581397365	0.0001644459985878921	0.016
21	(0.001, 0.30000000000000004)	0.8198865633368033	0.0013030664861352296	0.2475826323656936	190	32	1.9690790338324156	7.015358707540553e-05	0.016
22	(0.001, 0.30000000000000004)	0.9259699114698726	0.0013668529688005623	0.25970206407210683	190	46	2.1973092187761116	0.0003495043074416282	0.014
23	(0.001, 0.30000000000000004)	0.9235903670629664	0.001606776084315538	0.3052874560199522	190	48	1.9757735260958733	0.00024473768919408556	0.02
24	(0.001, 0.30000000000000004)	0.6866793023958071	0.0014668293556909778	0.27869757758128577	190	35	2.0278701541302566	5.261284348101469e-05	0.013
25	(0.001, 0.30000000000000004)	0.7332530101990091	0.00328790746875314	0.6247024190630966	190	58	1.9673976199239918	0.00018212189749722274	0.021
26	(0.001, 0.30000000000000004)	0.7695750752265802	0.0015370659218680977	0.29204252515493856	190	52	1.7102512427090288	0.00011344814966424144	0.02
27	(0.001, 0.30000000000000004)	0.8344451931202086	0.0014906563061509617	0.28322469816868273	190	42	2.3439352906938526	9.677731492735431e-05	0.017
28	(0.001, 0.30000000000000004)	0.9483716294938663	0.0011385603389565248	0.2163264644017397	190	41	1.9479424772221505	0.00033074451665601745	0.012
29	(0.001, 0.30000000000000004)	0.8552514890137317	0.0013087108838381412	0.24865506792924683	190	48	1.9142654020154506	0.00016793377835411238	0.018
30	(0.001, 0.30000000000000004)	0.8177801816370506	0.001389587167630492	0.2640215618497935	190	41	2.0311501034203183	0.00014373824596919382	0.018
31	(0.001, 0.30000000000000004)	0.39401981868526736	0.00017838217248776446	0.033892612772675246	190	9	2.1054215392236126	1.5851099105304578e-06	0.008
32	(0.001, 0.30000000000000004)	0.6120161328327739	0.0008062535676381452	0.15318817785124758	190	27	2.0565696523196184	8.871536932797408e-06	0.016
33	(0.001, 0.30000000000000004)	0.8630418423850599	0.000882149659316664	0.16760843527016617	190	35	2.111756469607177	9.006164970762343e-05	0.016
34	(0.001, 0.30000000000000004)	0.5856771120134721	0.0021155949111275807	0.4019630331142403	190	48	2.0784415150366304	5.3700501750686414e-05	0.017
35	(0.001, 0.30000000000000004)	0.9207845444746408	0.0032330203724030707	0.6142738707565835	190	60	1.8584900549832524	0.0006940447939123295	0.027
36	(0.001, 0.30000000000000004)	0.9405984863404504	0.002897237452038488	0.5504751158873127	190	62	2.0756928171888216	0.0007526161772744011	0.019
37	(0.001, 0.30000000000000004)	0.5425139727262092	0.0005565009298520743	0.10573517667189411	190	21	1.9850848245086699	2.3487707140057434e-06	0.01
38	(0.001, 0.30000000000000004)	0.8577344331707968	0.0015068609320902247	0.2863035770971427	190	42	1.755054680152249	0.0001422029088667398	0.022
