row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
0	(0.001, 0.30000000000000004)	0.8860063329405267	0.0013440963507391171	0.25537830664043226	190	48	2.0750254562203687	0.00019887505301152689	0.006999999999999999
1	(0.001, 0.30000000000000004)	0.5999992351415991	0.0011257380088359134	0.21389022167882354	190	31	1.886962000725176	1.1519763195383392e-05	0.005
2	(0.001, 0.30000000000000004)	0.5573314055483426	0.001919896925123006	0.3647804157733712	190	42	2.0788148832581603	3.2635962100902034e-05	0.013999999999999999
3	(0.001, 0.30000000000000004)	0.7737812823681213	0.0022072725119571352	0.4193817772718556	190	52	2.033987227318184	0.00014441529777814432	0.012
4	(0.001, 0.30000000000000004)	0.7027208559234852	0.0022537024422399675	0.4282034640255937	190	57	1.8934421656192	7.381552201346507e-05	0.009000000000000001
5	(0.001, 0.30000000000000004)	0.2638605632779392	0.0002813234885425343	0.053451462823081525	190	13	2.2085436779493355	5.11210055849365e-07	0.006
6	(0.001, 0.30000000000000004)	0.4775638420610068	0.002637897934938099	0.5012006076382388	190	49	2.1606691487742826	7.90388057479996e-05	0.01
7	(0.001, 0.30000000000000004)	0.6885502432966396	0.0017955319541458504	0.3411510712877116	190	42	2.2018376363059025	0.00010823201348575395	0.006
8	(0.001, 0.30000000000000004)	0.8038650825884324	0.0006974669865117503	0.13251872743723253	190	28	1.9717862666181296	2.690019211884498e-05	0.006
9	(0.001, 0.30000000000000004)	0.8727039450183892	0.002104875537671404	0.3999263521575668	190	57	1.9298298098385247	0.00025533630389296125	0.006999999999999999
10	(0.001, 0.30000000000000004)	0.4664815392032196	0.00013274076541839084	0.02522074542949426	190	8	1.9336341643995143	2.4777349476312605e-07	0.004
11	(0.001, 0.30000000000000004)	0.7271435648816362	0.0015148025173212904	0.2878124782910452	190	50	2.016675874925649	9.675250600726935e-05	0.017
12	(0.001, 0.30000000000000004)	0.16982486610447212	0.00019401641837317468	0.036863119490903186	190	5	2.0143995660409293	7.913718350904818e-07	0.009000000000000001
13	(0.001, 0.30000000000000004)	0.7722410871636771	0.00037531560665730906	0.07130996526488873	190	23	2.1576706850094407	9.449673294414927e-06	0.013000000000000001
14	(0.001, 0.30000000000000004)	0.7228787645461351	0.00024013455864864327	0.045625566143242216	190	25	1.9632934518279104	2.5566320285413946e-06	0.011000000000000001
15	(0.001, 0.30000000000000004)	0.894654119475956	0.0012694136693600516	0.24118859717840976	190	34	1.8652092997538088	0.00016185367110899132	0.013999999999999999
16	(0.001, 0.30000000000000004)	0.7320429948865853	0.0016217071897840552	0.3081243660589705	190	38	2.081666872701849	4.379840933194101e-05	0.01
17	(0.001, 0.30000000000000004)	0.8520559266916339	0.0022059150790182994	0.4191238650134769	190	54	1.9540716925476616	0.00013812389949663384	0.012
18	(0.001, 0.30000000000000004)	0.8319660442510515	0.0006930202803461445	0.13167385326576747	190	29	1.725890797234545	5.345605357093275e-05	0.011000000000000001
19	(0.001, 0.30000000000000004)	0.842225598573163	0.00040038578282028376	0.07607329873585393	190	21	2.040917855354295	1.7768940697937552e-05	0.013999999999999999
20	(0.001, 0.30000000000000004)	0.894150116416876	0.0018890493237796453	0.35891937151813263	190	48	1.885811500852724	0.0003273862372555892	0.017
21	(0.001, 0.30000000000000004)	0.8526793428287174	0.001119199656625476	0.2126479347588404	190	36	2.110745341779746	0.00011689171197459824	0.018000000000000002
22	(0.001, 0.30000000000000004)	0.90526531653277	0.00173707118000223	0.3300435242004237	190	45	2.0229824706396173	0.0003132757830731081	0.013999999999999999
23	(0.001, 0.30000000000000004)	0.9089444574069598	0.002032299484600253	0.3861369020740481	190	44	2.0844089991432986	0.0003232633506741189	0.013999999999999999
24	(0.001, 0.30000000000000004)	0.6900204443731658	0.0013878628117360945	0.26369393422985793	190	36	1.8275032589561435	4.856210881298839e-05	0.017
25	(0.001, 0.30000000000000004)	0.8223609382035868	0.002889681645074255	0.5490395125641084	190	54	1.9124851310641384	0.00024179468790630487	0.022000000000000002
26	(0.001, 0.30000000000000004)	0.7829612715300192	0.0018732539242149976	0.3559182456008496	190	46	1.9571545384084472	0.0001099764450994134	0.018000000000000002
27	(0.001, 0.30000000000000004)	0.7962163840323828	0.0018408418781844906	0.34975995685505323	190	51	1.902677043236348	0.00011324115830535496	0.018000000000000002
28	(0.001, 0.30000000000000004)	0.9284200519926749	0.0014439181724191872	0.2743444527596456	190	52	2.1616078147429194	0.00018409119620071968	0.02
29	(0.001, 0.30000000000000004)	0.7863763805712931	0.0018933552648775379	0.35973750032673224	190	48	2.217630345885086	0.0001226008408357071	0.013000000000000001
30	(0.001, 0.30000000000000004)	0.7929546678133511	0.0017084051340389367	0.324596975467398	190	48	2.113669893994116	0.00014964602020883788	0.016
31	(0.001, 0.30000000000000004)	0.4934742649209353	0.0001850955255731297	0.03516814985889465	190	14	1.9469585077518587	1.3617788093972516e-06	0.015
32	(0.001, 0.30000000000000004)	0.6639912459492086	0.0007841824859117512	0.1489946723232327	190	28	2.1036604754537187	2.0139544562147726e-05	0.012
33	(0.001, 0.30000000000000004)	0.9056326605162466	0.0008402864046292403	0.15965441687955564	190	36	1.8502740094933816	8.146775509290659e-05	0.018000000000000002
34	(0.001, 0.30000000000000004)	0.6126136024796773	0.0026887609760772985	0.5108645854546867	190	50	2.1503882093384834	7.800574752681033e-05	0.016
35	(0.001, 0.30000000000000004)	0.9312199525809384	0.002886288378450836	0.5483947919056589	190	54	1.9708131039799623	0.0006533898095015812	0.015
36	(0.001, 0.30000000000000004)	0.9419489508219347	0.002762661633282325	0.5249057103236416	190	55	2.048116545847529	0.0005464781538560004	0.022000000000000002
37	(0.001, 0.30000000000000004)	0.6532688406626832	0.0005397604913661367	0.10255449335956597	190	27	1.8969763633213952	1.0013174829820446e-05	0.013999999999999999
38	(0.001, 0.30000000000000004)	0.8629445129183999	0.001213548041827806	0.2305741279472832	190	39	2.2293693028997663	0.00012630915021880074	0.039
39	(0.001, 0.30000000000000004)	0.4576224537892379	0.002344923648656671	0.4455354932447675	190	47	2.0656486154815665	2.7577309099968688e-05	0.02
40	(0.001, 0.30000000000000004)	0.8948779396707935	0.0011651434821321135	0.22137726160510166	190	35	1.9963037521660008	0.00013726192213373012	0.01
41	(0.001, 0.30000000000000004)	0.8356859748121723	0.0025256725504720443	0.4798777845896885	190	60	2.0340307625919842	0.00018710222580287092	0.016
42	(0.001, 0.30000000000000004)	0.8611485874482225	0.002676273444138709	0.5084919543863546	190	56	2.197628303927732	0.0003644521544797774	0.013000000000000001
43	(0.001, 0.30000000000000004)	0.8317866004512265	0.00190189569891253	0.3613601827933807	190	43	1.9140646526014755	7.229443246037358e-05	0.013999999999999999
44	(0.001, 0.30000000000000004)	0.6798589774647787	0.002110832237747005	0.401058125171931	190	56	1.7711685984166088	0.00012118386447240725	0.021
45	(0.001, 0.30000000000000004)	0.8884204631385052	0.003906344859019911	0.7422055232137829	190	67	1.9269729171154877	0.0006382595757308263	0.011000000000000001
46	(0.001, 0.30000000000000004)	0.9061178227163126	0.002401062018712491	0.4562017835553733	190	46	2.198748734273546	0.0004556057091958943	0.017
47	(0.001, 0.30000000000000004)	0.9292828062631586	0.001555019595630552	0.2954537231698049	190	49	2.33235431840677	5.41983730983353e-05	0.012
48	(0.001, 0.30000000000000004)	0.8749668675306845	0.0017819314186030915	0.3385669695345874	190	43	2.002934701805459	0.000237759070660204	0.013000000000000001
49	(0.001, 0.30000000000000004)	0.8673581595039471	0.0010255213408511374	0.19484905476171605	190	40	1.930980873593657	5.669966033403085e-05	0.011000000000000001
50	(0.001, 0.30000000000000004)	0.9044726895091262	0.0019326381658472406	0.3672012515109757	190	55	2.039478175764284	0.00034416465952064046	0.017
51	(0.001, 0.30000000000000004)	0.8243665032756665	0.0025154796299324753	0.4779411296871703	190	54	1.8952728590856964	0.00014812890429954928	0.018000000000000002
52	(0.001, 0.30000000000000004)	0.8718872493003941	0.0016413176194602554	0.31185034769744857	190	45	1.9621109059937876	0.0001831283959127239	0.023
53	(0.001, 0.30000000000000004)	0.6367557449035914	0.0009356872633292976	0.17778058003256653	190	31	2.109199176863612	3.4385813256404545e-05	0.013000000000000001
