gene	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
G1	0.0	0.0	0.0	0.028688937088863258	0.0	0.0	0.01407991661623222	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.010051430042041926	-0.0	-0.07818369978324614	-0.0	-0.0008720630426166399	0.0	-0.024317026971092236	-0.0	0.0	-0.0	-0.003844661419187784	0.011928862721627412	-0.0	-0.0	-0.006167834355141152	-0.0	-0.0	0.0	0.0	-0.012538646885856174	0.015001067793686158	0.12431204959892966	0.028915933028496973	0.0	0.0	0.0	-0.005512887691583182	0.0	0.0	-0.0	0.006325450033992486	-0.040984720850583356	-0.0	0.0	0.0174669237588253	-0.049481724961742454	-0.0	0.0	-0.0	0.014662796789009636	-0.07982510283635634	0.004271526681734859	0.032378968944862356	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.028902748788402655	0.028399959395000327	0.030595596246955157	0.04274673883999417	-0.0	-0.0	0.004547135605303476	0.0	0.0	0.04415643369334782	-0.0	-0.01649324018212367	0.0	-0.0	-0.01160043220647062	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.021765614221821463	0.0	0.07841580464323532	-0.012881885040449235	0.013504884638923147	-0.0	0.022998223931818197	0.0	-0.0	-0.0	0.0	0.0	-0.0
G2	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.012013529349098538	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.010194571728502555	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0
G3	-0.05380789625559989	0.0	0.0	0.0	0.0	0.0	-0.007636313876244505	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.06241171578398298	0.10548270447913151	-0.0	-0.0	0.0	0.0	-0.022215413812845506	-0.0972912498138402	-0.0	0.0	0.0	0.08740461387870366	0.0	-0.019481562897189924	0.0	0.0	-0.03514850541710034	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.031629379106639925	0.0	0.0	-0.0	-0.0	0.0	0.06587245117009324	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.01157023001725948	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.03343679918890322
G4	0.054393812790983494	0.009674326829817054	-0.10698306059005248	0.0	-0.0	-0.0	0.0	-0.005646234046618411	0.0	0.0	0.0	0.004155676196415423	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.04909742540348514	0.0	0.0	-0.0	0.0	0.020579295091972444	0.0	0.0	0.0	0.0	0.006481272664404015	0.1322398194396794	0.01023065823160937	0.01542265954196911	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.13480684733996123	0.016312792651745314	0.0	0.0	0.0	-0.0	0.02616894867237204	0.06345905918561028	-0.0	-0.026118516875060855	-0.03196903918413348	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.04127232343755425	0.021559295949370155	0.0516229533895954	0.0	0.0	-0.0	-0.013089943630941143	0.0	0.0	0.0	0.00897191262523991	0.0	0.0	-0.06017355963360569	-0.0	-0.01572999910372312	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.005168613553890091	-0.0	-0.0	0.0	0.02410501905136064	0.0	0.0	-0.0	-0.0	0.04071406535354914	-0.0	-0.0	-0.0	-0.0	-0.0013913152087317612
G5	-0.0	0.032801228998118846	0.0	0.0	0.0	0.0	0.0	0.004907169246571643	-0.0	-0.026888009967680548	-0.0	-0.026822568422452942	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.05757750535463425	-0.022535029901163094	0.000811997441928813	-0.0	0.05940808553163839	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.10929599794033637	0.0	0.011793050901283459	0.0019836119453455186	-0.0	-0.0	0.0	-0.0	-0.003476631886448442	-0.0	-0.0	0.0	0.05088887731856898	-0.0	-0.0	-0.08191079840988881	0.0	0.05163698951424149	0.0	-0.030043082041188815	-0.03902047793152384	-0.0014200543727275828	0.0	-0.0	-0.0	-0.0	-0.010636633029049953	0.03301655463100387	0.054343596625968334	-0.0	-0.0023748331654434253	0.01005190077758509	-0.01090731303211152	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.017238930488650623	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.07421577163643805	0.0	0.0	0.02603819694687983	-0.0	0.0	-0.0	-0.0022703894061724445	0.0	-0.0
G6	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0
G7	-0.0	-0.0	-0.010453540027381254	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.052014675590748544	-0.0	-0.0	0.0	0.022537791640102018	0.0	0.0	-0.0	-0.05292553837878435	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.051989532170716404	0.12620103019234666	0.0	-0.0	0.025577633928810045	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.048322324391194035	-0.0	-0.0	-0.057609385526259514	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.00797046547006481	0.0	0.0	0.0	0.01790044140916526	-0.03762893560880717	-0.0	-0.0	-0.0	-0.0	-0.0	0.0007974634340783038	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.036817692806393375
G8	0.0	-0.0	-0.02553425685128289	-0.0	-0.03673091364842071	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.009338376934381573	0.0	0.0	0.0364446596461167	0.0	-0.0	-0.0	-0.0	-0.07431891757036291	0.0	-0.0	0.0	0.01119709740093529	0.0	0.0	-0.05517363911237656	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.17776058236740402	0.07917542015349588	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.12549130705038464	0.008279580724530056	0.13841656962576043	-0.003804800926617424	0.13293196451376113	0.0	0.0	0.0	-0.0028921915116443355	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.03638598645871922	0.0	0.02165670596939129	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.03492562058368933	0.0	-0.0	0.0	0.0	0.0	-0.056494276826927384	0.0	0.0	0.0	0.0	-0.0
G9	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.06462692836170827	0.0	-0.0	-0.0	0.0	-0.05394488734831906	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.004303835611494661	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0016337869424110254	0.0	-0.018646084146829923	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.021353603093807308	-0.0	0.0	0.0	-0.0061616915330641505	0.0	0.0	0.019930349446050852	-0.0	0.0	-0.0	0.025301868020078236	0.1317958960422727	0.048391776376112576	0.0	0.0	-0.0	0.0	0.0	-0.03695212196384521	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.09050504404170129	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0
G10	0.1257070696805388	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.002544950603989296	-0.0	0.0	0.0	-0.000160550839591503	-0.01599571776662189	0.002475703344493008	0.0	0.0	0.009927145164315176	-0.008153358441715977	-0.028854157767820948	-0.00850758230051291	0.0	0.0	0.026604878474011537	-0.00013189747296406688	-0.0	0.0	0.0	-0.0	0.11074500593043612	-0.024575668747475337	-0.0	0.0	0.0	0.0662668719295493	0.0	0.0	-0.0763676966585808	-0.0	-0.0	-0.009317827802952003	0.0	-0.0	0.0549166280978	0.0	-0.0	0.0	-0.009972155792070031	-0.0338867435993747	0.0	0.0	-0.026967476462755307	0.0	-0.036066892373768845	-0.0	-0.0	0.0	0.033003974575331725	0.05299312427102721	0.0026003029465326575	-0.0	0.0	0.02526748306152251	0.0679104160518457	-0.006764855204294713	0.023747021163648595	0.031060138712657743	0.0	0.0	-0.0	-0.0	0.0	0.04043624693034989	0.015367857140850545	0.0	0.029213265657753396	-0.0	0.0	-0.0	-0.0	-0.0	-0.013986025126727279	0.0	-0.0	0.01421154645971133	0.0	0.0	-0.010323389750117614	0.016822458748170444	0.1211277763782108	-0.0	-0.0	-0.0	0.0	0.0	0.005102061185272307	-0.0	0.015514471610323351	0.0	-0.0	0.0
G11	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0
G12	0.0	0.0	0.0	0.027908453558250286	0.0	-0.0	0.06140310142961543	0.0022685359594317497	0.0	-0.0	0.0	0.0	-0.0	0.004123060116152729	0.0	0.0	-0.0	-0.0072401210000225015	-0.006416424669183359	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.053564556776463816	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.046830948372013445	-0.0	-0.0	-0.04020563748506656	-0.04857206150688021	-0.032483002276809184	-0.0	0.0	0.04394188447758649	0.0	0.0	-0.025963999663394226	-0.031052353399429886	0.0	0.0	0.0	0.0	-0.0	0.0	0.015169847096972501	0.0	-0.0	0.0	0.0015534654605240316	-0.0	0.0	0.0	0.07934498957120675	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.005885015448180539	-0.0	0.0	0.030262133958204	-0.05051803439573414	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.049821182621317316	0.15455339696090417
G13	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0
G14	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0037029340186949975	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0
