Cause-Effect	Cause	Effect	Bootstrap:Mean	AbsBootstrap:Mean	Test	Lag	Coef	Bootstrap:Std	Bootstrap:Freq
G26-G34	G26	G34	-0.1840386266042202	0.1840386266042202	e	2	1	0.0324582492065986	1.0
G21-G98	G21	G98	-0.3961219911843189	0.3961219911843189	e	2	1	0.06136690698532213	1.0
G46-G57	G46	G57	-0.3453760549714523	0.3453760549714523	e	2	1	0.04139542237413769	1.0
G46-G22	G46	G22	-0.19351387623785052	0.19351387623785052	e	2	1	0.028500191348429214	1.0
G41-G51	G41	G51	-0.3269212056995402	0.3269212056995402	e	2	1	0.06140994026914923	1.0
G37-G29	G37	G29	-0.288738769432808	0.288738769432808	e	2	1	0.043536601427703624	1.0
G21-G62	G21	G62	-0.30471090270543044	0.30471090270543044	e	2	1	0.06752229771797094	0.99
G21-G99	G21	G99	-0.3153254793090453	0.3153254793090453	e	2	1	0.05866270776029311	0.99
G43-G10	G43	G10	0.23327756589196133	0.23327756589196133	e	2	1	0.04874631478293816	0.99
G21-G26	G21	G26	-0.2640303665146255	0.2640303665146255	e	2	1	0.08692586431672164	0.98
G46-G53	G46	G53	0.22229201047837077	0.22229201047837077	e	2	1	0.05577250386975637	0.97
G46-G47	G46	G47	0.2704848791645324	0.2704848791645324	e	2	1	0.07465958123660961	0.96
G37-G72	G37	G72	-0.24633062499484218	0.24633062499484218	e	2	1	0.07047209077378427	0.95
G37-G74	G37	G74	-0.2222272098610078	0.2222272098610078	e	2	1	0.060336845957327294	0.95
G88-G50	G88	G50	0.17971519774950256	0.17971519774950256	e	2	1	0.0717659980797419	0.95
G10-G14	G10	G14	-0.08340689121024954	0.08340689121024954	e	2	1	0.030836490395600057	0.92
G43-G44	G43	G44	0.1984814485183983	0.1984814485183983	e	2	1	0.06962313164030699	0.92
G46-G41	G46	G41	-0.12666773630989456	0.12666773630989456	e	2	1	0.04594134974828151	0.91
G19-G20	G19	G20	0.1361208960954942	0.1361208960954942	e	2	1	0.059524198399323006	0.91
G90-G100	G90	G100	0.20484884149466945	0.20484884149466945	e	2	1	0.07994836721856814	0.91
G43-G91	G43	G91	0.2018519546979303	0.2018519546979303	e	2	1	0.08309813788647198	0.9
G41-G76	G41	G76	-0.25602785440154585	0.25602785440154585	e	2	1	0.10802106043714085	0.89
G80-G20	G80	G20	0.11262453714796067	0.11262453714796067	e	2	1	0.05492085584693409	0.89
