gene	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
G1	0.0	0.063402722826216	0.0	0.015519443241716255	0.0	0.0008439542237865472	0.0	0.0	0.0	0.0	0.0	0.0020725513550741087	0.0	0.0	0.0	0.0	0.0	0.0008976699110037463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005552225368714358	0.0	0.0	0.0	0.0	0.0	0.0	0.002413477013698415	0.0	0.005530497069725629	0.0	0.0	0.0	0.006089311467410771	0.0	0.0	0.0	0.0	0.0	0.0007834736950078444	0.0	0.0	0.0	-0.0006289676519257935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007209217067210336	0.0	0.0	0.0	-0.0046821094657822845	0.0	0.0020657470715537756	0.0	0.0	-0.0020369992371312095	0.0	0.0	0.005249210658663994	0.0	0.0	0.0
G2	0.0	0.0	0.0	0.0	0.001246707553446947	0.0	-0.0010359833568464186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.037439368570105644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002134406909437213	0.0	0.0	0.0	0.0	-0.002919549091444614	0.0	0.0	0.0	0.0	0.0	0.004335471347417633	0.0062543249231335795	0.07047789350911068	0.0	-0.001069927008075107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016338790861710032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.009098523413050178	0.0	0.0	0.0	0.0	0.0	-0.0022954893584497277	0.0	0.0	-0.0008367057099471578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G3	-0.001199555131143736	-0.0006254953589207664	0.0	0.0	0.0	-0.00017245185223782302	0.0	0.0	0.0	0.006633230558670103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0014025304760052	0.0	0.0009769062866303896	0.0006566398618602104	0.0	0.0012918478097658666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0022087165385632356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00373520383372071	0.0	0.0	0.0	0.0	0.0	0.0051463409154921865	0.0	0.0	0.0	-0.0026597259065551685	0.0	0.0	0.0	0.0	0.0	0.0	-0.001200341173057965	0.0	0.0	0.0006542662256916829	0.0033601659282123013	0.0	0.0	0.007642059999749711	0.0	0.0	0.0	0.0	-0.0016780029059511958	0.0	0.0	0.0	0.0	0.0	0.001059413076102621	0.0	-0.004221223496865976	0.0	0.0	0.0	0.0	0.0	-0.001463934429401499	0.0	0.00342844755064006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G4	-0.012869812826630607	0.0004668474685560389	0.0	0.0	0.0	0.0	-0.0010386643514927268	0.0	0.0	0.0	0.0	0.0	0.0003089213400944035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018011117964337499	0.013715130660652584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0012959458562828991	-0.003771874848565249	-0.007484039260913544	0.0	-0.0021144894553891186	0.002400599434880261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0013231457848036149	0.0	0.0	0.00633216696672646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.01417177367455543	-0.006170575414987955	0.0026635952480466452	0.0	0.0	0.0	0.0	0.0029654347853990495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028918452269372738	0.0	0.0	-0.007820894668199832	0.0	0.0	0.0	0.0013860348949083056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00373401595059069	0.0	0.0	0.0
G5	0.0	0.0030754819555269255	0.0015401085289063834	0.0	0.0	-0.00025773745110430323	0.0	0.0	0.0	0.0	-0.03489312247671376	-0.00543094713514638	0.0	-0.0009581148634960443	-0.011320494120698778	0.0	-0.028264820714992315	0.0009329638581907548	0.0	0.0	-0.0032309972551284177	0.0	0.0	0.0	0.0	0.0011203533967363655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010397680081764855	0.0	0.001279328800110538	0.005079120234445388	0.0	0.014530565729803793	0.0	0.0	0.0	0.0062189433323178705	0.0	0.0	0.0	-0.0013710880021385757	0.002026823841600575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069520202423838506	-0.01127561152108039	0.0	0.0025112171904382134	0.0	0.0	0.0	0.0	0.0	-0.0009731770245250632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.001245194329750842	-0.0007539302458128466	0.0	0.0	0.0	-0.0008428216527578432	0.0	0.0	-0.00243669686619887	0.0	0.0	0.0	0.0	0.0	0.0	0.0015267931665626472	0.0013142555201952214	0.0
G6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G7	0.0	0.0	-0.0029976011238586992	0.0	0.0	0.0	0.0	0.0	0.0	0.000992036460821733	0.0	0.0	0.0	0.0	0.0	0.0	0.0009006958782873736	-0.016159743355655034	0.0	0.0	0.0007089957480060762	0.0	0.0	0.0034240321581445843	0.009331586164865083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009393193244387307	0.0071174742224565735	0.0	0.0	-0.000613438471709958	0.0	0.0	0.0	0.0	0.0	0.0007767888560061481	0.0	0.0	0.0	-0.003164296911217117	0.0	0.0	-0.003156951742686633	0.0	0.000651917682390873	-0.06395318440144648	0.0	0.0	0.0	0.0	-0.0007875271675762002	0.0	-0.002074695964174099	0.0	-0.021694322881962234	-0.01207169872350127	0.0	0.002050085876215764	0.01733414562570065	-0.005037676916706565	0.0	0.0	0.0	0.0053657927825118586	0.0	0.0	0.0	-0.0007331290998308657	0.0	0.0	0.0	0.0	-0.0005190181281262249	0.0	-0.004534468202433849	0.0034028559244173463	0.0	0.0	0.0	0.0012885257695489393	0.0	0.0054119380971579855	0.001098845643784486	0.0	0.0	0.0	0.0	0.0	-0.0029692547854996607	0.0015239778273991656	0.0
G8	0.0	0.001498312502310232	-0.0013448478045653227	0.0	0.0	-0.0001218205335235294	0.0016773055864029464	0.0	0.0	-0.0014159464583324043	0.0	0.0	0.0	0.0	-0.0011205747291168787	0.0	0.0	0.0	0.0	0.0	-0.0006728489660069836	0.0	0.0029608919828363295	0.0	0.0	-0.004632436269432854	0.0	0.0	0.0	-0.0011394595184983617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009483530010677069	0.0	0.0005306509439951998	0.0	-0.00881148260300836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0023712740411991422	0.0	0.0	0.002971757213484721	0.0	0.0	-0.0010858182892291462	0.0	0.0	0.0010105259556910569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015425454242416578	0.0	0.0	-0.000997490958224493	0.0	0.0	0.0	0.001709395764461115	-0.0024209735354028482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031328009858393674	0.0
G9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G10	0.0	0.0	0.0	0.0	0.005802722643611626	0.0	-0.022257857803670393	0.0	0.0	0.0	0.0	0.0034272102997307072	0.0	-0.0005257126092114499	0.0	0.0	0.0007747912083385136	0.03313592962192154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010160290574833665	0.0	0.007031302802967009	0.0	0.0	0.0	0.0	0.0	0.0	0.011249421422709786	0.0	0.0	0.0	0.02169780272711309	0.0	0.0	0.0	0.0032371468418487996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007960381493203389	0.003105775533898277	0.03699291016845129	0.0024918991919606922	-0.0009284311386323736	0.0006364666848046707	0.0	0.0012629520081166403	0.0	-0.002750553910356932	0.0	-0.005013519376668026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013939587801246101	0.0	0.0	0.0	0.0	0.0	0.0	-0.004871844750190473	0.0	-0.0027819505524423237	0.0
