gene	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
G1	1.0	0.13	0.17	0.32	0.07	0.35	0.17	0.22	0.0	0.72	0.0	0.23	0.0	0.05	0.65	0.05	0.09	0.22	0.03	0.01	0.24	0.1	0.03	0.03	0.13	0.14	0.19	0.36	0.03	0.01	0.1	0.0	0.04	0.01	0.33	0.24	0.75	0.0	0.09	0.11	0.05	0.05	0.14	0.01	0.23	0.14	0.58	0.03	0.38	0.06	0.07	0.36	0.85	0.16	0.51	0.02	0.44	0.43	0.99	0.62	0.02	0.05	0.47	0.1	0.09	0.02	0.96	0.24	0.25	0.84	0.17	0.83	0.5	0.65	0.65	0.05	0.31	0.01	0.03	0.0	0.26	0.39	0.06	0.32	0.07	0.35	0.1	0.45	0.06	0.08	0.08	0.22	0.06	0.18	0.08	0.05	0.09	0.11	0.45	0.18
G2	0.03	0.5	0.05	0.41	0.06	0.0	0.09	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.11	0.03	0.0	0.0	0.03	0.03	0.0	0.32	0.0	0.07	0.0	0.05	0.16	0.46	0.0	0.0	0.0	0.0	0.08	0.34	0.24	0.0	0.05	0.01	0.02	0.52	0.17	0.02	0.13	0.06	0.17	0.42	0.01	0.27	0.03	0.05	0.14	0.05	0.0	0.28	0.01	0.0	0.0	0.04	0.0	0.04	0.27	0.01	0.03	0.0	0.0	0.03	0.05	0.03	0.15	0.01	0.02	0.07	0.01	0.03	0.0	0.0	0.01	0.01	0.0	0.02	0.11	0.0	0.28	0.0	0.0	0.01	0.01	0.06	0.11	0.0	0.03	0.14	0.23	0.15	0.0	0.15	0.06	0.04
G3	0.23	0.06	0.19	0.81	0.38	0.0	0.38	0.15	0.01	0.44	0.0	0.22	0.0	0.03	0.0	0.58	0.03	0.6	0.0	0.0	0.05	0.02	0.35	0.56	0.05	0.11	0.19	0.04	0.06	0.07	0.0	0.0	0.08	0.03	0.58	0.26	0.43	0.04	0.08	0.84	0.73	0.06	0.48	0.8	0.16	0.18	0.22	0.07	0.11	0.62	0.79	0.27	0.03	0.06	0.1	0.16	0.12	0.3	0.09	0.77	0.05	0.18	0.25	0.53	0.11	0.49	0.14	0.11	0.13	0.34	0.22	0.3	0.36	0.06	0.41	0.18	0.13	0.05	0.04	0.01	0.28	0.02	0.18	0.04	0.24	0.05	0.02	0.11	0.14	0.43	0.12	0.15	0.83	0.35	0.17	0.07	0.09	0.28	0.63	0.36
G4	0.04	0.89	0.28	0.99	0.7	0.02	0.22	0.67	0.02	0.24	0.16	0.05	0.03	0.01	0.0	0.41	0.22	0.07	0.02	0.23	0.18	0.2	0.09	0.33	0.08	0.47	0.05	0.42	0.61	0.11	0.52	0.01	0.02	0.14	0.21	0.83	0.15	0.75	0.05	0.1	0.86	0.07	0.5	0.13	0.04	0.1	0.22	0.01	0.04	0.02	0.25	0.38	0.97	0.85	0.18	0.45	0.42	0.18	0.01	0.84	0.28	0.14	0.57	0.17	0.25	0.05	0.5	0.1	0.1	0.35	0.48	0.08	0.29	0.41	0.37	0.63	0.41	0.02	0.04	0.0	0.07	0.12	0.22	0.23	0.13	0.75	0.14	0.47	0.34	0.12	0.34	0.18	0.36	0.22	0.18	0.2	0.15	0.21	0.25	0.14
G5	0.06	0.8	0.16	0.77	0.65	0.17	0.19	0.86	0.17	0.53	0.47	0.1	0.0	0.31	1.0	0.1	0.94	0.17	0.06	0.01	0.67	0.17	0.09	0.29	0.21	0.31	0.09	0.82	0.06	0.8	0.46	0.0	0.01	0.41	0.49	0.92	0.1	0.06	0.03	0.4	0.11	0.8	0.15	0.17	0.18	0.34	0.62	0.13	0.31	0.06	0.31	0.58	0.55	0.11	0.09	0.76	0.38	0.07	0.12	0.56	0.02	0.59	0.36	0.48	0.9	0.29	0.08	0.16	0.12	0.02	0.29	0.08	0.14	0.23	0.05	0.39	0.02	0.2	0.06	0.17	0.28	0.77	0.29	0.71	0.9	0.72	0.03	0.52	0.05	0.3	0.21	0.15	0.16	0.18	0.03	0.45	0.03	0.81	0.51	0.4
G6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G7	0.31	0.49	0.26	0.16	0.33	0.01	0.86	0.28	0.03	0.16	0.0	0.12	0.0	0.0	0.03	0.07	0.11	0.84	0.0	0.0	0.09	0.21	0.33	0.19	0.7	0.55	0.36	0.4	0.44	0.33	0.89	0.0	0.03	0.04	0.2	0.96	0.41	0.2	0.06	0.55	0.88	0.31	0.3	0.45	0.25	0.3	0.36	0.1	0.75	0.05	0.95	0.19	0.09	0.14	0.72	0.39	0.19	0.28	0.04	0.63	0.4	0.34	0.09	0.32	0.18	0.07	0.38	0.13	0.49	0.47	0.18	0.19	0.51	0.49	0.17	0.52	0.39	0.09	0.04	0.01	0.12	0.11	0.39	0.33	0.16	0.06	0.35	0.07	0.88	0.21	0.36	0.24	0.2	0.65	0.32	0.22	0.34	0.4	0.31	0.72
G8	0.23	0.51	0.78	0.54	0.9	0.14	0.29	0.18	0.0	0.22	0.13	0.48	0.0	0.05	0.71	0.39	0.12	0.9	0.0	0.0	0.05	0.09	0.59	0.34	0.36	0.92	0.06	0.16	0.08	0.04	0.09	0.0	0.14	0.08	0.38	0.43	0.37	0.02	0.08	0.08	0.2	0.1	0.11	0.57	0.19	0.65	0.97	0.68	0.14	0.15	0.29	0.6	0.4	0.12	0.07	0.52	0.05	0.18	0.0	0.02	0.03	0.05	0.16	0.1	0.12	0.11	0.48	0.08	0.4	0.07	0.46	0.07	0.03	0.17	0.05	0.19	0.09	0.03	0.16	0.16	0.16	0.56	0.18	0.55	0.07	0.09	0.0	0.33	0.34	0.38	0.25	0.43	0.45	0.02	0.11	0.31	0.21	0.29	0.52	0.12
G9	0.0	0.0	0.01	0.01	0.03	0.0	0.07	0.0	0.87	0.02	0.0	0.49	0.0	0.01	0.0	0.03	0.09	0.0	0.27	0.16	0.0	0.0	0.0	0.09	0.0	0.0	0.03	0.41	0.02	0.0	0.7	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.04	0.0	0.0	0.01	0.02	0.1	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.35	0.0	0.0	0.03	0.01	0.07	0.15	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.11	0.0	0.07	0.0	0.03	0.25	0.0	0.26	0.0	0.26	0.0	0.19	0.02	0.03	0.0	0.01	0.0	0.98	0.85	0.79	0.0	0.0	0.12	0.0	0.15
G10	0.75	0.08	0.21	0.26	0.32	0.0	0.55	0.52	0.02	1.0	0.0	0.75	0.02	1.0	0.0	0.59	0.84	0.12	0.0	0.0	0.46	0.21	0.13	0.07	0.1	0.69	0.03	0.1	0.63	0.33	0.44	0.13	0.01	0.01	0.1	0.77	0.98	0.03	0.71	0.21	0.05	0.81	1.0	0.96	0.02	0.78	0.14	0.57	1.0	0.14	0.08	0.37	0.2	0.11	0.23	0.15	0.02	0.01	0.02	0.09	0.0	0.13	0.44	0.35	0.09	0.37	0.26	0.1	0.9	0.22	0.11	0.28	0.34	0.05	0.12	0.24	0.06	0.06	0.94	0.03	0.15	0.47	0.32	0.05	0.08	0.83	0.22	0.29	0.21	0.54	0.65	0.77	0.06	0.63	0.07	0.2	0.11	0.57	0.03	0.6
G11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G12	0.04	0.04	0.12	0.05	0.49	0.1	0.17	0.12	0.03	0.33	0.0	1.0	0.0	0.05	0.27	0.03	0.04	0.14	0.07	0.15	0.1	0.02	0.0	0.09	0.03	0.18	0.04	0.1	0.22	0.07	0.1	0.0	0.0	0.01	0.48	0.25	0.12	0.01	0.17	0.11	0.04	0.12	0.33	0.39	0.12	0.7	0.08	0.36	0.6	0.0	0.28	0.12	0.0	0.05	0.13	0.06	0.41	0.18	0.04	0.02	0.02	0.12	0.53	0.92	0.36	0.44	0.12	0.03	0.1	0.62	0.39	0.48	0.84	0.22	0.38	0.17	0.05	0.02	0.08	0.43	0.25	0.21	0.09	0.45	0.08	0.0	0.28	0.0	0.12	0.48	0.73	0.27	0.41	0.06	0.16	0.05	0.08	0.62	0.09	0.12
G13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.2	0.0	0.07	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.37	0.45	0.04	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
