Cause-Effect	Cause	Effect	Bootstrap:Mean	AbsBootstrap:Mean	Test	Lag	Coef	Bootstrap:Std	Bootstrap:Freq
G83-G87	G83	G87	-0.07441700831251208	0.07441700831251208	e	2	2	0.02738662402126139	1.0
G43-G63	G43	G63	0.14615101481270165	0.14615101481270165	e	2	2	0.045354698875493656	1.0
G1-G2	G1	G2	0.08342197392919766	0.08342197392919766	e	2	2	0.025492860396997944	1.0
G63-G79	G63	G79	-0.11175181968603587	0.11175181968603587	e	2	2	0.03594349419535222	1.0
G46-G22	G46	G22	-0.09284346223194946	0.09284346223194946	e	2	2	0.02751660215705025	1.0
G89-G73	G89	G73	-0.07123816058146654	0.07123816058146654	e	2	2	0.029195510690809997	1.0
G37-G69	G37	G69	0.19580420607427704	0.19580420607427704	e	2	2	0.03949445079759814	1.0
G53-G92	G53	G92	0.07542924084357024	0.07542924084357024	e	2	2	0.03628371585591965	1.0
G43-G44	G43	G44	0.09405500781223573	0.09405500781223573	e	2	2	0.042019249770647846	1.0
G45-G79	G45	G79	-0.11466805550553925	0.11466805550553925	e	2	2	0.0398183643638603	1.0
G85-G87	G85	G87	-0.11161386293254694	0.11161386293254694	e	2	2	0.03485072979046589	1.0
G37-G74	G37	G74	-0.21118865272615067	0.21118865272615067	e	2	2	0.04777589870194847	1.0
G37-G29	G37	G29	-0.1896115933701541	0.1896115933701541	e	2	2	0.0425637604506249	1.0
G26-G34	G26	G34	-0.12280179422854513	0.12280179422854513	e	2	2	0.03607457346015698	1.0
G5-G15	G5	G15	-0.028343118068731927	0.028343118068731927	e	2	2	0.012010338376507747	1.0
G43-G64	G43	G64	0.10767167403365628	0.10767167403365628	e	2	2	0.046269159919592136	1.0
G37-G23	G37	G23	-0.1056567891838043	0.1056567891838043	e	2	2	0.0319878297825928	1.0
G5-G11	G5	G11	-0.03582074133343379	0.03582074133343379	e	2	2	0.012497849153183933	1.0
G43-G59	G43	G59	-0.04501455417438331	0.04501455417438331	e	2	2	0.02039560928318974	0.99
G7-G64	G7	G64	-0.08557394390506506	0.08557394390506506	e	2	2	0.036173393475183696	0.99
G43-G78	G43	G78	-0.045115253515636625	0.045115253515636625	e	2	2	0.022308562806806525	0.99
G10-G48	G10	G48	0.08642178095577728	0.08642178095577728	e	2	2	0.03824689383057126	0.99
G46-G18	G46	G18	0.11305966902568795	0.11305966902568795	e	2	2	0.05146014276642143	0.99
G93-G56	G93	G56	0.12128593209764543	0.12128593209764543	e	2	2	0.054972724803716025	0.99
