Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
G37-G74	G37	G74	-0.21465024381341036	0.21465024381341036	enet	2	2
G37-G69	G37	G69	0.21353773128680556	0.21353773128680556	enet	2	2
G31-G76	G31	G76	0.20421347625844075	0.20421347625844075	enet	2	2
G37-G29	G37	G29	-0.2017921081506148	0.2017921081506148	enet	2	2
G2-G37	G2	G37	0.19127496191198948	0.19127496191198948	enet	2	2
G80-G31	G80	G31	-0.1719890977370253	0.1719890977370253	enet	2	2
G29-G89	G29	G89	0.16819258290064099	0.16819258290064099	enet	2	2
G85-G98	G85	G98	0.15502695761983928	0.15502695761983928	enet	2	2
G43-G63	G43	G63	0.15357917967260926	0.15357917967260926	enet	2	2
G60-G39	G60	G39	-0.13852023037405545	0.13852023037405545	enet	2	2
G65-G99	G65	G99	-0.13702576329016883	0.13702576329016883	enet	2	2
G63-G43	G63	G43	-0.13657606863440047	0.13657606863440047	enet	2	2
G24-G10	G24	G10	0.1360441597585705	0.1360441597585705	enet	2	2
G12-G71	G12	G71	0.13512931039131817	0.13512931039131817	enet	2	2
G93-G56	G93	G56	0.13018707701596163	0.13018707701596163	enet	2	2
G46-G51	G46	G51	0.1297846008070081	0.1297846008070081	enet	2	2
G10-G18	G10	G18	0.12876553739129534	0.12876553739129534	enet	2	2
G45-G79	G45	G79	-0.12707238654991135	0.12707238654991135	enet	2	2
G26-G34	G26	G34	-0.12547222867824048	0.12547222867824048	enet	2	2
G46-G18	G46	G18	0.11971896669188668	0.11971896669188668	enet	2	2
G85-G87	G85	G87	-0.11890176380738728	0.11890176380738728	enet	2	2
G7-G55	G7	G55	-0.11816310325672026	0.11816310325672026	enet	2	2
G43-G64	G43	G64	0.11620591204898087	0.11620591204898087	enet	2	2
G92-G73	G92	G73	0.11498737914456596	0.11498737914456596	enet	2	2
G63-G79	G63	G79	-0.11490563672159762	0.11490563672159762	enet	2	2
G87-G75	G87	G75	-0.11490153645951405	0.11490153645951405	enet	2	2
G37-G23	G37	G23	-0.1125852056784544	0.1125852056784544	enet	2	2
G52-G7	G52	G7	-0.11129229415979645	0.11129229415979645	enet	2	2
G37-G62	G37	G62	-0.11073048679745161	0.11073048679745161	enet	2	2
G70-G3	G70	G3	-0.10917370463494598	0.10917370463494598	enet	2	2
G40-G30	G40	G30	-0.107960327032669	0.107960327032669	enet	2	2
G71-G40	G71	G40	0.10764643647977597	0.10764643647977597	enet	2	2
