row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
0	(0.001, 0.30000000000000004)	0.861084812159439	0.0019113248837468724	0.36315172791190575	190	50	2.031594223251719	0.00024999987703500093	0.006
1	(0.001, 0.30000000000000004)	0.5221302115539599	0.0012581690358410113	0.23905211680979216	190	30	1.8925257469637127	6.045328252074489e-06	0.005
2	(0.001, 0.30000000000000004)	0.2760250256077994	0.0030940760276754573	0.5878744452583369	190	32	1.950896354127107	2.1346321171455962e-05	0.006
3	(0.001, 0.30000000000000004)	0.689992743343631	0.0028246668087282506	0.5366866936583676	190	54	1.9578336706262747	0.000163328169210053	0.007
4	(0.001, 0.30000000000000004)	0.5957168657215526	0.003086641436765952	0.5864618729855309	190	54	2.055890126997846	6.891027783517689e-05	0.006
5	(0.001, 0.30000000000000004)	0.22579194757994825	0.0002943627223785105	0.055928917251916996	190	13	1.517617822266649	4.99897531723581e-07	0.004
6	(0.001, 0.30000000000000004)	0.46339084894838367	0.003981666539877835	0.7565166425767886	190	56	1.9492079347431996	0.00013302734776787783	0.008
7	(0.001, 0.30000000000000004)	0.6560460522529427	0.0022805116138720372	0.4332972066356871	190	42	2.0768424192436967	0.00011121501043448445	0.007
8	(0.001, 0.30000000000000004)	0.7930473851265761	0.0008389662190843817	0.15940358162603252	190	28	1.7873604449373601	4.389532199927659e-05	0.004
9	(0.001, 0.30000000000000004)	0.8230608319718189	0.0029383386725215566	0.5582843477790957	190	53	2.0029458926856996	0.00028316697465768925	0.006
10	(0.001, 0.30000000000000004)	0.40232166288511695	0.00016390592303222365	0.031142125376122494	190	9	1.3369972336685438	4.7239520280240033e-07	0.003
11	(0.001, 0.30000000000000004)	0.6040242048735021	0.0021621431357103063	0.4108071957849582	190	46	1.944895981606847	7.232909247212316e-05	0.006
12	(0.001, 0.30000000000000004)	0.08160980244871574	0.00020813239512739045	0.03954515507420418	190	3	1.720942844249567	3.4350614072711783e-06	0.003
13	(0.001, 0.30000000000000004)	0.6557660411240263	0.0005543325546027269	0.1053231853745181	190	22	1.6913521306348964	2.5016416302772737e-05	0.005
14	(0.001, 0.30000000000000004)	0.695094801642721	0.0003044038744411021	0.0578367361438094	190	28	0.7884258120590275	1.2095817618851257e-05	0.005
15	(0.001, 0.30000000000000004)	0.843647465676334	0.002269225128313748	0.4311527743796121	190	48	1.8526432865942652	0.00024336291273302502	0.006
16	(0.001, 0.30000000000000004)	0.6444875444450681	0.0023400730940582406	0.4446138878710657	190	49	2.049444239998872	5.175104386734297e-05	0.005
17	(0.001, 0.30000000000000004)	0.7794400249974693	0.002995029915966897	0.5690556840337104	190	52	2.0643744745668933	0.000250089867476766	0.006
18	(0.001, 0.30000000000000004)	0.8175568127695236	0.0006543019518758306	0.12431737085640782	190	32	1.314651961373534	1.642781477778632e-05	0.004
19	(0.001, 0.30000000000000004)	0.8137575082539791	0.0003919262159203074	0.07446598102485841	190	20	0.9820216349992122	6.453353309690546e-06	0.004
20	(0.001, 0.30000000000000004)	0.8548320231131967	0.0021250018108449637	0.4037503440605431	190	25	1.5472832305817301	0.00013190772530746742	0.005
21	(0.001, 0.30000000000000004)	0.8101964905177932	0.0013723401201113828	0.26074462282116273	190	24	2.203112781117288	3.6227723985593485e-05	0.004
22	(0.001, 0.30000000000000004)	0.8965579150390981	0.0019561024621218876	0.3716594678031586	190	36	1.8312177694653704	0.0002660276203585443	0.006
23	(0.001, 0.30000000000000004)	0.8805431158162167	0.0025767676123410782	0.48958584634480484	190	45	2.029529718796019	0.0001961323970643969	0.006
24	(0.001, 0.30000000000000004)	0.673426297273221	0.0016770317325035071	0.31863602917566636	190	35	1.8433892813533503	9.126640936274466e-05	0.006
25	(0.001, 0.30000000000000004)	0.7336378244089905	0.003878963150661399	0.7370029986256659	190	54	2.1471136000546642	0.00019311906205299323	0.006
26	(0.001, 0.30000000000000004)	0.7104805227426102	0.0023354261016444618	0.44373095931244777	190	53	2.1162112718091537	8.675315280781692e-05	0.006
27	(0.001, 0.30000000000000004)	0.7773976944893716	0.002098531705938924	0.39872102412839555	190	48	2.0178245385015834	0.0001309854760828122	0.006
28	(0.001, 0.30000000000000004)	0.9109136529336692	0.0019341910416786243	0.3674962979189386	190	47	2.0060710100942263	0.00018733568160456127	0.007
29	(0.001, 0.30000000000000004)	0.6991553167249477	0.0024810648008005633	0.47140231215210704	190	46	2.1150050827224556	0.00013213012349738706	0.006
30	(0.001, 0.30000000000000004)	0.7774053696337259	0.0017309893240789781	0.3288879715750058	190	42	1.8794022169494857	0.0001235084391397745	0.006
31	(0.001, 0.30000000000000004)	0.2798572099409734	0.00018239260301597726	0.03465459457303568	190	12	1.288388647189625	5.053885052883067e-07	0.004
32	(0.001, 0.30000000000000004)	0.46569033241168	0.0010037734323485486	0.19071695214622425	190	24	1.8960225333995187	8.530723103222781e-06	0.004
33	(0.001, 0.30000000000000004)	0.8385327005262336	0.0010066961216924535	0.19127226312156614	190	31	1.976261812551379	6.009812635415779e-05	0.005
34	(0.001, 0.30000000000000004)	0.40809730861840077	0.003249358138570268	0.6173780463283509	190	43	2.038596105258384	9.764345948948261e-05	0.006
35	(0.001, 0.30000000000000004)	0.8579715061993144	0.006454197503325156	1.2262975256317796	190	74	2.3296974801872756	0.0008418555373190806	0.008
36	(0.001, 0.30000000000000004)	0.9274766644505326	0.0038348125014985458	0.7286143752847237	190	62	2.0315980011280383	0.0007907945988919751	0.008
37	(0.001, 0.30000000000000004)	0.5506716418001433	0.000631447565727581	0.1199750374882404	190	23	1.6520776578985665	2.2146581315232727e-05	0.004
38	(0.001, 0.30000000000000004)	0.8123741764781857	0.00216604980660262	0.41154946325449776	190	45	2.0883129705286443	0.00020136375256452066	0.005
39	(0.001, 0.30000000000000004)	0.30638819869289946	0.003200582425618645	0.6081106608675425	190	38	1.9925318167954047	2.880578791675248e-05	0.004
40	(0.001, 0.30000000000000004)	0.8369729029083164	0.001749518836818614	0.33240857899553666	190	32	1.9178458476926845	0.00017867716374864173	0.005
41	(0.001, 0.30000000000000004)	0.7771332975087042	0.0033090179391205557	0.6287134084329056	190	56	2.0108593088292053	0.00023505287767378036	0.008
42	(0.001, 0.30000000000000004)	0.8336987220093388	0.0038529981151460475	0.732069641877749	190	57	2.044658607454703	0.000413347334255465	0.006
43	(0.001, 0.30000000000000004)	0.8445395538561995	0.0020337011988584928	0.3864032277831136	190	50	2.112395940643771	7.097868171440647e-05	0.005
44	(0.001, 0.30000000000000004)	0.5902554237292894	0.0027260745300351024	0.5179541607066694	190	45	2.084790785931549	8.325539041709185e-05	0.006
45	(0.001, 0.30000000000000004)	0.8301922155998721	0.005369210019926706	1.0201499037860742	190	57	2.1074575426756725	0.0005071234588600593	0.005
46	(0.001, 0.30000000000000004)	0.8680239713584559	0.0030983537873070567	0.5886872195883408	190	42	2.018189880648813	0.00040271360231003417	0.009
47	(0.001, 0.30000000000000004)	0.9000386088729191	0.0019778589233753184	0.3757931954413105	190	44	1.848389265481745	0.00012143831078753609	0.006
48	(0.001, 0.30000000000000004)	0.8181710217069786	0.002646377594361142	0.502811742928617	190	50	2.1613071407988382	0.00019238149961164908	0.006
49	(0.001, 0.30000000000000004)	0.8083734153016856	0.001647593346369594	0.31304273581022285	190	39	1.7953817264723906	0.00016208776123521895	0.005
50	(0.001, 0.30000000000000004)	0.862942334004325	0.0028948168205948843	0.550015195913028	190	56	2.177486697012658	0.0003673903692797964	0.005
51	(0.001, 0.30000000000000004)	0.769868202012871	0.003360084225541087	0.6384160028528065	190	50	2.0611110873182605	8.800909117401279e-05	0.006
52	(0.001, 0.30000000000000004)	0.8178338312001042	0.002051386884595351	0.38976350807311666	190	40	1.8246187025460896	0.00016985162535110288	0.006
53	(0.001, 0.30000000000000004)	0.514324278460404	0.0013688097082725568	0.2600738445717858	190	26	2.069515532918739	4.219655711051873e-05	0.005
54	(0.001, 0.30000000000000004)	0.5139634868596603	0.002166865154279618	0.4117043793131274	190	43	1.992095807195169	4.8721891669545325e-05	0.005
55	(0.001, 0.30000000000000004)	0.8178965739321992	0.003588301185950755	0.6817772253306434	190	63	1.997444160417189	0.0003017280275667833	0.007
56	(0.001, 0.30000000000000004)	0.8199110774231713	0.002537323783538131	0.4820915188722449	190	42	1.9473316689527975	0.00013833043681066304	0.006
57	(0.001, 0.30000000000000004)	0.7920165429659897	0.0017808573041358225	0.33836288778580625	190	42	2.0619029063578633	6.380188482918436e-05	0.005
58	(0.001, 0.30000000000000004)	0.7928075975800942	0.0009547200544279503	0.18139681034131055	190	32	1.7270640442424283	7.09842863821919e-05	0.006
59	(0.001, 0.30000000000000004)	0.7759825340066747	0.0014612646186027806	0.2776402775345283	190	43	1.97958814509844	6.0330756986470835e-05	0.006
60	(0.001, 0.30000000000000004)	0.801671299226953	0.0010726207376684637	0.20379794015700808	190	40	1.812845619751256	8.173004928740957e-05	0.006
61	(0.001, 0.30000000000000004)	0.7952159868124002	0.0027395787094954406	0.5205199548041337	190	39	2.0430865155988402	0.0001298808135321572	0.006
62	(0.001, 0.30000000000000004)	0.8049616892214299	0.0029247364539896742	0.5556999262580381	190	56	2.1297320732701386	0.00018924046629964497	0.006
63	(0.001, 0.30000000000000004)	0.8006296981142031	0.0020382992551434167	0.3872768584772492	190	48	2.098073906065536	0.00013408115713503532	0.006
64	(0.001, 0.30000000000000004)	0.5429564307668107	0.003311022247529361	0.6290942270305786	190	51	2.0867808624550075	8.745906140006365e-05	0.006
65	(0.001, 0.30000000000000004)	0.6834255203995071	0.0024146587528871746	0.45878516304856315	190	44	1.9186042692319	0.00010887726730723912	0.005
66	(0.001, 0.30000000000000004)	0.44926656389938846	0.0023804032019027026	0.4522766083615135	190	43	1.8913088936100593	7.178154917042434e-05	0.006
67	(0.001, 0.30000000000000004)	0.6254669945734492	0.0026327403957305292	0.5002206751888005	190	47	2.3239943506982126	5.208518875271517e-05	0.007
68	(0.001, 0.30000000000000004)	0.8844365072748427	0.0018366295365241224	0.34895961193958325	190	40	1.776791545448496	0.0002675258832493532	0.006
69	(0.001, 0.30000000000000004)	0.7068861804403439	0.001708940281770132	0.32469865353632504	190	36	1.2255208047205566	0.00010171511481010809	0.006
70	(0.001, 0.30000000000000004)	0.8566227611387895	0.003257350563422118	0.6188966070502024	190	48	1.9449098437138186	0.0003205797345434691	0.007
71	(0.001, 0.30000000000000004)	0.9085591566635555	0.0029830288229703776	0.5667754763643718	190	50	1.829283223929129	0.0005149267261249646	0.007
72	(0.001, 0.30000000000000004)	0.8758299575874702	0.0019290759034044764	0.3665244216468505	190	51	1.9531647668224412	0.00024160080404800333	0.007
73	(0.001, 0.30000000000000004)	0.9429078747860862	0.0021047161944931386	0.39989607695369633	190	49	1.9936042385855712	0.00015597836623348904	0.007
