row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
0	(0.001, 0.30000000000000004)	0.8144376997563535	0.002553139418765784	0.485096489565499	190	77	1.692631911909567	0.0002570518405643485	0.005
1	(0.001, 0.30000000000000004)	0.5235679801805759	0.0012543835779391958	0.2383328798084472	190	56	1.7073942913188307	2.1550274468040698e-05	0.003
2	(0.001, 0.30000000000000004)	0.5148053991704513	0.0020735923702951157	0.393982550356072	190	68	1.817479824892723	7.174992369857192e-05	0.004
3	(0.001, 0.30000000000000004)	0.7123783247487194	0.002620698006607184	0.49793262125536497	190	81	1.9524256347866247	0.00012047498600337159	0.005
4	(0.001, 0.30000000000000004)	0.6566758299496693	0.002621228836102662	0.4980334788595058	190	82	1.7335805816887278	7.851670029351832e-05	0.004
5	(0.001, 0.30000000000000004)	0.03568376046726329	0.00036664402109402855	0.06966236400786542	190	5	1.2314452593235405	6.148129880201303e-09	0.003
6	(0.001, 0.30000000000000004)	0.5863892633674859	0.0030690121988350017	0.5831123177786504	190	81	1.7385892699837417	6.11784566670881e-05	0.004
7	(0.001, 0.30000000000000004)	0.6510825516954906	0.002313421021485681	0.43954999408227935	190	76	1.8164685338281925	3.633226120602906e-05	0.004
8	(0.001, 0.30000000000000004)	0.7806794159321665	0.0008891047899796192	0.16892991009612765	190	34	1.5937397608756632	4.739128845426821e-05	0.004
9	(0.001, 0.30000000000000004)	0.8241872738909468	0.002919632425113433	0.5547301607715522	190	78	1.6428938221849643	0.0002425517858078985	0.005
10	(0.001, 0.30000000000000004)	0.11529493189304518	0.00024261946902633658	0.04609769911500395	190	6	0.9172490102749109	2.6489530489393065e-06	0.003
11	(0.001, 0.30000000000000004)	0.5950166168555975	0.0022113271889830505	0.4201521659067796	190	61	1.786010051135747	8.138050627309878e-05	0.004
12	(0.001, 0.30000000000000004)	0.07326439499047221	0.0002100236932349154	0.03990450171463392	190	4	1.6196833639894572	5.158035831787089e-09	0.002
13	(0.001, 0.30000000000000004)	0.5521407723155412	0.0007212041211604533	0.13702878302048613	190	23	1.3177427603165226	2.850922710601056e-06	0.003
14	(0.001, 0.30000000000000004)	0.5486169055421941	0.00045064093216661233	0.08562177711165635	190	14	0.5344453009088792	1.0208688502363894e-05	0.003
15	(0.001, 0.30000000000000004)	0.8540767280989855	0.00211785985328554	0.40239337212425264	190	68	1.660735157087183	0.000260440458900002	0.004
16	(0.001, 0.30000000000000004)	0.629573685846149	0.002438239891565922	0.46326557939752516	190	65	1.9132703807378528	6.431728620526211e-05	0.004
17	(0.001, 0.30000000000000004)	0.7884496357365064	0.0028726865320672433	0.5458104410927762	190	77	1.5838141281562987	0.0001463899591709339	0.004
18	(0.001, 0.30000000000000004)	0.785082890632539	0.0007707642378172122	0.14644520518527032	190	40	1.1557819321156009	1.5714794210419658e-05	0.004
19	(0.001, 0.30000000000000004)	0.7215479453094721	0.0005859707904838248	0.1113344501919267	190	29	0.9389429966772749	7.834718843052757e-06	0.004
20	(0.001, 0.30000000000000004)	0.8706241645216122	0.0018938328587821396	0.3598282431686065	190	50	1.3654582874688157	0.0002481660494207394	0.005
21	(0.001, 0.30000000000000004)	0.7117924947550469	0.0020838325036447174	0.3959281756924963	190	63	1.5995267187908315	0.00012130740142324292	0.004
22	(0.001, 0.30000000000000004)	0.8718319620700724	0.0024236732530557937	0.46049791808060075	190	70	1.3274576912682234	0.00023052894269193214	0.007
23	(0.001, 0.30000000000000004)	0.8647785406968893	0.002916820400988273	0.5541958761877719	190	86	1.679611626158962	0.000262517296786724	0.005
24	(0.001, 0.30000000000000004)	0.6347899761528251	0.0018754382055449338	0.3563332590535374	190	57	1.6136275871445942	6.860948557163571e-05	0.004
25	(0.001, 0.30000000000000004)	0.7867947395626763	0.00310485280775526	0.5899220334734995	190	91	2.1609065445057825	0.00020655036696637374	0.005
