hyper	row	n	lag	mse	sse	avg_df	r2
(0.01, 0.9000000000000001)	0	190	2	0.010459550916425857	1.9873146741209131	1.1789473684210523	0.2397993179292284
(0.01, 0.9000000000000001)	1	190	2	0.0026608047772558913	0.5055529076786194	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	2	190	2	0.004319077732502588	0.8206247691754918	0.0	-0.01061000531900036
(0.01, 0.9000000000000001)	3	190	2	0.009208289410326654	1.7495749879620643	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	4	190	2	0.0077158566715756815	1.4660127675993793	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	5	190	2	0.00038424543828854274	0.07300663327482312	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	6	190	2	0.007498776409531197	1.4247675178109274	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	7	190	2	0.006713117094101186	1.2754922478792254	0.24210526315789474	-0.012493473902526864
(0.01, 0.9000000000000001)	8	190	2	0.004096916850506578	0.7784142015962499	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	9	190	2	0.010537794166167257	2.0021808915717787	2.0	0.3654412440436016
(0.01, 0.9000000000000001)	10	190	2	0.0002771473474294111	0.0526579960115881	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	11	190	2	0.005518224883373461	1.0484627278409575	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	12	190	2	0.00022903193164254405	0.04351606701208337	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	13	190	2	0.0016274223141285126	0.3092102396844174	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	14	190	2	0.001008948364361995	0.19170018922877904	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	15	190	2	0.009867615653468682	1.8748469741590497	2.0	0.320108571026545
(0.01, 0.9000000000000001)	16	190	2	0.006652091213911449	1.263897330643175	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	17	190	2	0.009949294063726804	1.890365872108093	2.0	0.26731414658341424
(0.01, 0.9000000000000001)	18	190	2	0.003624383618282936	0.6886328874737578	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	19	190	2	0.002126714217805989	0.404075701383138	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	20	190	2	0.009235890790531926	1.7548192502010658	1.0	0.3690567349324497
(0.01, 0.9000000000000001)	21	190	2	0.004904125363377654	0.9317838190417542	2.0	0.32172776174886303
(0.01, 0.9000000000000001)	22	190	2	0.006281265359955507	1.193440418391546	2.994736842105264	0.6678358124851638
(0.01, 0.9000000000000001)	23	190	2	0.009248894860398793	1.7572900234757705	3.0052631578947366	0.5712286366550299
