hyper	row	n	lag	mse	sse	avg_df	r2
(0.001, 0.9000000000000001)	0	190	2	0.004135136295675394	0.7856758961783249	19.226315789473684	0.6994580878714993
(0.001, 0.9000000000000001)	1	190	2	0.00200028874531629	0.3800548616100951	11.615789473684211	0.24026300733403183
(0.001, 0.9000000000000001)	2	190	2	0.004105634917091196	0.7800706342473271	3.963157894736842	0.03933293578505426
(0.001, 0.9000000000000001)	3	190	2	0.005053375150999538	0.9601412786899122	12.373684210526315	0.4453919440777676
(0.001, 0.9000000000000001)	4	190	2	0.005732822172146546	1.0892362127078439	20.294736842105262	0.2491245376253518
(0.001, 0.9000000000000001)	5	190	2	0.00038384963863256026	0.07293143134018645	1.5736842105263158	-0.009569006382957435
(0.001, 0.9000000000000001)	6	190	2	0.006690734024511237	1.271239464657135	12.9	0.09828985706188831
(0.001, 0.9000000000000001)	7	190	2	0.003965650916856307	0.7534736742026984	17.026315789473685	0.4018880325176014
(0.001, 0.9000000000000001)	8	190	2	0.0014622996793527013	0.27783693907701323	9.047368421052632	0.6392861411024546
(0.001, 0.9000000000000001)	9	190	2	0.004718243492559453	0.8964662635862961	11.66842105263158	0.7158795594479845
(0.001, 0.9000000000000001)	10	190	2	0.0002647645882376432	0.050305271765152204	1.0	0.034543377705327005
(0.001, 0.9000000000000001)	11	190	2	0.004052514267938554	0.7699777109083252	16.55263157894737	0.25782084774823577
(0.001, 0.9000000000000001)	12	190	2	0.00022903193164254405	0.04351606701208337	0.0	-0.010610005318999916
(0.001, 0.9000000000000001)	13	190	2	0.000935859823352487	0.17781336643697254	9.136842105263158	0.4188421205453564
(0.001, 0.9000000000000001)	14	190	2	0.0007165197999527485	0.1361387619910222	8.76842105263158	0.2823001608220933
(0.001, 0.9000000000000001)	15	190	2	0.003879015879778958	0.737013017158002	7.705263157894737	0.7327308093331981
(0.001, 0.9000000000000001)	16	190	2	0.0039374597918468415	0.7481173604508999	17.25263157894737	0.40180672013938257
(0.001, 0.9000000000000001)	17	190	2	0.005272905340011188	1.0018520146021257	12.847368421052632	0.611692736762489
(0.001, 0.9000000000000001)	18	190	2	0.0012425961144601602	0.23609326174743042	12.057894736842105	0.6535189985107368
(0.001, 0.9000000000000001)	19	190	2	0.000830142854334249	0.15772714232350732	8.089473684210526	0.6055179076670851
(0.001, 0.9000000000000001)	20	190	2	0.0028297282772248816	0.5376483726727275	5.989473684210527	0.806689139252651
(0.001, 0.9000000000000001)	21	190	2	0.0018394709093272716	0.34949947277218163	7.968421052631579	0.7455892828139385
(0.001, 0.9000000000000001)	22	190	2	0.002660427014281083	0.5054811327134058	11.094736842105263	0.8593120132648786
(0.001, 0.9000000000000001)	23	190	2	0.004428955663332686	0.8415015760332103	14.76842105263158	0.7946771601769834
(0.001, 0.9000000000000001)	24	190	2	0.0027934194837093865	0.5307497019047834	14.868421052631579	0.45602857335187974
(0.001, 0.9000000000000001)	25	190	2	0.006913538068990227	1.3135722331081432	13.4	0.5252584338746529
(0.001, 0.9000000000000001)	26	190	2	0.004329573280082728	0.8226189232157182	17.13157894736842	0.4632689118638865
(0.001, 0.9000000000000001)	27	190	2	0.0034568310521434172	0.6567978999072492	12.368421052631579	0.6333157322378566
(0.001, 0.9000000000000001)	28	190	2	0.003392906665005417	0.6446522663510292	11.652631578947368	0.8437270909599415
(0.001, 0.9000000000000001)	29	190	2	0.004474503120988749	0.8501555929878624	16.41578947368421	0.45743840555364035
(0.001, 0.9000000000000001)	30	190	2	0.0033524082756059156	0.636957572365124	11.910526315789474	0.5689008184135456
(0.001, 0.9000000000000001)	31	190	2	0.00025596005687846245	0.04863241080690786	0.0	-0.010610005319000138
(0.001, 0.9000000000000001)	32	190	2	0.0014716656867403235	0.27961648048066146	8.363157894736842	0.21663078684641202
(0.001, 0.9000000000000001)	33	190	2	0.0016966348419505577	0.32236061997060594	9.926315789473684	0.7278711616944629
(0.001, 0.9000000000000001)	34	190	2	0.005044312952933804	0.9584194610574228	10.147368421052631	0.08112855349139159
(0.001, 0.9000000000000001)	35	190	2	0.01332762483753703	2.5322487191320358	22.242105263157896	0.7067176080929067
(0.001, 0.9000000000000001)	36	190	2	0.007704915332280777	1.4639339131333478	17.847368421052632	0.8542859240693318
(0.001, 0.9000000000000001)	37	190	2	0.0011541772774459355	0.21929368271472777	10.83157894736842	0.17870523334933708
(0.001, 0.9000000000000001)	38	190	2	0.0033458354462559425	0.6357087347886291	7.831578947368421	0.7101797340676675
(0.001, 0.9000000000000001)	39	190	2	0.004569744971142658	0.8682515445171051	7.28421052631579	0.009671172478658563
(0.001, 0.9000000000000001)	40	190	2	0.00266377908111998	0.5061180254127962	7.7	0.7517785108971842
