Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
G21-G98	G21	G98	-0.43461489066382725	0.43461489066382725	enet	2	1
G41-G51	G41	G51	-0.3718685762660353	0.3718685762660353	enet	2	1
G21-G99	G21	G99	-0.3660717893969297	0.3660717893969297	enet	2	1
G46-G57	G46	G57	-0.3601495037160414	0.3601495037160414	enet	2	1
G21-G62	G21	G62	-0.3550648201825887	0.3550648201825887	enet	2	1
G21-G26	G21	G26	-0.3102709800174703	0.3102709800174703	enet	2	1
G41-G76	G41	G76	-0.30690698833401886	0.30690698833401886	enet	2	1
G46-G47	G46	G47	0.303801694073891	0.303801694073891	enet	2	1
G37-G29	G37	G29	-0.3025021789608518	0.3025021789608518	enet	2	1
G37-G72	G37	G72	-0.28834299126222784	0.28834299126222784	enet	2	1
G41-G46	G41	G46	-0.2600200497316798	0.2600200497316798	enet	2	1
G43-G91	G43	G91	0.2592661081071182	0.2592661081071182	enet	2	1
G90-G83	G90	G83	0.25164650927676246	0.25164650927676246	enet	2	1
G90-G100	G90	G100	0.24462023883067227	0.24462023883067227	enet	2	1
G23-G24	G23	G24	0.24422975465069016	0.24422975465069016	enet	2	1
G43-G10	G43	G10	0.24301564003713028	0.24301564003713028	enet	2	1
G37-G74	G37	G74	-0.23746627045931615	0.23746627045931615	enet	2	1
G46-G53	G46	G53	0.23591337571217558	0.23591337571217558	enet	2	1
G46-G56	G46	G56	-0.2356976385637696	0.2356976385637696	enet	2	1
G43-G44	G43	G44	0.21966397655074021	0.21966397655074021	enet	2	1
G31-G83	G31	G83	-0.219027939893264	0.219027939893264	enet	2	1
G19-G80	G19	G80	0.21804233991359015	0.21804233991359015	enet	2	1
G9-G93	G9	G93	-0.2172992430828567	0.2172992430828567	enet	2	1
G88-G50	G88	G50	0.21611578496683329	0.21611578496683329	enet	2	1
G91-G43	G91	G43	0.21507050902530842	0.21507050902530842	enet	2	1
G66-G46	G66	G46	0.21209401830025473	0.21209401830025473	enet	2	1
G31-G93	G31	G93	-0.2118878219351647	0.2118878219351647	enet	2	1
G7-G36	G7	G36	0.21150593083296684	0.21150593083296684	enet	2	1
G51-G43	G51	G43	0.2114457238919447	0.2114457238919447	enet	2	1
G46-G37	G46	G37	0.20901071671496568	0.20901071671496568	enet	2	1
G73-G89	G73	G89	0.20397871438373402	0.20397871438373402	enet	2	1
G39-G36	G39	G36	-0.20392683835592182	0.20392683835592182	enet	2	1
G46-G22	G46	G22	-0.20303404396347147	0.20303404396347147	enet	2	1
G72-G76	G72	G76	-0.2004963870165278	0.2004963870165278	enet	2	1
G10-G43	G10	G43	0.19940632274405187	0.19940632274405187	enet	2	1
G37-G47	G37	G47	0.19854590820897533	0.19854590820897533	enet	2	1
G37-G71	G37	G71	-0.19718571894855697	0.19718571894855697	enet	2	1
G83-G90	G83	G90	0.1920269628969016	0.1920269628969016	enet	2	1
G16-G100	G16	G100	0.1842364621652272	0.1842364621652272	enet	2	1
G57-G49	G57	G49	-0.1841704265827336	0.1841704265827336	enet	2	1
G63-G79	G63	G79	-0.1840701178126897	0.1840701178126897	enet	2	1
G41-G90	G41	G90	-0.18375647007163418	0.18375647007163418	enet	2	1
G49-G83	G49	G83	-0.18369011737052474	0.18369011737052474	enet	2	1
G46-G52	G46	G52	0.183653259460422	0.183653259460422	enet	2	1
G26-G34	G26	G34	-0.183171020150109	0.183171020150109	enet	2	1
G46-G49	G46	G49	0.17931986162777253	0.17931986162777253	enet	2	1
G21-G60	G21	G60	-0.1793060454213233	0.1793060454213233	enet	2	1
G89-G7	G89	G7	-0.17816879970606628	0.17816879970606628	enet	2	1
G70-G73	G70	G73	0.1769985292270001	0.1769985292270001	enet	2	1
G49-G98	G49	G98	0.1769967814213616	0.1769967814213616	enet	2	1
G25-G73	G25	G73	0.17647115307600342	0.17647115307600342	enet	2	1
G36-G37	G36	G37	0.17338354355292415	0.17338354355292415	enet	2	1
G96-G83	G96	G83	0.17284217313374894	0.17284217313374894	enet	2	1
G99-G75	G99	G75	-0.17200368505464786	0.17200368505464786	enet	2	1
G19-G20	G19	G20	0.17165661650316255	0.17165661650316255	enet	2	1
G10-G37	G10	G37	0.17033780694857348	0.17033780694857348	enet	2	1
