Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
G8-G36	G8	G36	0.23952009233319774	0.23952009233319774	enet	2	1
G61-G37	G61	G37	-0.19359704572342012	0.19359704572342012	enet	2	1
G4-G37	G4	G37	0.18525263639400094	0.18525263639400094	enet	2	1
G92-G37	G92	G37	0.1825172378868141	0.1825172378868141	enet	2	1
G92-G43	G92	G43	0.17819970245625016	0.17819970245625016	enet	2	1
G3-G37	G3	G37	-0.16841082081452688	0.16841082081452688	enet	2	1
G31-G93	G31	G93	-0.1613900393988635	0.1613900393988635	enet	2	1
G94-G63	G94	G63	0.16090161767435204	0.16090161767435204	enet	2	1
G85-G36	G85	G36	-0.15885160694871095	0.15885160694871095	enet	2	1
G81-G37	G81	G37	0.1588287459182348	0.1588287459182348	enet	2	1
G94-G64	G94	G64	0.15508814249720304	0.15508814249720304	enet	2	1
G68-G72	G68	G72	0.15138489223775997	0.15138489223775997	enet	2	1
G70-G37	G70	G37	0.14847342908676298	0.14847342908676298	enet	2	1
G83-G51	G83	G51	0.1462177471104679	0.1462177471104679	enet	2	1
G81-G93	G81	G93	0.142920316133504	0.142920316133504	enet	2	1
G83-G85	G83	G85	0.14245844072412708	0.14245844072412708	enet	2	1
G94-G44	G94	G44	0.13942281739368587	0.13942281739368587	enet	2	1
G68-G73	G68	G73	0.13754727468042308	0.13754727468042308	enet	2	1
G70-G90	G70	G90	0.13671857273168048	0.13671857273168048	enet	2	1
G31-G83	G31	G83	-0.13671785990050078	0.13671785990050078	enet	2	1
G17-G95	G17	G95	0.13646087505934318	0.13646087505934318	enet	2	1
G49-G46	G49	G46	0.13622310684127376	0.13622310684127376	enet	2	1
G60-G37	G60	G37	-0.13534635315998084	0.13534635315998084	enet	2	1
G47-G76	G47	G76	0.13477513297291505	0.13477513297291505	enet	2	1
G94-G89	G94	G89	-0.1327762379678772	0.1327762379678772	enet	2	1
G45-G68	G45	G68	0.13195236845971853	0.13195236845971853	enet	2	1
G100-G43	G100	G43	-0.13166222443387646	0.13166222443387646	enet	2	1
G26-G63	G26	G63	-0.12978005382272986	0.12978005382272986	enet	2	1
G60-G36	G60	G36	-0.12969656334775015	0.12969656334775015	enet	2	1
