gene	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
G1	0.0	0.09936175269497574	0.0	0.09446198772048868	0.0	0.0	-0.03349675210225761	0.0	0.0	0.0	0.0	0.009816642331202831	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0034175453249651686	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.05138651722121387	-0.005697604104944941	0.0	-0.0	0.010939947388635506	-0.01200906199252746	0.00496043982776417	0.0038090216456086222	0.0	0.040736534220611076	0.0	-0.0	0.011258425889546737	0.05385380998248714	-0.0	0.0	-0.0	-0.008349001399382886	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.010439561827351942	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.04203573549127791	-0.0	0.0	-0.0	-0.047620136994557104	0.0	0.021104099386610835	0.008075294882504023	-0.0024365774793438386	-0.04837621708235265	0.0	-0.0	0.04718055480146154	0.0	0.0	0.0
G2	0.0	0.0	-0.0	0.0037458989885579817	0.023806990226136412	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.09918306507721086	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.06123767240569323	-0.0	-0.0	0.0	0.0	0.0	0.0	0.06159893089477223	0.19127496191198948	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.026812411317924445	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.06624784846244039	0.004935590267877708	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0
G3	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.006788027786347634	-0.0	0.04358267177882039	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.008601247613189488	0.02401544764866177	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0028812630505202267	-0.022381730832808602	0.0	-0.0	-0.040471016083895126	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.046819047915123986	-0.0	-0.0	0.0	-0.0	-0.0	0.047096402192713584	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.02166868938424814	0.0019926301593170253	-0.0	0.0	0.024135398812355463	-0.0	0.0	0.04433794653575926	-0.0	0.002488764525157659	-0.0	0.0	-0.00025924103292157135	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.026835109593586974	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.004804658231723839	0.0	-0.0	-0.0	-0.039752150179608314	-0.0	-0.0	-0.0	-0.0	0.0
G4	-0.09504198272188406	0.0	-0.0	0.0	0.0	-0.0	-0.020520900105366578	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.016467207497352893	0.040082095997602644	0.009005506294233133	-0.0	-0.01908752612131125	0.0	0.002721574303860573	0.0	0.0	0.0	0.0	0.0	-0.0049350747427513685	-0.058389992946717754	-0.09849370183457618	0.0	-0.0	0.007291110592236128	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.02344823242492332	-0.0	-0.0027967173733262577	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.03605393396125335	-0.04034361236680219	0.015366121045072872	0.0	-0.017770830197337367	0.0	-0.0	0.03724965506213539	0.0	0.0	-0.0	0.0	-0.0	0.0	0.02945884850562796	-0.0	0.019547843297797126	-0.0	-0.0	-0.024155870647048626	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.00457765899290762	-0.00311609103268902	0.0	-0.0	-0.02518146464765706	-0.0	0.022472344072242904	-0.0	-0.0	0.0
G5	-0.0	0.002384234374538106	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.042212314347165526	-0.07819955003367565	-0.0	-0.0	-0.03285832401588114	-0.0	-0.07498306957737295	0.0	0.0	-0.0	-0.0195431753726538	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.008196625281934329	0.0	0.0	0.0	0.0	0.013954181449139855	0.05175157395360493	0.0	0.08108406552252946	-0.0	-0.0	-0.0	0.013794669847206798	0.0	0.0	-0.0	-0.0205768612201813	0.025170871832612976	0.0	-0.04671756955723827	-0.0	0.005829620623986603	-0.0	0.0	-0.0	0.03576988993649286	-0.03412368252768109	-0.0	0.010319370671587079	-0.0	-0.0	-0.0	0.034442289401340934	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.00029588103566098166	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.01448690506123695	0.026128077560188385	0.0
G6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
G7	0.0	0.0	-0.028687883837135584	-0.0	-0.01001521603225003	-0.0	0.0	-0.0	-0.0	0.012375444354260374	0.0	-0.0	0.0	0.0	0.0	-0.0011976812455498644	0.0068853939861229655	-0.08060303975116681	-0.0013854228006226087	-0.0	0.0	0.0	-0.0	0.004145211554051215	0.04382388032171239	-0.0	-0.0	-0.0	0.0	-0.007863706579589805	-0.0	0.0	-0.0	-0.0	0.0	0.04494307897736655	0.025335276566660642	-0.0	-0.016967819524758912	0.0	0.0	0.0	0.0	0.006297267150162497	0.0	-0.0	-0.0	-0.0036545524344096855	-0.019055241859257586	0.0	0.007540418927079062	-0.07505214779374972	-0.0	0.0	-0.11816310325672026	0.005932226623014618	0.02450277464979259	-0.0	0.0	-0.0	-0.0	-0.01090201751518128	-0.0	-0.09931351459324918	-0.0638921182942688	-0.0	0.0	0.07828374152554209	-0.009768337869422454	0.01285747338429504	-0.0	-0.0	0.04745066473979135	0.0	-0.0	-0.0	-0.02487089795332309	-0.0	0.0	0.003911345210841437	0.0	-0.0	0.0	-0.00966323380235486	0.03846560721730262	-0.0	0.0	0.0	0.05225411318738381	0.0	0.05703426972454084	0.043266797169589664	-0.0	0.0	-0.02782834891993555	0.0	-0.0	-0.06902031875544692	-0.0	0.0
G8	-0.004216099310021785	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.005274592436062823	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.016046341936448962	0.0	0.0	-0.0009428152798875103	0.0	0.0	0.0	-0.0	0.019076135985084702	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.08335131996313609	-0.0	-0.03032240968829909	-0.0	-0.0	-0.0	0.0	0.0	-0.0487023476177765	0.0	-0.0	0.02136337538025891	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.041740467088978675	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.014989840851783556	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0030649554793953948	-0.05146975408893346	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.03880395621595344	-0.0
G9	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0
G10	-0.0	-0.0	-0.0	-0.0	0.0461568446102118	-0.0	-0.07370161435544889	-0.0	0.0	0.0	-0.0	0.04048193039001195	-0.0	-0.0	-0.0	0.0	0.0	0.12876553739129534	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.06122273958196842	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0743078919607003	0.0	0.0	0.0	0.10726603960509058	0.0	0.0	-0.0	0.06416700827534137	-0.0	-0.0	0.006367230412064951	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.039450626249928095	0.04931551764030924	0.09862729251062219	0.004028875895368431	-0.0	0.0	0.0	0.013373782706991025	-0.0	-0.07385638896636988	0.0	-0.053769791964568235	0.0	0.0	-0.0	0.042760912928691316	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.006076513657889585	0.0	-0.015432723604976049	-0.0	-0.007686704520182749	-0.0	-0.023718151661546345	0.0	-0.038417527895244045	0.0
