gene	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
G1	0.0	-0.0005749504281356096	0.0	-0.011262990812611924	0.01941049913210087	0.0	-0.00036098361257632506	0.007445591078648057	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.028753542806840858	0.0	-0.0	-0.048687228673698686	0.0	0.0	0.0	0.0	0.09665598008019541	0.0	0.012682793356419175	0.0	0.0	-0.0	0.0	0.0	0.0	-0.00770446112872314	0.1343291892102717	0.0477012694570233	0.0	-0.034469044481921146	0.0	-0.0025596125995711867	0.044613873097010655	0.034376642524165904	-0.0	0.014729769403681342	0.1395751597438069	-0.0	-0.01563456393189534	-0.011224119844670035	-0.008531394560040716	0.0	0.05859967500898502	-0.0	0.012294976358087698	-0.0	0.015488080183835797	-0.0	0.0	0.0	0.0	-0.0005771422645478893	0.0	0.017335667789026867	-0.0	0.030007374487960165	0.06103337310223745	0.0	0.0053209769808697654	-0.022721651278087444	-0.009907852833861466	0.049369968935864	0.024458848827509354	0.0	0.0	-0.0	0.09579423259631302	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0015264190776494387	-0.020848752674354463	0.027117055597632445	0.0	-0.0	-0.028848640634649488	0.0	-0.0	-0.02023725269895301	-0.01779349072150862	0.0	0.0	0.0	-0.0	-0.0	0.0584160408956664	0.0	0.03733770037265106
G2	-0.0	0.0	-0.0	-0.0	0.005311723117759949	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.05441344893197356	0.005722926313357184	0.07771808069412947	0.0	0.0	-0.0	-0.010125842944843692	0.0	0.0	-0.0	-0.03212008176275385	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.02602215314596786	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0
G3	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.037869635338303856	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.06920560501922883	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.05156101461596411	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0034603909707869294	0.04182190293813713	0.09538012602294252	0.0	0.0	-0.0	-0.0	0.0	0.0029627192328711277	-0.0	-0.0	-0.0	-0.0	-0.025887306151729055	-0.0	0.0	0.0	0.0	0.0	0.0	0.13120731068751224	0.04194387751432326	-0.12715826773465405	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.06936532415053678	0.0	-0.0	-0.0	-0.0	0.0	0.011471584859776784	-0.0	-0.0	0.0	0.01848480372225698	0.0	0.0	-0.0	0.0	0.0	-0.0	0.05608276860347689
G4	0.05265662691942218	0.0	-0.03251286930288236	0.0	0.0	-0.0	0.0	0.0	0.0	-0.07135288746436474	0.0	0.00664317731095289	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.013896979782236134	-0.040576269963902886	-0.01118954492611407	-0.011804934214489193	0.0	0.02770579700545497	-0.0	0.0	-0.013166411590774849	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.16426133428082978	0.0	0.0	-0.0	-0.04429304596672967	0.0	0.06312184387619471	-0.009605394304255223	0.0	0.0	0.0	0.0	0.04101914476567419	0.02653459967509523	-0.06016045342755762	0.04458907183434958	-0.034892210778631624	0.0	-0.0	0.0	-0.0	-0.05923506130016302	-0.02825976313869001	-0.0	0.0	-0.008229045360552458	0.004117253813881412	-0.0	-0.01512691927466763	0.023938203319765494	-0.0	0.0	0.010377353260521052	0.0	-0.0	-0.0	-0.12577161229005152	-0.031812757514699204	-0.0	-0.0	-0.007898499948572571	-0.024283767261149957	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.015465644148487695	-0.0	0.0	0.0	0.017270360724394574	-0.0	-0.0	-0.024823422828340654	0.011104789585564583	0.0	0.06827629354474933	0.0	0.0	0.012500121702466616	-0.0	0.0
G5	-0.018980220061250375	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.033824367250900156	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0056513872987964476	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.09527172053473713	0.004158740417955764	-0.010156728316256622	-0.0	0.0	-0.0	0.0	0.0	-9.285909521191614e-05	-0.0	0.0007045135346315438	-0.06417735266413457	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.004513682357613489	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.00351486334084981	-0.007072671869057	-0.03647355918898097	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.010457882957835873	0.0	-0.1261378240388282	-0.0	0.05520885720835832	-0.0015232978816863488	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.018152231370765794	0.0	0.0
G6	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0
G7	0.0	-0.0	-0.04809095790054501	-0.0452667171623046	-0.0	0.0	0.0	-0.04651881213802006	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.019146410173876766	-0.01953400409425056	0.0	-0.0	0.0	0.0	-0.007438509720693591	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.000162331226614957	-0.0	0.0	0.05400192939425999	-0.0	-0.0	0.07378011230573293	-0.0	0.030683902817388264	0.0	0.0	0.0	0.0	0.0	0.008199583792806416	0.07616038066626082	-0.0	0.12095673284919081	0.0	0.0	-0.0	-0.056782068200008445	-0.05381718944092168	-0.0	-0.026400173824301574	0.0	0.0	-0.0	-0.06495109810276331	-0.011372227215215936	-0.04709265320071767	-0.0	0.014313733609343246	0.016569341831098695	0.0	-0.007144458323548144	0.0	-0.004980065768715672	-0.10713394728928402	-0.0	0.0	-0.0	0.0430068285269423	-0.01835871463234117	0.0	0.0	0.0	-0.0	0.0	-0.028776642777945075	-0.00633348698744379	-0.0	0.0	0.0	-0.0037591465956115498	-0.018696501228089808	0.0	0.058593644652605185	0.0	-0.0	-0.017631800676476975	0.0	0.026806455034685435	-0.0	-0.10381463287591766	-0.10417095040684946	-0.025384468347445763
G8	-0.0	-0.0	0.0	-0.0	0.006506477774934015	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0017894865357621556	0.0	0.0	0.0	-0.0	-0.0	-0.025014832716507784	-0.0	-0.00566587265904935	0.0022601498109858947	-0.0	0.023489975169142717	0.0	-0.025030622742041753	0.006877101120336318	-0.0	-0.0	-0.003915787233997377	-0.0	0.04349603879955911	-0.0	0.1251479549079813	0.0	-0.0051031518235995065	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.038179618214792994	0.0	-0.0	0.1902360135343951	0.0	0.0	0.0	-0.0	-0.0	-0.09801988751584194	-0.0	-0.0	0.0	0.0	-0.03481882908985857	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.06246213952520707	0.0	-0.0597561451614718	0.006150454369934933	-0.0006444117952319823	-0.0	0.0	0.0	0.0	0.020378190554287103	0.0	0.014317956191115054	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.08704243553873126	0.039775518856484816	-0.1081458119214216	0.0	-0.0	-0.0	0.0	-0.0	0.08184364616619903	0.06818826995728836	0.0
G9	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.07702361213483697	0.0	0.0	0.0	0.0	0.0	-0.019758134732611815	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0084580748532035	0.012501886524290547	0.02629603136621595	0.0	0.0	-0.0037227768935759326	0.0	-0.0	-0.014420438484855436	0.0	-0.0	-0.0	-0.0459857423820844	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.010681296759665126	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.015325413647935536	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.03004076062257209	-0.019298300924238312	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0
G10	-0.0	-0.0	0.0	-0.0	0.0	0.008868900968532944	0.0	0.038003616744855924	0.0	0.0	0.0	-0.030252256824349354	-0.0	0.004843437389820325	0.0	0.0	0.00013448076324920516	-0.09675462516949797	0.0	-0.0	0.0	0.02594737559778401	0.0	-0.0009718825927409975	-0.01408326013893171	-0.051912285360037766	-0.0	0.009984926194033721	0.0	0.003919209308856591	0.012145060641437345	0.0	-0.0	0.03199358081585009	-0.03528902734189028	-0.0	-0.0865374365992016	-0.0	-0.005976196265699664	0.0	0.015372945627853676	0.02641914593434026	-0.12454798235330364	-0.034961565332659164	0.0	-0.0	-0.026841933117328427	-0.0033667313815610093	-0.009015034392867475	0.0	-0.0977758320263974	-0.01290242892270712	-0.0	0.004322822496974459	0.0	0.0	-0.0	0.0	-0.025530795713488815	0.0	-0.010058780274650665	-0.0	-0.008810459800365296	-0.056573870489603016	-0.008458699788992054	-0.00045871963494679876	0.0169327965818682	-0.059390896006845474	-0.0035001611026714485	-0.011631143072026487	-0.03759828848174981	0.0	0.0	0.0	-0.026007872940363937	0.02459017038710074	0.0	-0.008230961295538882	-0.0	-0.026652413073558343	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.005805834806842794	-0.004393457060430242	0.03862744641129946	0.0	-0.01857763069139537	0.0	0.001985712716056535	-0.006503606083989252	-0.0	0.0	-0.003691694826960899	0.039912434170124654	0.009178267541349898	0.0
