Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2	Weight	AbsWeight	Coef
G8-G36	G8	G36	enet	2	0.23952009233319774	0.23952009233319774	1.0				0.23952009233319774	0.23952009233319774	1.0
G61-G37	G61	G37	enet	2	-0.19359704572342012	0.19359704572342012	1.0				-0.19359704572342012	0.19359704572342012	1.0
G4-G37	G4	G37	enet	2	0.18525263639400094	0.18525263639400094	1.0				0.18525263639400094	0.18525263639400094	1.0
G92-G37	G92	G37	enet	2	0.1825172378868141	0.1825172378868141	1.0	0.10934999566779562	0.10934999566779562	2.0	0.1825172378868141	0.1825172378868141	1.0
G92-G43	G92	G43	enet	2	0.17819970245625016	0.17819970245625016	1.0				0.17819970245625016	0.17819970245625016	1.0
G3-G37	G3	G37	enet	2	-0.16841082081452688	0.16841082081452688	1.0	-0.06920560501922883	0.06920560501922883	2.0	-0.16841082081452688	0.16841082081452688	1.0
G31-G93	G31	G93	enet	2	-0.1613900393988635	0.1613900393988635	1.0	-0.11695286961245853	0.11695286961245853	2.0	-0.1613900393988635	0.1613900393988635	1.0
G94-G63	G94	G63	enet	2	0.16090161767435204	0.16090161767435204	1.0	0.08905053585297969	0.08905053585297969	2.0	0.16090161767435204	0.16090161767435204	1.0
G85-G36	G85	G36	enet	2	-0.15885160694871095	0.15885160694871095	1.0				-0.15885160694871095	0.15885160694871095	1.0
G81-G37	G81	G37	enet	2	0.1588287459182348	0.1588287459182348	1.0				0.1588287459182348	0.1588287459182348	1.0
G94-G64	G94	G64	enet	2	0.15508814249720304	0.15508814249720304	1.0	0.04317165690548391	0.04317165690548391	2.0	0.15508814249720304	0.15508814249720304	1.0
G68-G72	G68	G72	enet	2	0.15138489223775997	0.15138489223775997	1.0	0.15759533269633505	0.15759533269633505	2.0	0.15759533269633505	0.15759533269633505	2.0
G70-G37	G70	G37	enet	2	0.14847342908676298	0.14847342908676298	1.0				0.14847342908676298	0.14847342908676298	1.0
G83-G51	G83	G51	enet	2	0.1462177471104679	0.1462177471104679	1.0	0.00467142006459585	0.00467142006459585	2.0	0.1462177471104679	0.1462177471104679	1.0
G81-G93	G81	G93	enet	2	0.142920316133504	0.142920316133504	1.0	0.04931138372049823	0.04931138372049823	2.0	0.142920316133504	0.142920316133504	1.0
G83-G85	G83	G85	enet	2	0.14245844072412708	0.14245844072412708	1.0	0.10841439587281564	0.10841439587281564	2.0	0.14245844072412708	0.14245844072412708	1.0
G94-G44	G94	G44	enet	2	0.13942281739368587	0.13942281739368587	1.0	0.038273897904228256	0.038273897904228256	2.0	0.13942281739368587	0.13942281739368587	1.0
G68-G73	G68	G73	enet	2	0.13754727468042308	0.13754727468042308	1.0	0.06301864016236647	0.06301864016236647	2.0	0.13754727468042308	0.13754727468042308	1.0
G70-G90	G70	G90	enet	2	0.13671857273168048	0.13671857273168048	1.0				0.13671857273168048	0.13671857273168048	1.0
G31-G83	G31	G83	enet	2	-0.13671785990050078	0.13671785990050078	1.0	-0.1280944437662054	0.1280944437662054	2.0	-0.13671785990050078	0.13671785990050078	1.0
G17-G95	G17	G95	enet	2	0.13646087505934318	0.13646087505934318	1.0				0.13646087505934318	0.13646087505934318	1.0
G49-G46	G49	G46	enet	2	0.13622310684127376	0.13622310684127376	1.0	0.002792252277967306	0.002792252277967306	2.0	0.13622310684127376	0.13622310684127376	1.0
G60-G37	G60	G37	enet	2	-0.13534635315998084	0.13534635315998084	1.0	0.0509318063746386	0.0509318063746386	2.0	-0.13534635315998084	0.13534635315998084	1.0
G47-G76	G47	G76	enet	2	0.13477513297291505	0.13477513297291505	1.0	0.08661064903035304	0.08661064903035304	2.0	0.13477513297291505	0.13477513297291505	1.0
G94-G89	G94	G89	enet	2	-0.1327762379678772	0.1327762379678772	1.0				-0.1327762379678772	0.1327762379678772	1.0
G45-G68	G45	G68	enet	2	0.13195236845971853	0.13195236845971853	1.0				0.13195236845971853	0.13195236845971853	1.0
G100-G43	G100	G43	enet	2	-0.13166222443387646	0.13166222443387646	1.0	-0.018152259185755127	0.018152259185755127	2.0	-0.13166222443387646	0.13166222443387646	1.0
