gene	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
G1	0.0	0.0	0.01256300616922145	0.0	0.0	0.005481372984363891	0.0	0.0	0.0	0.00989528662867882	0.0	0.0	0.0	0.0	0.010860152733868065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007793549541982864	0.0	0.0	0.0	0.0	0.0	0.0	0.012168215456661137	0.0	0.02075236945460001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01267451403108364	0.012137350697876173	0.0	0.016220809212003678	0.0	0.0	0.0	0.027915433023740548	0.0	0.013824766344581674	0.0	0.0	0.008239164011809784	0.03500328825600856	0.010912689408861255	0.0	0.0	0.01215836762896161	0.0	0.0	0.0	0.045451985079029665	0.0	0.0	0.03706642299957495	0.0	0.039883540649940596	0.0	0.0	0.011396923317297747	0.0	0.0	0.0	0.0	0.0	0.0	0.004782177534937259	0.0	0.004706032940379785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007552064815091666	0.0	0.0	0.0	0.0	0.0	0.0	0.013976678796115291	0.0
G2	0.0	0.0	0.0	0.026422931644827865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015082199564948068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04108516913551908	0.0	0.0	0.010517612539320827	0.0	0.0	0.011835581012271347	0.0	0.010503402724374385	0.0	0.0	0.0	0.0	0.0	0.016430626238948143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015188221647612583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01731972274262005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G3	0.0	0.0	0.0	0.060049426721383525	0.023823667732009772	0.0	0.013143249563811263	0.0	0.0	0.02488003267897991	0.0	0.0	0.0	0.004948031096580757	0.0	0.036233121130594605	0.0	0.021677907724253126	0.0	0.0	0.0	0.0	0.010747286608791635	0.012712755973510504	0.012997401000906338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03488204565600094	0.014884085897076389	0.0	0.0	0.0	0.05868636679015618	0.027880574247991688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023010195359869198	0.023820334518107698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02495819613946562	0.0	0.0	0.0	0.021212972220874596	0.0	0.02431928172018115	0.0	0.0	0.0	0.01299076914092336	0.0	0.0	0.0	0.0	0.013463964323788827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031622597225446386	0.0	0.0	0.0	0.0	0.0	0.01922580537791737	0.0
G4	0.0	0.032482040861465694	0.009070567789024727	0.0	0.025068352589542316	0.0	0.0	0.0	0.0	0.0	0.0018169352734783875	0.0	0.0008341016402464951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006482140137673045	0.0	0.0	0.0	0.020063825347438734	0.0	0.0	0.012130015477981551	0.0	0.00706747756296597	0.0	0.0	0.0	0.016001635454734188	0.07893766629580778	0.0	0.006752626240828116	0.0	0.0	0.026731061317129767	0.0	0.023762064149473218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036712870155816354	0.02383475828792323	0.0070673252802216716	0.0	0.01193763747411099	0.0	0.0	0.03342072333460289	0.0	0.0	0.013450655669126314	0.0	0.0	0.0	0.013514561669712757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011381630710595158	0.014988787694380024	0.0	0.0	0.0	0.0	0.0	0.0	0.01302015460973617	0.003965487141994016	0.0	0.012747653431949973	0.0	0.011801807988145608	0.0	0.0	0.023831489783275542	0.0	0.0	0.0	0.0	0.0	0.006000618210687329	0.013979639136936575	0.013388902796605748	0.0
G5	0.0	0.022316375375561203	0.0	0.03419929637383957	0.0	0.0015461147018061736	0.0	0.042654988453491104	0.0	0.018242455131574315	0.007196625942306783	0.0	0.0	0.0031085961768474125	0.021259342341467292	0.0	0.04013064589609035	0.0	0.0	0.0	0.01497189411636198	0.0	0.0	0.0	0.0	0.01934840760264813	0.0	0.03608341594188944	0.0	0.0263658328859698	0.0	0.0	0.0	0.0	0.02477440990801133	0.09300877339328076	0.0	0.0	0.0	0.00899996138619618	0.0	0.04715534894069905	0.0	0.0	0.009403285754020451	0.0	0.017861793084795668	0.0	0.014923140099474394	0.0	0.015053439979393285	0.02764133077811596	0.012655147263731834	0.0	0.0	0.04292984493510552	0.021062963750642014	0.0	0.004504332421898234	0.011258511923428641	0.0	0.0	0.0	0.0	0.07568832048879223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01813653586252607	0.013904821230473466	0.02263581397753377	0.029758485212738307	0.014477582706488856	0.0	0.015880986059182936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022743577642633836	0.0	0.06415664205015713	0.010746529986944817	0.0
G6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007913489753587188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032389970163528695	0.0	0.0	0.0	0.0	0.0	0.0	0.010797726121535811	0.01733288925540566	0.0	0.0	0.0	0.0	0.01167301456674618	0.0	0.0	0.0	0.0	0.08330845699025895	0.0	0.0	0.0	0.012049977722036974	0.050240552179333625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02396674810080347	0.0	0.03681768574426928	0.0	0.0	0.0	0.020105263498050162	0.0	0.0	0.0	0.0	0.011605642138547123	0.00828140952236919	0.0	0.0	0.0	0.0	0.0	0.026132809548290146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010937808108786445	0.0	0.0	0.0	0.0	0.017880734681974427	0.0	0.0	0.0	0.0	0.00944798931084888	0.0	0.0	0.015569170473404401	0.0	0.0	0.016394226901092775
G8	0.0	0.013410562455258578	0.04761347664278254	0.02237961879934516	0.057426770930659274	0.0014726044781301372	0.028061318238926977	0.0	0.0	0.0	0.0027022790849103432	0.026367842582253914	0.0	0.0	0.011984050619596696	0.01757178013430777	0.0	0.056890705432380784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08638119721263984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021474036766605063	0.0	0.0	0.0	0.0	0.0	0.007787234731399327	0.0	0.0	0.025969211666772556	0.0	0.03442588838380285	0.05918174009152721	0.0	0.0	0.0	0.0	0.013104490713283191	0.0	0.0	0.0	0.02634465346469846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02606581838098164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011141892000236337	0.0	0.0	0.0	0.0	0.0	0.009794157554074914	0.0	0.014967955832202498	0.0	0.0	0.0	0.008825215461726684	0.0	0.0	0.018803907339129903	0.011593992628757982	0.0	0.0	0.0	0.01359605470224692	0.004250435432920649	0.012549774368067378	0.0	0.0
G9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010040823701297222	0.0	0.0	0.0	0.0	0.0	0.0	0.022800407591750064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03234429632991582	0.0	0.0	0.11008977560446115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0456863410081795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0090982286741347	0.0	0.0	0.0	0.0	0.0	0.005766414427585836	0.0	0.0	0.0	0.0	0.0	0.1170620832814961	0.0448216576750242	0.03513389451662705	0.0	0.0	0.0	0.0	0.0
G10	0.012985520702812175	0.0	0.0	0.0	0.020339759182724036	0.0	0.03306168592470375	0.010071721868833091	0.0	0.0	0.0	0.028745293398870705	0.0	0.030836490395600057	0.0	0.010873825407017625	0.04556236482006101	0.0	0.0	0.0	0.024028931055000764	0.0	0.0	0.0	0.0	0.05755220720318978	0.0	0.0	0.012874911833415154	0.0	0.0	0.0	0.0	0.0	0.0	0.06033974893240361	0.08974061286769389	0.0	0.022834636112198162	0.0	0.0	0.036931165701515216	0.12053352066488013	0.06328293998351507	0.0	0.02853601609826692	0.0	0.0	0.07046914173480964	0.0	0.0	0.0	0.0	0.0	0.009704643988110408	0.014834847575176691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039288987313507634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017144855209661147	0.0	0.009291891819917813	0.0	0.01199260294310132	0.038292741511971415	0.015610351722030997	0.0	0.0	0.0	0.008884343791401744	0.0	0.031915925448933916	0.0	0.020264525014357538
