Cause-Effect	Cause	Effect	Bootstrap:Mean	AbsBootstrap:Mean	Test	Lag	Coef	Bootstrap:Std	Bootstrap:Freq
G5-G11	G5	G11	-0.03489312247671376	0.03489312247671376	e	2	2	0.014124562639214036	0.95
G37-G69	G37	G69	0.1835061608111761	0.1835061608111761	e	2	2	0.065730026237978	0.92
G37-G29	G37	G29	-0.1532202763350348	0.1532202763350348	e	2	2	0.09230770876648543	0.76
G26-G34	G26	G34	-0.09939230943856596	0.09939230943856596	e	2	2	0.06532675153549532	0.74
G1-G2	G1	G2	0.063402722826216	0.063402722826216	e	2	2	0.04698249818188817	0.68
G46-G13	G46	G13	0.008497958500235766	0.008497958500235766	e	2	2	0.007759863613226593	0.65
G85-G87	G85	G87	-0.08087159983638655	0.08087159983638655	e	2	2	0.06553484566758179	0.63
G37-G74	G37	G74	-0.13882976211111536	0.13882976211111536	e	2	2	0.11894389870348167	0.6
G80-G31	G80	G31	-0.1161872256970383	0.1161872256970383	e	2	2	0.1124216898047266	0.58
G43-G63	G43	G63	0.09458618742732634	0.09458618742732634	e	2	2	0.08809804075023515	0.56
G24-G10	G24	G10	0.08228524220896603	0.08228524220896603	e	2	2	0.08012430819165539	0.54
G85-G86	G85	G86	0.04715926660158526	0.04715926660158526	e	2	2	0.047438660974166345	0.54
G34-G32	G34	G32	0.013160012760107406	0.013160012760107406	e	2	2	0.01485239418468048	0.54
G7-G55	G7	G55	-0.06395318440144648	0.06395318440144648	e	2	2	0.06419582075412546	0.52
G34-G33	G34	G33	0.0439478084309281	0.0439478084309281	e	2	2	0.047109033793495715	0.52
G45-G79	G45	G79	-0.0716115094349511	0.0716115094349511	e	2	2	0.07269183690911425	0.52
G99-G11	G99	G11	-0.010573997031487533	0.010573997031487533	e	2	2	0.011580963195321566	0.5
G63-G79	G63	G79	-0.06744301301635469	0.06744301301635469	e	2	2	0.07043776465886621	0.5
G46-G22	G46	G22	-0.05231812526060038	0.05231812526060038	e	2	2	0.05644013275387396	0.48
G37-G23	G37	G23	-0.058867407404695656	0.058867407404695656	e	2	2	0.0660692334086513	0.46
G99-G15	G99	G15	-0.01984040198160881	0.01984040198160881	e	2	2	0.023565844077060995	0.45
G29-G89	G29	G89	0.08852378913427544	0.08852378913427544	e	2	2	0.10384809650605231	0.45
G35-G32	G35	G32	-0.007335318654323065	0.007335318654323065	e	2	2	0.009659902088376271	0.43
G79-G78	G79	G78	0.05154922732362049	0.05154922732362049	e	2	2	0.06329623418825317	0.43
G31-G76	G31	G76	0.09535494757653688	0.09535494757653688	e	2	2	0.11483771156814139	0.43
G43-G64	G43	G64	0.06099060973017488	0.06099060973017488	e	2	2	0.07566472563553525	0.41
G70-G41	G70	G41	-0.046940035118361666	0.046940035118361666	e	2	2	0.06730962338298156	0.36
G93-G56	G93	G56	0.06197172093335248	0.06197172093335248	e	2	2	0.08520224038295837	0.36
G96-G65	G96	G65	-0.05648967676028746	0.05648967676028746	e	2	2	0.079004977240317	0.36
G71-G40	G71	G40	0.04300898268689386	0.04300898268689386	e	2	2	0.06036168783454392	0.35
G43-G44	G43	G44	0.04743547415522734	0.04743547415522734	e	2	2	0.067957416608202	0.34
G21-G32	G21	G32	0.005400956348250967	0.005400956348250967	e	2	2	0.008532856559659213	0.34
G83-G87	G83	G87	-0.032090885800797275	0.032090885800797275	e	2	2	0.04709311557330334	0.33
G37-G62	G37	G62	-0.04527744719292853	0.04527744719292853	e	2	2	0.0670404136802667	0.33
G46-G14	G46	G14	-0.011061325637095993	0.011061325637095993	e	2	2	0.017075727463619007	0.32
G2-G37	G2	G37	0.07047789350911068	0.07047789350911068	e	2	2	0.10657003509671735	0.32
G5-G15	G5	G15	-0.011320494120698778	0.011320494120698778	e	2	2	0.017588563496517415	0.32
G71-G77	G71	G77	0.03996418804672935	0.03996418804672935	e	2	2	0.062302079392458055	0.31
G46-G18	G46	G18	0.05117885954675267	0.05117885954675267	e	2	2	0.07925272350994432	0.31
G46-G53	G46	G53	0.044632410066050725	0.044632410066050725	e	2	2	0.07098126689233848	0.3
G60-G39	G60	G39	-0.03908597854394278	0.03908597854394278	e	2	2	0.06412808756874974	0.29
G77-G24	G77	G24	0.042363291406767735	0.042363291406767735	e	2	2	0.06896689547211175	0.29
G87-G86	G87	G86	-0.02275177111605355	0.02275177111605355	e	2	2	0.03768325861131105	0.29
G21-G15	G21	G15	0.011838491149498125	0.011838491149498125	e	2	2	0.019979220344852285	0.29
G91-G43	G91	G43	0.05401698258706307	0.05401698258706307	e	2	2	0.08687579298331782	0.29
G83-G84	G83	G84	0.02100710235688513	0.02100710235688513	e	2	2	0.03588734664148168	0.27
G2-G16	G2	G16	-0.037439368570105644	0.037439368570105644	e	2	2	0.06487162588861449	0.27
G30-G15	G30	G15	0.012029490448452074	0.012029490448452074	e	2	2	0.02098633279213612	0.27
G99-G40	G99	G40	-0.0345579314711765	0.0345579314711765	e	2	2	0.0599810602679178	0.26
G40-G30	G40	G30	-0.03983637681418822	0.03983637681418822	e	2	2	0.07014934054763258	0.26
G10-G64	G10	G64	0.03699291016845129	0.03699291016845129	e	2	2	0.06437704368097676	0.26
G89-G88	G89	G88	-0.02411394291851851	0.02411394291851851	e	2	2	0.04222814762752439	0.26
G70-G3	G70	G3	-0.03455994684584495	0.03455994684584495	e	2	2	0.06181303864778374	0.25
G93-G64	G93	G64	0.03464173078337733	0.03464173078337733	e	2	2	0.061858633690254	0.25
G85-G98	G85	G98	0.046594525132965484	0.046594525132965484	e	2	2	0.08477387861131629	0.25
G79-G59	G79	G59	0.024792808094415465	0.024792808094415465	e	2	2	0.04597184038250507	0.24
G65-G85	G65	G85	-0.03291912454711768	0.03291912454711768	e	2	2	0.06037598507424956	0.24
G23-G86	G23	G86	0.015029247396217655	0.015029247396217655	e	2	2	0.027821494752456936	0.24
G12-G71	G12	G71	0.046302288902552786	0.046302288902552786	e	2	2	0.08551110088937618	0.24
G5-G17	G5	G17	-0.028264820714992315	0.028264820714992315	e	2	2	0.05234401408640633	0.24
G76-G88	G76	G88	-0.02222445425500052	0.02222445425500052	e	2	2	0.04176340631453903	0.23
G10-G18	G10	G18	0.03313592962192154	0.03313592962192154	e	2	2	0.0638272526668111	0.22
G42-G40	G42	G40	-0.026826979898970857	0.026826979898970857	e	2	2	0.05246340852896117	0.22
G63-G43	G63	G43	-0.04148057627732975	0.04148057627732975	e	2	2	0.08098445406194403	0.22
G94-G28	G94	G28	-0.02598759069878306	0.02598759069878306	e	2	2	0.051339445861550106	0.22
G27-G1	G27	G1	-0.03130143938910537	0.03130143938910537	e	2	2	0.06169853727488169	0.22
G87-G75	G87	G75	-0.03180096993850011	0.03180096993850011	e	2	2	0.06148539213897707	0.22
G89-G65	G89	G65	0.03043254420789364	0.03043254420789364	e	2	2	0.06053989832037101	0.21
G93-G94	G93	G94	0.025284343024888387	0.025284343024888387	e	2	2	0.05026454547966175	0.21
G92-G73	G92	G73	0.030873679625146755	0.030873679625146755	e	2	2	0.06197181995131356	0.21
G53-G92	G53	G92	0.02254314247776703	0.02254314247776703	e	2	2	0.04832556473619751	0.2
G21-G33	G21	G33	0.012473991927392208	0.012473991927392208	e	2	2	0.02597595047956986	0.2
G85-G19	G85	G19	-0.014593261366885666	0.014593261366885666	e	2	2	0.02992216420585837	0.2
G49-G33	G49	G33	-0.011947952029710917	0.011947952029710917	e	2	2	0.02455091630990836	0.2
G36-G13	G36	G13	-0.0018925897869044668	0.0018925897869044668	e	2	2	0.0042021731563982884	0.2
G92-G57	G92	G57	0.03038892480897516	0.03038892480897516	e	2	2	0.06501058165679728	0.19
G29-G77	G29	G77	0.02356830649824431	0.02356830649824431	e	2	2	0.05074064727188784	0.19
G16-G91	G16	G91	-0.028992268961533993	0.028992268961533993	e	2	2	0.06113772722696774	0.19
G45-G63	G45	G63	0.030384224929839818	0.030384224929839818	e	2	2	0.06523109090047928	0.19
G83-G17	G83	G17	0.021291007105640074	0.021291007105640074	e	2	2	0.04483068558025592	0.19
G74-G12	G74	G12	0.020818799991024775	0.020818799991024775	e	2	2	0.04390270202607097	0.19
G46-G51	G46	G51	0.029693608422757468	0.029693608422757468	e	2	2	0.06348056310677756	0.19
G61-G24	G61	G24	0.028764490766989042	0.028764490766989042	e	2	2	0.06280039292906171	0.19
G26-G27	G26	G27	0.02770376662065639	0.02770376662065639	e	2	2	0.0615660931667043	0.18
G46-G5	G46	G5	-0.023269433799419634	0.023269433799419634	e	2	2	0.050693087614597156	0.18
G65-G99	G65	G99	-0.029442405129042424	0.029442405129042424	e	2	2	0.06438797086103037	0.18
G69-G66	G69	G66	-0.022035048870978253	0.022035048870978253	e	2	2	0.0496383173661152	0.18
G62-G33	G62	G33	-0.011200575041267098	0.011200575041267098	e	2	2	0.024958830119991345	0.18
G75-G10	G75	G10	-0.02218262284628979	0.02218262284628979	e	2	2	0.04843374571194763	0.18
G24-G35	G24	G35	-0.02442677792713508	0.02442677792713508	e	2	2	0.05409366679975651	0.18
G12-G28	G12	G28	0.02229714940760987	0.02229714940760987	e	2	2	0.049885699999948525	0.18
G88-G50	G88	G50	0.01963009009818843	0.01963009009818843	e	2	2	0.04386366017261546	0.18
G80-G51	G80	G51	0.02959306488876825	0.02959306488876825	e	2	2	0.068357592498089	0.17
G24-G55	G24	G55	-0.017004021419489028	0.017004021419489028	e	2	2	0.03831483788559847	0.17
G42-G6	G42	G6	-0.003310533222853702	0.003310533222853702	e	2	2	0.008241274454319545	0.17
G37-G60	G37	G60	-0.013879862060249973	0.013879862060249973	e	2	2	0.031934729853998964	0.17
G36-G32	G36	G32	0.0015718023898132847	0.0015718023898132847	e	2	2	0.003940896656501376	0.17
G80-G93	G80	G93	0.03371258770869896	0.03371258770869896	e	2	2	0.0769930710968346	0.17
G7-G64	G7	G64	-0.021694322881962234	0.021694322881962234	e	2	2	0.049597827785358144	0.17
G21-G6	G21	G6	0.003429421522142893	0.003429421522142893	e	2	2	0.008158747653319988	0.17
G74-G56	G74	G56	-0.025636801045949835	0.025636801045949835	e	2	2	0.05782721814783688	0.17
G44-G64	G44	G64	0.02285268736322452	0.02285268736322452	e	2	2	0.052204835261436044	0.17
G45-G66	G45	G66	0.01653345697622469	0.01653345697622469	e	2	2	0.03821179350887317	0.17
G59-G16	G59	G16	-0.02174092027418648	0.02174092027418648	e	2	2	0.05296265450117232	0.16
G24-G90	G24	G90	0.023501437595595885	0.023501437595595885	e	2	2	0.05535037110749973	0.16
G7-G68	G7	G68	0.01733414562570065	0.01733414562570065	e	2	2	0.041250441769085454	0.16
G89-G41	G89	G41	-0.015700774078417815	0.015700774078417815	e	2	2	0.03753833857188721	0.16
G57-G75	G57	G75	0.02175177007324511	0.02175177007324511	e	2	2	0.05142645090252115	0.16
G76-G65	G76	G65	0.01891063064258518	0.01891063064258518	e	2	2	0.044504778711334646	0.16
G10-G48	G10	G48	0.02169780272711309	0.02169780272711309	e	2	2	0.05147334975388367	0.16
G52-G5	G52	G5	0.023668632172170294	0.023668632172170294	e	2	2	0.05548187945282494	0.16
G10-G7	G10	G7	-0.022257857803670393	0.022257857803670393	e	2	2	0.054138382710136566	0.15
G92-G60	G92	G60	-0.012746814402944966	0.012746814402944966	e	2	2	0.031847756168265254	0.15
G68-G66	G68	G66	0.0172555506516116	0.0172555506516116	e	2	2	0.04255154002338313	0.15
G94-G27	G94	G27	-0.02227693785191356	0.02227693785191356	e	2	2	0.05392690427462939	0.15
G46-G28	G46	G28	0.017295694316254884	0.017295694316254884	e	2	2	0.04203634051473046	0.15
G26-G85	G26	G85	0.019167520133479627	0.019167520133479627	e	2	2	0.04651959008952892	0.15
G72-G88	G72	G88	-0.013950353662295242	0.013950353662295242	e	2	2	0.03482263234005655	0.15
G73-G8	G73	G8	-0.018186500290265604	0.018186500290265604	e	2	2	0.04488863462447596	0.15
G44-G79	G44	G79	-0.017008016618011462	0.017008016618011462	e	2	2	0.041827490468816314	0.15
G35-G8	G35	G8	0.017985400425322522	0.017985400425322522	e	2	2	0.04382549268486764	0.15
G80-G78	G80	G78	0.021855265232488076	0.021855265232488076	e	2	2	0.05503983890976812	0.15
G43-G45	G43	G45	0.021261956749887265	0.021261956749887265	e	2	2	0.051591976939292516	0.15
G83-G67	G83	G67	-0.01805528282965428	0.01805528282965428	e	2	2	0.04477169509336352	0.15
G23-G88	G23	G88	-0.01265762212036182	0.01265762212036182	e	2	2	0.032650016051739714	0.14
G26-G46	G26	G46	0.031341598726293954	0.031341598726293954	e	2	2	0.08052033986069454	0.14
G45-G81	G45	G81	-0.015119669734847754	0.015119669734847754	e	2	2	0.039308475205823215	0.14
G20-G31	G20	G31	-0.018985917771563943	0.018985917771563943	e	2	2	0.04864060476815537	0.14
G19-G80	G19	G80	0.01903927361281542	0.01903927361281542	e	2	2	0.04937710783536924	0.14
G69-G40	G69	G40	0.016297948272191203	0.016297948272191203	e	2	2	0.0415551070465745	0.14
G68-G25	G68	G25	0.012834507133745569	0.012834507133745569	e	2	2	0.03267510771015372	0.14
G76-G49	G76	G49	-0.018534038170151645	0.018534038170151645	e	2	2	0.047170863354749064	0.14
G93-G95	G93	G95	0.0287048821846837	0.0287048821846837	e	2	2	0.07249694600013917	0.14
G66-G35	G66	G35	0.020534617605849913	0.020534617605849913	e	2	2	0.051949236310273525	0.14
