Cause-Effect	Cause	Effect	Test	Lag	Bootstrap:Mean1	AbsBootstrap:Mean1	Coef1	Bootstrap:Std1	Bootstrap:Freq1	Bootstrap:Mean2	AbsBootstrap:Mean2	Coef2	Bootstrap:Std2	Bootstrap:Freq2	Bootstrap:Mean	AbsBootstrap:Mean	Coef	Bootstrap:Std	Bootstrap:Freq
G26-G34	G26	G34	e	2	-0.1840386266042202	0.1840386266042202	1.0	0.0324582492065986	1.0	-0.09939230943856596	0.09939230943856596	2.0	0.06532675153549532	0.74	-0.1840386266042202	0.1840386266042202	1.0	0.0324582492065986	1.0
G41-G51	G41	G51	e	2	-0.3269212056995402	0.3269212056995402	1.0	0.06140994026914923	1.0	-0.0017634458076540229	0.0017634458076540229	2.0	0.01763445807654022	0.01	-0.3269212056995402	0.3269212056995402	1.0	0.06140994026914923	1.0
G37-G29	G37	G29	e	2	-0.288738769432808	0.288738769432808	1.0	0.043536601427703624	1.0	-0.1532202763350348	0.1532202763350348	2.0	0.09230770876648543	0.76	-0.288738769432808	0.288738769432808	1.0	0.043536601427703624	1.0
G21-G98	G21	G98	e	2	-0.3961219911843189	0.3961219911843189	1.0	0.06136690698532213	1.0	0.0017582788653704503	0.0017582788653704503	2.0	0.017582788653704495	0.01	-0.3961219911843189	0.3961219911843189	1.0	0.06136690698532213	1.0
G46-G22	G46	G22	e	2	-0.19351387623785052	0.19351387623785052	1.0	0.028500191348429214	1.0	-0.05231812526060038	0.05231812526060038	2.0	0.05644013275387396	0.48	-0.19351387623785052	0.19351387623785052	1.0	0.028500191348429214	1.0
G46-G57	G46	G57	e	2	-0.3453760549714523	0.3453760549714523	1.0	0.04139542237413769	1.0	-0.010128404848387885	0.010128404848387885	2.0	0.037645171217275314	0.07	-0.3453760549714523	0.3453760549714523	1.0	0.04139542237413769	1.0
G21-G62	G21	G62	e	2	-0.30471090270543044	0.30471090270543044	1.0	0.06752229771797094	0.99	-0.0013155616576319149	0.0013155616576319149	2.0	0.01315561657631915	0.01	-0.30471090270543044	0.30471090270543044	1.0	0.06752229771797094	0.99
G21-G99	G21	G99	e	2	-0.3153254793090453	0.3153254793090453	1.0	0.05866270776029311	0.99	-0.001383499699533002	0.001383499699533002	2.0	0.013834996995330017	0.01	-0.3153254793090453	0.3153254793090453	1.0	0.05866270776029311	0.99
G43-G10	G43	G10	e	2	0.23327756589196133	0.23327756589196133	1.0	0.04874631478293816	0.99	0.0021319402901948162	0.0021319402901948162	2.0	0.015085547892257247	0.02	0.23327756589196133	0.23327756589196133	1.0	0.04874631478293816	0.99
G21-G26	G21	G26	e	2	-0.2640303665146255	0.2640303665146255	1.0	0.08692586431672164	0.98	-0.0025362724371899054	0.0025362724371899054	2.0	0.017850384199961933	0.02	-0.2640303665146255	0.2640303665146255	1.0	0.08692586431672164	0.98
G46-G53	G46	G53	e	2	0.22229201047837077	0.22229201047837077	1.0	0.05577250386975637	0.97	0.044632410066050725	0.044632410066050725	2.0	0.07098126689233848	0.3	0.22229201047837077	0.22229201047837077	1.0	0.05577250386975637	0.97
G46-G47	G46	G47	e	2	0.2704848791645324	0.2704848791645324	1.0	0.07465958123660961	0.96	0.0028389101363351594	0.0028389101363351594	2.0	0.019974196510375603	0.02	0.2704848791645324	0.2704848791645324	1.0	0.07465958123660961	0.96
