gene	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
G1	0.054306599807994745	0.006916091251502127	0.017536078638926138	0.021327131655824574	0.006108212482702839	0.006162583384715207	0.022281961175372077	0.019894352492391965	0.0	0.03324309274968304	0.0	0.010744954959808293	0.0	0.003357469092865545	0.011832868528566088	0.004692895952766864	0.007304995330884729	0.018251994289471864	0.0017630732822724756	0.00015922583661083408	0.011089013566148604	0.006513747645976491	0.0032286476893428452	0.002004245300457968	0.006552124320292857	0.014774726082089391	0.009890399589409486	0.019097996824981152	0.0045009316399226874	0.00038044939505028224	0.008836231753837322	0.0	0.003912411133376637	0.0006090624285400092	0.019119185056717163	0.037035445365944365	0.049818795520034896	0.0	0.003928553743988423	0.014203105028710649	0.0030398855586008335	0.007506273823374407	0.01036188250332106	0.0015809919530176359	0.014009865317738871	0.016160620857442524	0.03544554740687741	0.0033451284997299234	0.028604120951481894	0.003164977088397121	0.006644051952457132	0.019425857090964303	0.03846358347110711	0.007174635644447909	0.025802382990619422	0.0025881192379863995	0.022497339136719873	0.027349803238416955	0.02207599280456711	0.022436179699818787	0.0015960660135418932	0.0070704804587342004	0.02906427434018503	0.006880715077390766	0.011502481653662652	0.0007666955839700064	0.03872618622250029	0.020003865831562898	0.01595459430134877	0.03438014601601264	0.02746903334687239	0.051488746604991344	0.026258631770592646	0.02937247756177942	0.029976509450569813	0.0035721852843009893	0.02167664711034402	0.0005568399333290282	0.0036093691140602823	0.0	0.0150315784149046	0.009363208981369981	0.011788745804547082	0.012613697962260239	0.008398044696301683	0.016291412120760494	0.004246681457325249	0.018323309061249914	0.009835370469202612	0.008206586980243088	0.010036840561178465	0.014088590777406082	0.006417842716411606	0.0094252774613511	0.008559592002182096	0.006008682076889729	0.0045189104585835835	0.009445202527596506	0.02765740517515665	0.01596101448634066
G2	0.0013235495127784072	0.02911629880147716	0.012286895873844385	0.036623060773451066	0.006626332043898604	0.0	0.007069818163494039	0.0003977647547265529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01286516361355315	0.006538160904031162	0.006238277582036302	0.0	0.0	0.00506744074727081	0.0034907598865813634	0.0	0.029758603158113024	0.0	0.009516212622265685	0.0	0.002853030333710234	0.01400214238811816	0.03741033089275331	0.0	0.0	0.0	0.0	0.008723895419922372	0.06144532736573291	0.030244882109429157	0.0	0.002587746552141842	7.61677272786076e-05	0.003552200188358038	0.05358802428385773	0.023190098109992348	0.0014912844903566802	0.019021852549720723	0.01540604073095911	0.014747422101150301	0.028559903986102694	0.00016125578565828934	0.016931823874779463	0.0034651525077255096	0.008641947146592001	0.01090593074980863	0.002142300913214632	0.0	0.02987082809103644	0.002078567206698969	0.0	0.0	0.004056117817294642	0.0	0.0065471009098034645	0.024322426054533733	7.192407343943482e-05	0.010257776297167434	0.0	0.0	0.0025441848721032873	0.007392815393532053	0.0023344033910855213	0.02336900188926926	0.002320067400920564	0.002335570208060011	0.009970238290665265	0.003192433578327801	0.008163797780928588	0.0	0.0	0.002022692852001173	0.0014438973789393274	0.0	0.002305266620438742	0.02190392765841586	0.0	0.017630515147447415	0.0	0.0	2.6604753918934682e-05	0.000708380271199723	0.005629730601916591	0.01294029010172243	0.0	0.00659597493601236	0.013017738050694201	0.02012103751706718	0.010322011507020175	0.0	0.024977665104533874	0.004988320956520592	0.007934212569896381
G3	0.02121524340374002	0.0039510695567526975	0.018240055337522845	0.05566133774057331	0.03170715083533458	0.0	0.03120973978717876	0.008449941024258317	0.0031117732989049242	0.037475342233638485	0.0	0.014663612624682944	0.0	0.005208096664405255	0.0	0.04029025948335198	0.003899251975026479	0.03426832057566431	0.0	0.0	0.0031180331588161955	0.001987545457863509	0.022417207536381947	0.042042128456049904	0.013655987488379937	0.011033031093046482	0.014078314147054178	0.004916538718641712	0.002230583517992604	0.012382998971487313	0.0	0.0	0.00596901180275668	0.002821702889963357	0.0432854913100311	0.037672313713406715	0.03436465600258661	0.0021149322870887876	0.007171104474600295	0.05224465698838162	0.029715471311391736	0.004900330864443417	0.04197317559774755	0.036825986038539545	0.016487617896243558	0.02314176552806833	0.01904554546414	0.008809101367705565	0.011634863644193146	0.028187575500543866	0.04531530104239931	0.025390912086079694	0.004659552224593144	0.003253525135357142	0.009062496191855368	0.012633680117368639	0.010173659584203314	0.01630445227844802	0.004971528861324306	0.030169569678880064	0.0045930036059671315	0.01737058210403479	0.016839123459612713	0.032921081593214774	0.011364754482223833	0.030468519006601063	0.011467126788301555	0.008795203341489217	0.010999814188629798	0.02097557198801916	0.01471783667172182	0.026638970202118434	0.024064108946471607	0.004545749550770535	0.026281854271552094	0.02358307531431164	0.008438659360986195	0.004360334239157476	0.0032600634554721705	0.0018458187481735465	0.017805321919759195	0.0009962689965922246	0.015895635356460314	0.007427992662888941	0.019131912379950374	0.0038421271013610527	0.0007169540248877493	0.007206344341019604	0.012820746999684733	0.019971310137004483	0.011962869216423122	0.01053169765150001	0.044269062729644315	0.021118966327473128	0.011066023978137562	0.009712391149359246	0.005052705256039289	0.02806984992704444	0.032799064541727506	0.023679976485648135
G4	0.003026336701206717	0.02719938341016886	0.0212607601818129	0.05748905086108873	0.0379814629214741	0.0003306818747773565	0.020463237383034037	0.028903453613135895	0.00024372781130306383	0.01958155344971382	0.0025424173776189595	0.0061118658150523955	0.001676541072282727	5.25242732677486e-06	0.0	0.024130707298788568	0.00926109758998465	0.006768951819971647	0.0004329421045295568	0.004988055562245834	0.009580685037535426	0.010867470798646608	0.012365667613225486	0.02077822478530989	0.005090124838378298	0.03498556211969509	0.007374670992450329	0.01951518743709998	0.030900893484169238	0.009734459382046165	0.021055171069680172	0.00039211278100658093	0.0010562449062563074	0.006109472801015042	0.02184350513900732	0.0847050388599165	0.01725362753956184	0.01381474123502253	0.004283612972592648	0.012772349622084785	0.028710242615020542	0.006546095626282824	0.044781961260327775	0.011586785018702592	0.007766874536099497	0.010297424698216557	0.012708368311945054	5.9621678510075426e-05	0.00474263017144329	0.00015218715366690033	0.016693775106366174	0.026062538181389046	0.03470449662351614	0.025232890076482533	0.013992027660802611	0.030227813308969155	0.023357674828397155	0.007640876397326891	0.0001351923055674118	0.03306674688632037	0.008256573512812362	0.01742919215064109	0.03871905632488344	0.015343141152749623	0.015742432676356735	0.007619091403780777	0.025822954310154467	0.0075338272037801714	0.00602701416087554	0.015207162817601448	0.02938692722547317	0.007920590412674662	0.01783850483948173	0.01662133837709538	0.02499009440850933	0.041479172812108646	0.018147164214508137	0.0014120581719921494	0.003931793372290707	0.0	0.004097092246196638	0.003946065729775962	0.0177967564470103	0.010247525157264443	0.008296631475691037	0.024385824282467862	0.005811401726934372	0.020666741173764085	0.02373358426060118	0.01206653932000005	0.03524845927519186	0.007621430405487985	0.025432858246199862	0.015086313144548074	0.013590310487590197	0.01578273592361543	0.009872871754913507	0.01934877447406829	0.02486806598272983	0.008502224322145358
G5	0.00765540181062746	0.024971754813888452	0.017286855833951353	0.04317412911069748	0.03910936871618191	0.002321283643172931	0.013066140831289973	0.044797200240581016	0.007609262914680657	0.02980314993152811	0.007142321505972578	0.009860845036823043	0.0	0.009210711395419222	0.01375230257697296	0.01307451301317671	0.03904207822521406	0.00925318181207124	0.0013292290169097311	0.0006217114292235247	0.03234540890553461	0.006747651222673567	0.0020413369078093836	0.014010630020699391	0.00973021366266903	0.027821439595927044	0.005879633466028053	0.036519657301506275	0.007636516063745598	0.03509185786051977	0.02264627824283087	0.0	0.0009559426430577881	0.01444256162557133	0.03307412850890677	0.08104011028386693	0.0133994830596319	0.0035528705472046528	0.002381373401357161	0.023648253425564328	0.00532829851240511	0.05096245608847501	0.017495580641814182	0.012407380016180178	0.013010631370728986	0.033591162154008994	0.033338086094800594	0.009655180740720056	0.022944809911426688	0.006087691201299736	0.02741733313860943	0.04378048050185395	0.029894068462238185	0.007640260588292249	0.0036786981375918617	0.049885989108201266	0.02857795626475535	0.00418425113981355	0.007196944352971544	0.023798462284109662	0.0010988419283284457	0.03638052732403954	0.028982284447600794	0.02462427021631061	0.058511601349664516	0.017271312309203937	0.004005802665598232	0.010608941531928482	0.008210119471511759	0.0010840799432894144	0.019272662365463187	0.007945846642763942	0.007145258141615831	0.014857238292100268	0.0041189225651743966	0.029050751353033394	0.002075366138584736	0.008313131958201813	0.0036061406306165055	0.011530982274650882	0.014325920830789826	0.019617913752075927	0.03188409733723871	0.024989409182064444	0.03888511436409932	0.02483794281686923	0.003069109738459642	0.022353520619032265	0.006063048414504807	0.02755492259302197	0.01376560430253115	0.009719615382464361	0.01054374216104882	0.017466147480352242	0.002418394579220021	0.030540365701574087	0.0011965138863413666	0.0588915840746177	0.02754675494732624	0.02502190677561179
G6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014505754289561568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022776205837119006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G7	0.020064928520890236	0.015967836122954396	0.01775510582070391	0.007764501112107027	0.021450010057125886	0.00017954588352702094	0.07050515775375168	0.016365351479524563	0.0024464895542538976	0.013753629427310447	0.0	0.006950633904268539	0.0	0.0	0.0009839108191198006	0.004709992416940845	0.007417428050410633	0.043595895610492416	0.0	0.0	0.005719080851730581	0.010854341479887394	0.019164421236415787	0.016698037646849982	0.02456768832114639	0.031571996489970486	0.01838412366257103	0.01712419499145093	0.020673941172321988	0.017624186393330885	0.03355137786590749	0.0	0.0013952347214474452	0.002782457923506593	0.011643620005815994	0.06498297491439947	0.03561420337664305	0.010472745266025619	0.005826430210464638	0.029001591554461352	0.04314943944978211	0.01806576210101831	0.017783156116602042	0.02391990985568239	0.014260299870089704	0.027134762913580458	0.018500437518101237	0.0029975355895934482	0.03678136184202231	0.003804715354139428	0.0488305539247354	0.014947034418239403	0.008122225126394269	0.00538079956455824	0.031158944400081823	0.030806585706854423	0.01150692123287847	0.012710184370478784	0.001248077828654169	0.02242537887885149	0.0132671053444708	0.02304123481773422	0.006954864491448763	0.019109785729312375	0.0175478652672984	0.003381149417958427	0.032722677595740345	0.0074866363117045975	0.024871632160783013	0.018118856599000942	0.0116030535135564	0.015960194145225943	0.024342718136005533	0.027434139446763806	0.012863352221124943	0.026362847371331034	0.015126492675917681	0.0020074208883684884	0.0035159387396289338	0.0006201031118605502	0.006788639222169516	0.0036276552615169717	0.020873154349213618	0.013145262840307823	0.009137101480573104	0.003106606840998996	0.010501589009114127	0.003921694118051433	0.03722386964661649	0.012234629589676669	0.018521466600398585	0.013430155370749193	0.008403567248608912	0.03206929767358207	0.019037352431833625	0.01761875767081394	0.01909017806872506	0.027381801831605972	0.021986575249752578	0.032663933677200635
G8	0.01713987811720016	0.019968027393046935	0.04679207479176793	0.03709432960974096	0.05212011703019136	0.0036411119932388317	0.03546285558818355	0.017326855290339425	0.0	0.015310149325025068	0.0032506557425803872	0.036386128806434534	0.0	0.0039057570644041705	0.01365063350460187	0.02976246266626724	0.00803469503139925	0.05381095556982848	0.0	0.0	0.008937252572288938	0.00902768781999618	0.02807218646613819	0.022821898915006935	0.015527550129777853	0.0659461211954163	0.007298679803906354	0.011965562493157786	0.003583751636166293	0.004724564652172527	0.006763673118274735	0.0	0.0076509494925807815	0.006412072772499943	0.03375752192249393	0.04650580392489145	0.03390469818860289	0.0004982905924514927	0.009001086586562521	0.008623034853128297	0.014833856105429104	0.0072236420642335245	0.007037007198940585	0.03513658546234352	0.01728159202284307	0.058375199099837634	0.05150286680325301	0.03692975562529418	0.017400706390670182	0.005108092384679641	0.022246548729425514	0.04209320438308518	0.023283218410025973	0.007149380616405137	0.003761041054726126	0.038507514218037005	0.007128653964299525	0.012001924255999564	0.0	0.0047706235875360345	0.001755797541170714	0.004178177987321197	0.017552654517569915	0.0067090313009446475	0.012511089093144237	0.012734496826358292	0.03551916670499126	0.003374215640012467	0.024840902222081157	0.004898896062199526	0.03733700767259063	0.007384678675610925	0.006301681320675151	0.014505311803678892	0.005602274775775807	0.025599601910615753	0.008364814821734097	0.0007135412710693441	0.010682438835614535	0.008030918229682467	0.015939644621619894	0.018071023724010316	0.019492960169289544	0.02153749322943199	0.0057186883133224665	0.006776269052354481	0.0	0.018097573704550715	0.02245433181048858	0.027974426275418258	0.026149980412263803	0.02777378856387327	0.029246987465524083	0.005089424160232486	0.006523355000376213	0.019514707018553915	0.00939297122132897	0.028481730864228262	0.028988319734611346	0.012743143030229786
G9	0.0	0.0	0.0012602604890787677	0.0022187979256423503	0.0041427760092249384	0.0	0.0034538242121302863	0.0	0.0754573891963835	0.0019552408095203306	0.0	0.028982590446906775	0.0	0.00036588152023645686	0.0	0.0019052734147832213	0.007830842851301341	0.0	0.026013393097277532	0.010571894739325231	0.0	0.0	0.0	0.007901880147744312	0.0	0.0	0.004141892374775857	0.037417154481815595	0.0030164795023204976	0.0	0.10095586144785373	0.0	0.0	0.0	0.0	0.00624443120433638	0.0	0.0	0.0	0.0	0.0	0.0	0.0629467626950354	0.003651460483446486	0.0	0.0	0.00023867819047316478	0.0019454662342684882	0.015782579100519077	0.0	0.00048230874205910734	0.0	0.0	0.0	0.0	0.005210239527579727	0.0	0.018174864654059552	0.0	0.0	0.003938870619357742	0.006908613519283657	0.009818781036017254	0.009975265828512494	0.011224213089194511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003342863167148378	0.0	0.0123081128607657	0.0	0.009357392697853741	0.0	0.005185571661372541	0.02205159921929013	0.0	0.03358947383508362	0.0	0.01688286562155475	0.0	0.013079263119697686	0.0017786464564579895	0.007392182712576316	0.0	0.0005513583985545052	0.0	0.08292851581731425	0.05056025942684424	0.044077382672150944	0.0	0.0	0.01436599606316752	0.0	0.016644988386986293
G10	0.032839495110175115	0.0049533166478402425	0.012374051167384909	0.013365169009006946	0.028988153095220685	0.0	0.04413685407466056	0.023854036031317413	0.0019253072177510572	0.05982608468559552	0.0	0.032857373458966846	0.00036429917301570387	0.019443784842549154	0.0	0.029070503036667947	0.04297872854640282	0.013113103629993614	0.0	0.0	0.032868703141342784	0.011932158435943356	0.005914071916403657	0.006292746670994039	0.007839136326751749	0.05842262408487318	0.0016757442619179143	0.008740016624753155	0.029992337380732537	0.020447339877014026	0.015318107292045614	0.002092614873313861	0.0006937867729578845	0.0006730781498740085	0.010687111691260466	0.07575523606807229	0.06739394400291644	0.001966338684537508	0.029470160771861327	0.011059112612725403	0.0030324191461626932	0.043559382179816246	0.0632396551850674	0.047699098237557726	0.003069299547433576	0.05252012605579699	0.012197485670804325	0.027683413173488276	0.04062714397758629	0.007928901056761035	0.00835092718079683	0.028784647372906577	0.01226318651545608	0.005473539234703503	0.01493348573877662	0.021031733343362755	0.0010437777986003801	0.0013944338804697072	0.0010133746054339923	0.004613156467926372	0.0	0.013044905832365965	0.0255395501382251	0.017391039945866667	0.009302249358870373	0.020236712891985267	0.013890698476072777	0.008571391853503106	0.03869884339456966	0.01189503094779709	0.008107054810975293	0.02465774309224329	0.02008087046675845	0.002323411104955824	0.008190425988564442	0.019692396796051004	0.004650272875598549	0.0030204141023238555	0.02831350629432456	0.0009857768455039306	0.00774559254531824	0.011188127161933473	0.024778816298614295	0.004795771195582809	0.006700597293761791	0.02425285332705474	0.008348147696786492	0.014576865119935356	0.010943296507294973	0.03191779185474812	0.04390977575151787	0.027108482876412016	0.009315185860016072	0.03103205758779885	0.004220923769691706	0.014125097229588091	0.005867618460343935	0.0448963323678066	0.000862613556685967	0.03530941649060597
