Cause-Effect	Cause	Effect	Test	Lag	Bootstrap:Mean1	AbsBootstrap:Mean1	Coef1	Bootstrap:Std1	Bootstrap:Freq1	Bootstrap:Mean2	AbsBootstrap:Mean2	Coef2	Bootstrap:Std2	Bootstrap:Freq2	Bootstrap:Mean	AbsBootstrap:Mean	Coef	Bootstrap:Std	Bootstrap:Freq
G1-G1	G1	G1	e	2	0.24927842903310152	0.24927842903310152	1.0	0.054306599807994745	1.0	0.04722444867423008	0.04722444867423008	2.0	0.038233993664912036	0.87	0.24927842903310152	0.24927842903310152	1.0	0.054306599807994745	1.0
G46-G47	G46	G47	e	2	0.2787743278854437	0.2787743278854437	1.0	0.053111788316796985	1.0	0.025291242054278466	0.025291242054278466	2.0	0.03412527135109425	0.6	0.2787743278854437	0.2787743278854437	1.0	0.053111788316796985	1.0
G46-G41	G46	G41	e	2	-0.13631120068527505	0.13631120068527505	1.0	0.025460901275688407	1.0	-0.004486456986512604	0.004486456986512604	2.0	0.012734615886537773	0.23	-0.13631120068527505	0.13631120068527505	1.0	0.025460901275688407	1.0
G46-G37	G46	G37	e	2	0.2081680883836749	0.2081680883836749	1.0	0.06109784853499389	1.0	0.08881939128828652	0.08881939128828652	2.0	0.04565544010046622	0.97	0.2081680883836749	0.2081680883836749	1.0	0.06109784853499389	1.0
G5-G15	G5	G15	e	2	-0.033124158754573294	0.033124158754573294	1.0	0.01375230257697296	1.0	-0.028343118068731927	0.028343118068731927	2.0	0.012010338376507747	1.0	-0.033124158754573294	0.033124158754573294	1.0	0.01375230257697296	1.0
G46-G22	G46	G22	e	2	-0.19351387623785052	0.19351387623785052	1.0	0.028500191348429214	1.0	-0.09284346223194946	0.09284346223194946	2.0	0.02751660215705025	1.0	-0.19351387623785052	0.19351387623785052	1.0	0.028500191348429214	1.0
G46-G18	G46	G18	e	2	0.15592150815422726	0.15592150815422726	1.0	0.0433500521419689	1.0	0.11305966902568795	0.11305966902568795	2.0	0.05146014276642143	0.99	0.15592150815422726	0.15592150815422726	1.0	0.0433500521419689	1.0
G12-G12	G12	G12	e	2	0.11743102711234985	0.11743102711234985	1.0	0.04721203748242023	1.0	0.002319574741670524	0.002319574741670524	2.0	0.012193945492952777	0.13	0.11743102711234985	0.11743102711234985	1.0	0.04721203748242023	1.0
G43-G91	G43	G91	e	2	0.21476181732773475	0.21476181732773475	1.0	0.056907738220970616	1.0	0.0010208230696516004	0.0010208230696516004	2.0	0.017875352601670478	0.25	0.21476181732773475	0.21476181732773475	1.0	0.056907738220970616	1.0
G43-G44	G43	G44	e	2	0.21075026654622045	0.21075026654622045	1.0	0.04116438702628983	1.0	0.09405500781223573	0.09405500781223573	2.0	0.042019249770647846	1.0	0.21075026654622045	0.21075026654622045	1.0	0.04116438702628983	1.0
G43-G43	G43	G43	e	2	0.2730529741055625	0.2730529741055625	1.0	0.05643195091523787	1.0	-0.026547137673701076	0.026547137673701076	2.0	0.03761257042814387	0.58	0.2730529741055625	0.2730529741055625	1.0	0.05643195091523787	1.0
G43-G10	G43	G10	e	2	0.23450961175793747	0.23450961175793747	1.0	0.04412905335003813	1.0	0.023085944197524393	0.023085944197524393	2.0	0.03062780228194567	0.49	0.23450961175793747	0.23450961175793747	1.0	0.04412905335003813	1.0
G43-G9	G43	G9	e	2	-0.05184747738150541	0.05184747738150541	1.0	0.017689537736529558	1.0	-0.00041698015240746025	0.00041698015240746025	2.0	0.0021803573208514612	0.05	-0.05184747738150541	0.05184747738150541	1.0	0.017689537736529558	1.0
G43-G4	G43	G4	e	2	0.09301008891748952	0.09301008891748952	1.0	0.0362571817411152	1.0	-0.00981722769796876	0.00981722769796876	2.0	0.021612607758489576	0.31	0.09301008891748952	0.09301008891748952	1.0	0.0362571817411152	1.0
G85-G19	G85	G19	e	2	-0.06988792223253312	0.06988792223253312	1.0	0.021768024341833937	1.0	-0.039396905319925166	0.039396905319925166	2.0	0.025321409640608764	0.95	-0.06988792223253312	0.06988792223253312	1.0	0.021768024341833937	1.0
G36-G88	G36	G88	e	2	-0.058692948395902673	0.058692948395902673	1.0	0.021152433512926904	1.0	0.0010983153774529893	0.0010983153774529893	2.0	0.0053700749024646124	0.13	-0.058692948395902673	0.058692948395902673	1.0	0.021152433512926904	1.0
G86-G86	G86	G86	e	2	0.2002624987018824	0.2002624987018824	1.0	0.04400950695339248	1.0	0.028111606049221735	0.028111606049221735	2.0	0.030091076962504095	0.67	0.2002624987018824	0.2002624987018824	1.0	0.04400950695339248	1.0
G46-G46	G46	G46	e	2	0.4936916687995581	0.4936916687995581	1.0	0.07117555528974284	1.0	0.027000501215788574	0.027000501215788574	2.0	0.033873279741398386	0.52	0.4936916687995581	0.4936916687995581	1.0	0.07117555528974284	1.0
G46-G48	G46	G48	e	2	0.11971252892726333	0.11971252892726333	1.0	0.03274143721546821	1.0	0.016122751756502626	0.016122751756502626	2.0	0.024922709257923947	0.49	0.11971252892726333	0.11971252892726333	1.0	0.03274143721546821	1.0
G37-G37	G37	G37	e	2	0.40413479161461524	0.40413479161461524	1.0	0.0551489597083443	1.0	0.026177903715846076	0.026177903715846076	2.0	0.0430588212035158	0.48	0.40413479161461524	0.40413479161461524	1.0	0.0551489597083443	1.0
G46-G49	G46	G49	e	2	0.1634954597397563	0.1634954597397563	1.0	0.04282004390687553	1.0	0.006713648671511752	0.006713648671511752	2.0	0.015045303576828985	0.3	0.1634954597397563	0.1634954597397563	1.0	0.04282004390687553	1.0
G37-G25	G37	G25	e	2	-0.06555891093080833	0.06555891093080833	1.0	0.028606362342590546	1.0	-0.0006831875557721135	0.0006831875557721135	2.0	0.003476746759994128	0.05	-0.06555891093080833	0.06555891093080833	1.0	0.028606362342590546	1.0
G37-G23	G37	G23	e	2	-0.11631494441746779	0.11631494441746779	1.0	0.035009286008135035	1.0	-0.1056567891838043	0.1056567891838043	2.0	0.0319878297825928	1.0	-0.11631494441746779	0.11631494441746779	1.0	0.035009286008135035	1.0
G36-G84	G36	G84	e	2	-0.06710532536135684	0.06710532536135684	1.0	0.019652994801322016	1.0	-0.009156400304285231	0.009156400304285231	2.0	0.011615418004711173	0.56	-0.06710532536135684	0.06710532536135684	1.0	0.019652994801322016	1.0
G37-G1	G37	G1	e	2	-0.09527467986588097	0.09527467986588097	1.0	0.03560999190697525	1.0	-0.03189500851162222	0.03189500851162222	2.0	0.03470036880652483	0.72	-0.09527467986588097	0.09527467986588097	1.0	0.03560999190697525	1.0
G36-G96	G36	G96	e	2	0.06708113206223444	0.06708113206223444	1.0	0.034343754213601134	1.0	-0.0013445904993415832	0.0013445904993415832	2.0	0.021660236218273093	0.44	0.06708113206223444	0.06708113206223444	1.0	0.034343754213601134	1.0
G42-G24	G42	G24	e	2	0.09682144777859897	0.09682144777859897	1.0	0.03971705350220251	1.0	0.0017854243913766983	0.0017854243913766983	2.0	0.009832608328711122	0.12	0.09682144777859897	0.09682144777859897	1.0	0.03971705350220251	1.0
G36-G37	G36	G37	e	2	0.17292830630771006	0.17292830630771006	1.0	0.0462579322907088	1.0	0.08400639057211919	0.08400639057211919	2.0	0.0509442011488583	0.91	0.17292830630771006	0.17292830630771006	1.0	0.0462579322907088	1.0
