row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
0	(0.001, 0.30000000000000004)	0.8144376997563535	0.002553139418765784	0.485096489565499	190	77	1.6926319119095667	0.0002570518405643485	0.005
1	(0.001, 0.30000000000000004)	0.5235679801805759	0.0012543835779391956	0.2383328798084472	190	56	1.7073942913188307	2.1550274468040694e-05	0.003
2	(0.001, 0.30000000000000004)	0.5148053991704513	0.002073592370295116	0.39398255035607205	190	68	1.8174798248927233	7.174992369857193e-05	0.004
3	(0.001, 0.30000000000000004)	0.7123783247487194	0.002620698006607184	0.497932621255365	190	81	1.952425634786625	0.0001204749860033716	0.005
4	(0.001, 0.30000000000000004)	0.6566758299496693	0.002621228836102662	0.4980334788595058	190	82	1.7335805816887278	7.851670029351833e-05	0.004
5	(0.001, 0.30000000000000004)	0.035683760467263285	0.00036664402109402855	0.06966236400786542	190	5	1.2314452593235403	6.148129880201303e-09	0.003
6	(0.001, 0.30000000000000004)	0.5863892633674859	0.0030690121988350017	0.5831123177786504	190	81	1.7385892699837415	6.11784566670881e-05	0.004
7	(0.001, 0.30000000000000004)	0.6510825516954906	0.002313421021485681	0.43954999408227935	190	76	1.8164685338281925	3.633226120602906e-05	0.004
8	(0.001, 0.30000000000000004)	0.7806794159321665	0.0008891047899796193	0.16892991009612765	190	34	1.5937397608756632	4.739128845426821e-05	0.004
9	(0.001, 0.30000000000000004)	0.8241872738909468	0.002919632425113433	0.5547301607715522	190	78	1.6428938221849645	0.0002425517858078985	0.005
10	(0.001, 0.30000000000000004)	0.11529493189304517	0.00024261946902633658	0.04609769911500395	190	6	0.9172490102749108	2.648953048939306e-06	0.003
11	(0.001, 0.30000000000000004)	0.5950166168555975	0.0022113271889830505	0.4201521659067796	190	61	1.7860100511357468	8.138050627309878e-05	0.004
12	(0.001, 0.30000000000000004)	0.07326439499047221	0.0002100236932349154	0.039904501714633916	190	4	1.6196833639894572	5.158035831787089e-09	0.002
13	(0.001, 0.30000000000000004)	0.5521407723155412	0.0007212041211604532	0.13702878302048613	190	23	1.3177427603165226	2.8509227106010564e-06	0.003
14	(0.001, 0.30000000000000004)	0.5486169055421941	0.00045064093216661233	0.08562177711165635	190	14	0.5344453009088792	1.0208688502363892e-05	0.003
15	(0.001, 0.30000000000000004)	0.8540767280989855	0.00211785985328554	0.40239337212425264	190	68	1.660735157087183	0.000260440458900002	0.004
16	(0.001, 0.30000000000000004)	0.6295736858461489	0.002438239891565922	0.4632655793975252	190	65	1.9132703807378528	6.431728620526211e-05	0.004
17	(0.001, 0.30000000000000004)	0.7884496357365064	0.0028726865320672433	0.5458104410927762	190	77	1.5838141281562987	0.00014638995917093392	0.004
18	(0.001, 0.30000000000000004)	0.7850828906325391	0.0007707642378172122	0.14644520518527032	190	40	1.1557819321156009	1.5714794210419655e-05	0.004
19	(0.001, 0.30000000000000004)	0.7215479453094721	0.0005859707904838247	0.1113344501919267	190	29	0.9389429966772748	7.834718843052757e-06	0.004
20	(0.001, 0.30000000000000004)	0.8706241645216122	0.0018938328587821398	0.3598282431686065	190	50	1.3654582874688157	0.0002481660494207394	0.005
21	(0.001, 0.30000000000000004)	0.7117924947550469	0.0020838325036447174	0.3959281756924963	190	63	1.5995267187908315	0.00012130740142324292	0.004
22	(0.001, 0.30000000000000004)	0.8718319620700724	0.0024236732530557932	0.4604979180806008	190	70	1.3274576912682234	0.00023052894269193214	0.006999999999999999
23	(0.001, 0.30000000000000004)	0.8647785406968893	0.002916820400988273	0.5541958761877719	190	86	1.679611626158962	0.00026251729678672403	0.005
24	(0.001, 0.30000000000000004)	0.6347899761528251	0.0018754382055449336	0.3563332590535374	190	57	1.6136275871445942	6.860948557163571e-05	0.004
25	(0.001, 0.30000000000000004)	0.7867947395626763	0.00310485280775526	0.5899220334734995	190	91	2.1609065445057825	0.00020655036696637372	0.005
26	(0.001, 0.30000000000000004)	0.6520696038235447	0.0028066012569634533	0.5332542388230561	190	74	1.7973586420412604	0.00013131580377789828	0.005
27	(0.001, 0.30000000000000004)	0.7806592026982124	0.0020677845922927643	0.3928790725356253	190	74	1.7455776830619156	8.396056624782045e-05	0.005
28	(0.001, 0.30000000000000004)	0.8485016128333511	0.003289245018300211	0.62495655347704	190	82	1.574012706002892	0.00035447800944132796	0.004
29	(0.001, 0.30000000000000004)	0.6679032853573369	0.0027388001682187193	0.5203720319615566	190	76	1.9173595572895532	7.835384911814014e-05	0.005
30	(0.001, 0.30000000000000004)	0.7432020867960167	0.001996968415053037	0.37942399886007705	190	58	1.5780153366155707	5.5343874755475746e-05	0.005
31	(0.001, 0.30000000000000004)	0.10322455286917398	0.00022712885608366866	0.04315448265589704	190	4	1.0058658560360272	4.073284841366043e-09	0.003
32	(0.001, 0.30000000000000004)	0.39443433806480666	0.00113763751596846	0.21615112803400735	190	40	1.616252189320027	2.8815169631685175e-05	0.003
33	(0.001, 0.30000000000000004)	0.7705307564207338	0.001430666136807966	0.2718265659935135	190	55	1.495547368723804	8.744406373717428e-05	0.004
34	(0.001, 0.30000000000000004)	0.5298498507594114	0.002580975278586856	0.4903853029315026	190	75	1.8814267087369212	3.367503679135853e-05	0.005
35	(0.001, 0.30000000000000004)	0.8930341131246882	0.004860848281475376	0.9235611734803216	190	93	2.0786017298841473	0.00048415157373382645	0.006
36	(0.001, 0.30000000000000004)	0.92130764072423	0.004161011636279526	0.7905922108931099	190	97	1.5225298897243458	0.0008851845120735335	0.017
37	(0.001, 0.30000000000000004)	0.4124015943120464	0.0008257604402792492	0.15689448365305736	190	33	1.3554015474923882	8.135496165406764e-06	0.004
38	(0.001, 0.30000000000000004)	0.8271121798032297	0.001995906653316425	0.3792222641301208	190	65	1.9349956134427049	8.555310586250142e-05	0.005
39	(0.001, 0.30000000000000004)	0.5127448609125029	0.002248376155101395	0.42719146946926506	190	73	1.7581413401823447	1.929726515326191e-05	0.004
40	(0.001, 0.30000000000000004)	0.8464525474628919	0.001647788406660443	0.3130797972654842	190	50	1.862268448466545	9.249034848091142e-05	0.004
41	(0.001, 0.30000000000000004)	0.8033309939961695	0.0029200471028690343	0.5548089495451165	190	85	1.928441141865552	0.0002504294598808521	0.004
42	(0.001, 0.30000000000000004)	0.8225003051874038	0.004112451797215515	0.7813658414709481	190	90	1.8102299262141082	0.00023605536169224448	0.006
43	(0.001, 0.30000000000000004)	0.8223297318128223	0.002324245468069386	0.44160663893318347	190	73	1.8110401368249915	0.0001331939565515361	0.005
44	(0.001, 0.30000000000000004)	0.649875696656034	0.002329414471765144	0.4425887496353773	190	68	1.8306121225838101	4.276361339194956e-05	0.005
45	(0.001, 0.30000000000000004)	0.8677298652292702	0.004182294324473401	0.7946359216499461	190	95	2.0590180656080057	0.00031270472151101464	0.005
46	(0.001, 0.30000000000000004)	0.8033733268506404	0.004616133730562431	0.8770654088068619	190	83	1.7935124638177682	0.00024105512695216103	0.004
47	(0.001, 0.30000000000000004)	0.8262793994597439	0.00343727549285356	0.6530823436421763	190	87	1.4538866743995482	0.00015060323082771718	0.005
48	(0.001, 0.30000000000000004)	0.7866587765098656	0.0031050135082871626	0.5899525665745609	190	75	1.808272713332673	0.00015243191130509537	0.004
49	(0.001, 0.30000000000000004)	0.8129889526279812	0.0016079092461666015	0.3055027567716543	190	50	1.5978745154991498	2.523138052479279e-05	0.004
50	(0.001, 0.30000000000000004)	0.8378483519894704	0.003424830816562092	0.6507178551467975	190	79	1.8436088486820663	0.0002636607074955055	0.005
51	(0.001, 0.30000000000000004)	0.7746789694914676	0.003289843676173447	0.6250702984729549	190	86	1.6233105107998091	0.00021828688754377268	0.005
52	(0.001, 0.30000000000000004)	0.7992585209881301	0.0022605648455590642	0.4295073206562221	190	71	1.4911540236365928	0.00016639779768296004	0.005
53	(0.001, 0.30000000000000004)	0.514624303480682	0.0013679641293352785	0.2599131845737029	190	51	1.5778809109842655	1.6149408539001268e-05	0.004
54	(0.001, 0.30000000000000004)	0.5406427599800008	0.0020479226762907627	0.38910530849524494	190	76	1.843027349060705	8.266082475100191e-05	0.004
55	(0.001, 0.30000000000000004)	0.8565564622116306	0.0028265180281195675	0.5370384253427178	190	83	1.5558091152616371	0.00015355336458722224	0.005
56	(0.001, 0.30000000000000004)	0.7665537300427969	0.003289090547409865	0.6249272040078744	190	73	1.7265913481221355	0.0002151553603166878	0.005
57	(0.001, 0.30000000000000004)	0.7117494936747171	0.002468143509732541	0.4689472668491826	190	77	1.8157107947596984	7.227530662629045e-05	0.005
58	(0.001, 0.30000000000000004)	0.7384695830999094	0.0012051037149103036	0.2289697058329577	190	44	1.5858840160055463	4.698210027723193e-05	0.003
59	(0.001, 0.30000000000000004)	0.7128198132866184	0.0018732746759152642	0.3559221884239001	190	51	1.6636780690247563	0.0001112902923451342	0.006999999999999999
60	(0.001, 0.30000000000000004)	0.7499445312114041	0.0013523745193943595	0.25695115868492835	190	64	1.464510158010201	5.63459004677136e-05	0.004
61	(0.001, 0.30000000000000004)	0.7586321781146437	0.0032289930043936173	0.6135086708347872	190	76	1.7531069846021157	0.0001886037965830312	0.005
62	(0.001, 0.30000000000000004)	0.79172590626503	0.003123216315485333	0.5934110999422132	190	85	1.7943286324452932	0.0002840318535043407	0.005
63	(0.001, 0.30000000000000004)	0.7583680258168802	0.0024703692994276064	0.4693701668912452	190	73	1.817371339804414	0.00011388794559086254	0.005
64	(0.001, 0.30000000000000004)	0.6813027630511661	0.002308781290882451	0.43866844526766574	190	73	1.9272001944135213	4.956903858333028e-05	0.004
65	(0.001, 0.30000000000000004)	0.7059298297059977	0.002243008064198769	0.42617153219776616	190	69	1.9269394832344504	7.098770737923309e-05	0.004
66	(0.001, 0.30000000000000004)	0.4882769798467445	0.0022117907426953444	0.42024024111211533	190	71	1.5743450790267708	5.177529581368301e-05	0.004
67	(0.001, 0.30000000000000004)	0.6020583160588477	0.002797289240940772	0.5314849557787467	190	74	1.808592648675464	4.209740794436368e-05	0.004
68	(0.001, 0.30000000000000004)	0.8185429760148732	0.0028838634243554635	0.5479340506275381	190	73	1.525629113885497	0.00017238817708709053	0.005
69	(0.001, 0.30000000000000004)	0.7559707189198204	0.0014227629014415962	0.2703249512739033	190	53	1.122418815965584	3.238643645464556e-05	0.006
70	(0.001, 0.30000000000000004)	0.8330569993594269	0.003792735036014622	0.7206196568427781	190	98	1.6658324446542043	0.0003590385427644227	0.006
71	(0.001, 0.30000000000000004)	0.8971493961449091	0.0033552437244130768	0.6374963076384846	190	81	1.7215988315835888	0.0005959046153883872	0.006
72	(0.001, 0.30000000000000004)	0.8177844289029957	0.0028308572711967265	0.5378628815273779	190	75	1.5912886099677106	0.0002121435143901396	0.004
73	(0.001, 0.30000000000000004)	0.911928746706064	0.003246769889586791	0.6168862790214903	190	78	1.4461699124224618	0.0006014055958240004	0.009000000000000001
74	(0.001, 0.30000000000000004)	0.7068638338582289	0.003090898003154143	0.5872706205992871	190	76	1.7960877780226672	0.0001223590536509889	0.005
75	(0.001, 0.30000000000000004)	0.8973049629609275	0.004234985949766536	0.8046473304556421	190	105	1.8373346716942744	0.0005381520358030967	0.006
76	(0.001, 0.30000000000000004)	0.9006021233462852	0.0025894121093084704	0.4919883007686094	190	73	1.4477579909848617	0.0004073479041238337	0.006
77	(0.001, 0.30000000000000004)	0.6540792094478745	0.0014282418284271598	0.2713659474011604	190	54	1.6522622412706458	1.8602989084126612e-05	0.004
78	(0.001, 0.30000000000000004)	0.8207110368130596	0.0020989012307175508	0.3987912338363345	190	58	1.624711796146873	8.523580583447155e-05	0.005
79	(0.001, 0.30000000000000004)	0.7609743558898467	0.0015348270568215825	0.2916171407961007	190	50	1.4037021735117925	6.880556837735029e-05	0.004
80	(0.001, 0.30000000000000004)	0.6385648475759667	0.002196451627276308	0.41732580918249856	190	68	1.6422927545745492	9.331251421745844e-05	0.004
81	(0.001, 0.30000000000000004)	0.4741235381179921	0.00098837223994233	0.1877907255890427	190	39	1.5403893122005043	9.702238288555876e-06	0.003
82	(0.001, 0.30000000000000004)	0.7745028656529581	0.003647009174722143	0.6929317431972071	190	85	1.948258149411885	0.0001857368971044382	0.004
83	(0.001, 0.30000000000000004)	0.6865296788668556	0.0011907691291206716	0.2262461345329276	190	45	1.5114612437201311	3.2327429212775094e-05	0.004
84	(0.001, 0.30000000000000004)	0.6552611923638412	0.0023909984031934978	0.4542896966067646	190	78	1.7727138435718477	3.739229753962903e-05	0.005
85	(0.001, 0.30000000000000004)	0.6295825343350977	0.0012736111977604025	0.2419861275744765	190	45	1.542909671963751	3.5000764712161965e-05	0.004
86	(0.001, 0.30000000000000004)	0.7407994558432598	0.0011640187149834908	0.22116355584686326	190	48	1.5710522372146944	4.043890524443872e-05	0.004
87	(0.001, 0.30000000000000004)	0.8333059834271077	0.0014880495041946972	0.2827294057969925	190	52	1.762086019231098	6.101162055460741e-05	0.004
88	(0.001, 0.30000000000000004)	0.9157467728672668	0.003285605704761925	0.6242650839047659	190	80	1.752206597571656	0.000547528212077486	0.008
89	(0.001, 0.30000000000000004)	0.8066220421852617	0.003233361175162865	0.6143386232809444	190	79	1.8725210263936336	0.00011626005077214341	0.004
90	(0.001, 0.30000000000000004)	0.7286232255441742	0.003116720973076512	0.5921769848845372	190	82	2.001995741502009	0.00012745291167604034	0.005
91	(0.001, 0.30000000000000004)	0.556471525351703	0.0018702801883497746	0.3553532357864572	190	62	1.7632826215474575	3.288797918371556e-05	0.004
92	(0.001, 0.30000000000000004)	0.7859253153917354	0.002746099184647039	0.5217588450829375	190	82	1.9533425697141389	0.00016902134581286976	0.005
93	(0.001, 0.30000000000000004)	0.7209081734092992	0.0024245950233273464	0.4606730544321959	190	76	1.7406024000697626	7.151023125384627e-05	0.005
94	(0.001, 0.30000000000000004)	0.6893411126533433	0.002425052894647009	0.4607600499829317	190	67	2.02211010246371	0.00010318303549200492	0.004
95	(0.001, 0.30000000000000004)	0.476755475867414	0.002449556250576119	0.4654156876094626	190	69	1.8645621961326029	5.003894399963072e-05	0.004
96	(0.001, 0.30000000000000004)	0.3271541707619893	0.0012295644455423366	0.23361724465304395	190	43	1.873379800498284	4.8365900192359765e-06	0.003
97	(0.001, 0.30000000000000004)	0.7283738322114239	0.003834990615048557	0.7286482168592258	190	85	1.8992442014628756	0.00015030605623911342	0.005
98	(0.001, 0.30000000000000004)	0.7412341014404604	0.0031078740311121732	0.590496065911313	190	83	1.7809729174415825	0.0002182279287892275	0.004
99	(0.001, 0.30000000000000004)	0.6697234702045556	0.002478445041884448	0.4709045579580451	190	85	1.9012347695117813	5.868178723977824e-05	0.004
