hyper	n_avg	mse_avg	mse_std	df_avg	df_std	r2_avg	r2_std	sse_total
(0.001, 0.30000000000000004)	190.0	0.003662361757506067	0.0021336182742627517	42.124157894736825	12.505406784890766	0.5644727296983768	0.23073407611040245	69.58487339261528
(0.001, 0.5000000000000001)	190.0	0.0036972811869992865	0.0020988341094639283	24.790842105263177	8.051215214936526	0.5541818473875586	0.2350218829871845	70.24834255298651
(0.001, 0.7000000000000001)	190.0	0.00375909358711977	0.0021049567915289555	16.473947368421058	6.210653337395747	0.5412237128948683	0.24301038743197667	71.42277815527561
(0.001, 0.1)	190.0	0.0037989446672286897	0.002312833022297232	95.35752631578949	20.658631542171932	0.5564701394639071	0.24546769726768816	72.17994867734512
(0.001, 0.9000000000000001)	190.0	0.003823662093791952	0.002069559160533542	12.00910526315789	4.573449610675924	0.5281214867067217	0.24882987793980993	72.64957978204708
(0.01, 0.1)	190.0	0.004212855947954099	0.002168785414379823	21.99621052631579	8.75862346679871	0.4857740183585159	0.2476626806995523	80.04426301112785
(0.0001, 0.5000000000000001)	190.0	0.004810877981518408	0.003251470141154899	112.49794736842105	18.17769606430719	0.4577301396974668	0.3165085249906592	91.40668164884977
(0.01, 0.30000000000000004)	190.0	0.0051529394767832705	0.002330394433915472	5.455842105263153	3.403477111857219	0.3649444070900266	0.27369241444399417	97.90585005888215
(0.0001, 0.30000000000000004)	190.0	0.005271205390328544	0.003527052790166129	133.50657894736844	17.27631651829149	0.40943466275188023	0.348212750680052	100.15290241624227
(0.01, 0.5000000000000001)	190.0	0.0059804365975216055	0.0026207696286777364	2.4111052631578946	1.9950752056619914	0.27866932994632193	0.2795947001554081	113.62829535291044
(0.01, 0.7000000000000001)	190.0	0.0067010652307562205	0.0030217458744335583	1.3436842105263156	1.4587247678913478	0.21719213929553394	0.27193828180671104	127.32023938436812
(0.01, 0.9000000000000001)	190.0	0.007350047423514072	0.003505842386354944	0.9173684210526315	1.0852393656789605	0.17012088230980724	0.2568231695820933	139.65090104676736
(0.1, 0.1)	190.0	0.009223719173449508	0.005659501926314049	2.0608421052631583	3.4939416509787007	0.08082019476666655	0.1666392047580688	175.25066429554062
(0.1, 0.30000000000000004)	190.0	0.011339956130112681	0.009110196057099937	0.09989473684210527	0.3967078066511552	-0.0027438501479770316	0.03466542726698901	215.4591664721409
(0.1, 0.5000000000000001)	190.0	0.011673617750052198	0.010127101366162084	0.0	0.0	-0.010610005319000047	1.3800319443812513e-16	221.79873725099173
(0.1, 0.7000000000000001)	190.0	0.011673617750052198	0.010127101366162084	0.0	0.0	-0.010610005319000047	1.3800319443812513e-16	221.79873725099173
(0.1, 0.9000000000000001)	190.0	0.011673617750052198	0.010127101366162084	0.0	0.0	-0.010610005319000047	1.3800319443812513e-16	221.79873725099173
(1.0, 0.1)	190.0	0.011673617750052198	0.010127101366162084	0.0	0.0	-0.010610005319000047	1.3800319443812513e-16	221.79873725099173
(1.0, 0.30000000000000004)	190.0	0.011673617750052198	0.010127101366162084	0.0	0.0	-0.010610005319000047	1.3800319443812513e-16	221.79873725099173
(1.0, 0.5000000000000001)	190.0	0.011673617750052198	0.010127101366162084	0.0	0.0	-0.010610005319000047	1.3800319443812513e-16	221.79873725099173
(1.0, 0.7000000000000001)	190.0	0.011673617750052198	0.010127101366162084	0.0	0.0	-0.010610005319000047	1.3800319443812513e-16	221.79873725099173
(1.0, 0.9000000000000001)	190.0	0.011673617750052198	0.010127101366162084	0.0	0.0	-0.010610005319000047	1.3800319443812513e-16	221.79873725099173
