hyper	row	n	lag	mse	sse	avg_df	r2
(0.01, 0.7000000000000001)	0	190	2	0.008717187231970574	1.656265574074409	3.0052631578947366	0.36643439738165107
(0.01, 0.7000000000000001)	1	190	2	0.0026608047772558913	0.5055529076786194	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	2	190	2	0.004319077732502588	0.8206247691754918	0.0	-0.01061000531900036
(0.01, 0.7000000000000001)	3	190	2	0.008972606435252998	1.7047952226980696	1.0105263157894737	0.01525620740294975
(0.01, 0.7000000000000001)	4	190	2	0.0077160793967520225	1.4660550853828842	0.005263157894736842	-0.010639177490183283
(0.01, 0.7000000000000001)	5	190	2	0.00038424543828854274	0.07300663327482312	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	6	190	2	0.007498776409531197	1.4247675178109274	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	7	190	2	0.00619773095608971	1.1775688816570449	1.3526315789473684	0.06523868747076056
(0.01, 0.7000000000000001)	8	190	2	0.004096916850506578	0.7784142015962499	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	9	190	2	0.008736558878335804	1.6599461868838028	2.0	0.47390698226240113
(0.01, 0.7000000000000001)	10	190	2	0.0002771473474294111	0.052657996011588104	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	11	190	2	0.005518224883373461	1.0484627278409575	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	12	190	2	0.00022903193164254405	0.04351606701208337	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	13	190	2	0.0016274223141285126	0.3092102396844174	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	14	190	2	0.001008948364361995	0.19170018922877904	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	15	190	2	0.008050600319099816	1.529614060628965	2.0	0.44530326805717657
(0.01, 0.7000000000000001)	16	190	2	0.006652488107454355	1.2639727404163275	0.015789473684210527	-0.010670302836368384
(0.01, 0.7000000000000001)	17	190	2	0.008873716393813836	1.6860061148246288	2.6842105263157894	0.3465218308621534
(0.01, 0.7000000000000001)	18	190	2	0.003624383618282936	0.6886328874737578	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	19	190	2	0.0021267142178059894	0.40407570138313803	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	20	190	2	0.007626961748503696	1.4491227322157023	1.0315789473684212	0.4789695702032999
