hyper	row	n	lag	mse	sse	avg_df	r2
(1.0, 0.30000000000000004)	0	190	2	0.01390491623670947	2.6419340849747988	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	1	190	2	0.0026608047772558913	0.5055529076786194	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	2	190	2	0.004319077732502588	0.8206247691754918	0.0	-0.01061000531900036
(1.0, 0.30000000000000004)	3	190	2	0.009208289410326654	1.7495749879620643	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	4	190	2	0.0077158566715756815	1.4660127675993793	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	5	190	2	0.00038424543828854274	0.07300663327482312	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	6	190	2	0.007498776409531197	1.4247675178109274	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	7	190	2	0.006700629166553821	1.273119541645226	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	8	190	2	0.004096916850506578	0.7784142015962499	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	9	190	2	0.01678268579285441	3.1887103006423376	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	10	190	2	0.0002771473474294111	0.0526579960115881	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	11	190	2	0.005518224883373461	1.0484627278409575	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	12	190	2	0.00022903193164254405	0.04351606701208337	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	13	190	2	0.0016274223141285126	0.3092102396844174	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	14	190	2	0.001008948364361995	0.19170018922877904	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	15	190	2	0.014667505256088738	2.78682599865686	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	16	190	2	0.006652091213911449	1.263897330643175	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	17	190	2	0.01372328410570023	2.607423980083044	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	18	190	2	0.003624383618282936	0.6886328874737578	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	19	190	2	0.002126714217805989	0.404075701383138	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	20	190	2	0.014793538750185197	2.8107723625351877	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	21	190	2	0.00730703378387878	1.3883364189369682	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	22	190	2	0.01911075864718605	3.6310441429653495	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	23	190	2	0.02179955678743009	4.1419157896117165	0.0	-0.01061000531900036
(1.0, 0.30000000000000004)	24	190	2	0.005189716850910807	0.9860462016730532	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	25	190	2	0.014717250907055737	2.7962776723405898	0.0	-0.01061000531900036
(1.0, 0.30000000000000004)	26	190	2	0.008152145780875263	1.5489076983662995	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	27	190	2	0.00952729188332583	1.810185457831908	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	28	190	2	0.021941777649311184	4.168937753369125	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	29	190	2	0.008334496339566084	1.5835543045175557	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	30	190	2	0.007858927805832812	1.4931962831082342	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	31	190	2	0.00025596005687846245	0.04863241080690786	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	32	190	2	0.001898568443246736	0.3607280042168798	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	33	190	2	0.006300824849452073	1.1971567213958938	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	34	190	2	0.0055479285590657144	1.0541064262224855	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	35	190	2	0.045925126702525285	8.725774073479805	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	36	190	2	0.053437970732790926	10.153214439230275	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	37	190	2	0.0014202246889451365	0.2698426908995759	0.0	-0.010610005319000138
(1.0, 0.30000000000000004)	38	190	2	0.011667005988210272	2.216731137759952	0.0	-0.010610005318999692
(1.0, 0.30000000000000004)	39	190	2	0.004663329856964538	0.886032672823262	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	40	190	2	0.010845321253488385	2.0606110381627927	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	41	190	2	0.015005052794667241	2.8509600309867764	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	42	190	2	0.0234146032591554	4.4487746192395266	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	43	190	2	0.013220589740843218	2.5119120507602117	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	44	190	2	0.00672369655352946	1.2775023451705971	0.0	-0.010610005318999916
(1.0, 0.30000000000000004)	45	190	2	0.031954821069986636	6.071416003297461	0.0	-0.010610005318999916
