Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2	Weight	AbsWeight	Coef
G21-G98	G21	G98	enet	2	-0.43461489066382725	0.43461489066382725	1.0	0.015723836110055654	0.015723836110055654	2.0	-0.43461489066382725	0.43461489066382725	1.0
G41-G51	G41	G51	enet	2	-0.3718685762660353	0.3718685762660353	1.0	-0.001121116191361196	0.001121116191361196	2.0	-0.3718685762660353	0.3718685762660353	1.0
G21-G99	G21	G99	enet	2	-0.3660717893969297	0.3660717893969297	1.0	-0.052089416032529506	0.052089416032529506	2.0	-0.3660717893969297	0.3660717893969297	1.0
G46-G57	G46	G57	enet	2	-0.3601495037160414	0.3601495037160414	1.0	-0.06479090352763728	0.06479090352763728	2.0	-0.3601495037160414	0.3601495037160414	1.0
G21-G62	G21	G62	enet	2	-0.3550648201825887	0.3550648201825887	1.0				-0.3550648201825887	0.3550648201825887	1.0
G21-G26	G21	G26	enet	2	-0.3102709800174703	0.3102709800174703	1.0				-0.3102709800174703	0.3102709800174703	1.0
G41-G76	G41	G76	enet	2	-0.30690698833401886	0.30690698833401886	1.0				-0.30690698833401886	0.30690698833401886	1.0
G46-G47	G46	G47	enet	2	0.303801694073891	0.303801694073891	1.0	0.014789704296260925	0.014789704296260925	2.0	0.303801694073891	0.303801694073891	1.0
G37-G29	G37	G29	enet	2	-0.3025021789608518	0.3025021789608518	1.0	-0.2017921081506148	0.2017921081506148	2.0	-0.3025021789608518	0.3025021789608518	1.0
G37-G72	G37	G72	enet	2	-0.28834299126222784	0.28834299126222784	1.0	-0.06227224143885476	0.06227224143885476	2.0	-0.28834299126222784	0.28834299126222784	1.0
G41-G46	G41	G46	enet	2	-0.2600200497316798	0.2600200497316798	1.0				-0.2600200497316798	0.2600200497316798	1.0
G43-G91	G43	G91	enet	2	0.2592661081071182	0.2592661081071182	1.0				0.2592661081071182	0.2592661081071182	1.0
G90-G83	G90	G83	enet	2	0.25164650927676246	0.25164650927676246	1.0	0.02561140372227188	0.02561140372227188	2.0	0.25164650927676246	0.25164650927676246	1.0
G90-G100	G90	G100	enet	2	0.24462023883067227	0.24462023883067227	1.0				0.24462023883067227	0.24462023883067227	1.0
G23-G24	G23	G24	enet	2	0.24422975465069016	0.24422975465069016	1.0	0.014084689939868486	0.014084689939868486	2.0	0.24422975465069016	0.24422975465069016	1.0
G43-G10	G43	G10	enet	2	0.24301564003713028	0.24301564003713028	1.0	0.017752873173179865	0.017752873173179865	2.0	0.24301564003713028	0.24301564003713028	1.0
G37-G74	G37	G74	enet	2	-0.23746627045931615	0.23746627045931615	1.0	-0.21465024381341036	0.21465024381341036	2.0	-0.23746627045931615	0.23746627045931615	1.0
G46-G53	G46	G53	enet	2	0.23591337571217558	0.23591337571217558	1.0	0.09468117167224738	0.09468117167224738	2.0	0.23591337571217558	0.23591337571217558	1.0
